year,on_PRON amène_VERB,on_PRON ramène_VERB
1861,6.76269195309942e-07,4.6923838681323105e-07
1862,5.868864150215813e-07,4.2288350954322595e-07
1863,6.717765188568592e-07,4.1755029300816204e-07
1864,6.587955994064032e-07,4.842675380700712e-07
1865,6.34011911415655e-07,4.4950363076168287e-07
1866,5.473814610468253e-07,3.6005535264393984e-07
1867,9.14269705276638e-07,6.061161386128333e-07
1868,7.849459962017136e-07,5.206627307074996e-07
1869,6.934597038821266e-07,4.776081610202709e-07
1870,6.496677471545809e-07,4.684717964664742e-07
1871,8.507563222792669e-07,4.609591002235902e-07
1872,8.176002523896386e-07,5.170475034788069e-07
1873,9.074783022811062e-07,5.471207984442117e-07
1874,8.860345204197984e-07,5.484690959178806e-07
1875,7.638238557206023e-07,5.904615960616866e-07
1876,7.285447551907964e-07,5.471643333976317e-07
1877,7.978412810416557e-07,5.343680982150545e-07
1878,8.599662066899327e-07,4.795036403493214e-07
1879,7.679421827333499e-07,4.777492321750287e-07
1880,7.386941263121116e-07,4.832638254015365e-07
1881,7.802236154930142e-07,4.859837829940261e-07
1882,7.700280377775925e-07,5.530625202254669e-07
1883,1.0073026004420171e-06,6.546835109588756e-07
1884,9.064129784519537e-07,5.53882387066551e-07
1885,9.114129113640956e-07,5.897756523154385e-07
1886,8.505665221036907e-07,6.046895393296836e-07
1887,7.573552380790716e-07,7.331982487812638e-07
1888,1.0823429477113677e-06,7.050763741744959e-07
1889,8.263715329803745e-07,5.732600030228241e-07
1890,9.739818551679491e-07,6.567494992282263e-07
1891,1.1594706563755608e-06,8.203621035818287e-07
1892,1.0280360100978214e-06,6.255975435465189e-07
1893,1.085728811744957e-06,6.583347413879892e-07
1894,1.0466856821267356e-06,7.479927432996192e-07
1895,1.0689059166679726e-06,5.579255528687099e-07
1896,8.751191273859149e-07,6.156498031373303e-07
1897,1.0954221778547435e-06,7.831102948330226e-07
1898,1.1079058594987146e-06,7.055968822555769e-07
1899,8.280312471242723e-07,5.201451145353531e-07
1900,8.918229497112407e-07,5.933373898869831e-07
1901,8.85256255855893e-07,5.510496734473236e-07
1902,2.4109494063395687e-06,1.1946720377409292e-06
1903,9.266777993843789e-07,6.269655727919599e-07
1904,8.59940044506402e-07,5.535863962791154e-07
1905,8.257214716422823e-07,6.203232629786726e-07
1906,8.230695272004596e-07,6.692584122447442e-07
1907,1.0522257696266024e-06,5.646841927386959e-07
1908,8.211842441596673e-07,5.46637593856758e-07
1909,8.130453750254674e-07,5.264441114150031e-07
1910,8.144485548200464e-07,5.167793730720405e-07
1911,8.858422972934932e-07,5.458703782323937e-07
1912,7.334865159691617e-07,5.871017805247902e-07
1913,8.871901968632301e-07,5.499200312897301e-07
1914,8.966939617494063e-07,5.518116736880074e-07
1915,8.411464307300776e-07,4.029020672646766e-07
1916,7.614311101633575e-07,4.614734052665881e-07
1917,7.413302824943457e-07,5.570943528709904e-07
1918,6.535748013902776e-07,6.076293175283354e-07
1919,7.937165094062948e-07,5.303720769234133e-07
1920,6.845297519930682e-07,4.944667324480179e-07
1921,7.815075235839686e-07,6.111207397907492e-07
1922,7.923902671791438e-07,5.393270825493346e-07
1923,6.252793554040181e-07,4.872720182902412e-07
1924,7.490033908652549e-07,5.620748311230273e-07
1925,5.477092770433956e-07,4.2672931499510014e-07
1926,4.859716256078173e-07,4.636793562440289e-07
1927,4.927957419909035e-07,4.2478548323288123e-07
1928,5.473073940720496e-07,4.513286384622006e-07
1929,5.135727292326919e-07,4.6344089099648045e-07
1930,5.451370270748157e-07,4.611082005112621e-07
1931,4.790249903408039e-07,3.843605327347177e-07
1932,5.150982218538047e-07,4.504369570668132e-07
1933,5.11591522922572e-07,4.5538529036548425e-07
1934,6.410145658719557e-07,5.487563683459484e-07
1935,5.541315601931274e-07,4.6556626642768606e-07
1936,6.86258829318831e-07,4.486144362658706e-07
1937,5.804505462947418e-07,3.550695240051027e-07
1938,4.628581535826015e-07,3.980320855134778e-07
1939,5.459976080146589e-07,4.2058639593278713e-07
1940,6.922687560972918e-07,4.2854730963881593e-07
1941,4.929009378429328e-07,4.191133626818555e-07
1942,4.79405457554094e-07,5.067133628244846e-07
1943,5.429049849681178e-07,4.935499902103402e-07
1944,4.337801158271759e-07,4.498460555169004e-07
1945,4.858064102108983e-07,4.1609426659761084e-07
1946,4.774938773266513e-07,3.800461314540371e-07
1947,4.4226432294180995e-07,3.850441316899378e-07
1948,5.81645991815094e-07,4.218292559698966e-07
1949,3.4261358194953573e-07,3.543940110262156e-07
1950,4.2222386298362835e-07,3.605387419725048e-07
1951,5.437314740674992e-07,3.8274432512253043e-07
1952,4.681892988855907e-07,3.4165164208843635e-07
1953,4.395721617811432e-07,3.7816134579315985e-07
1954,4.573546874553358e-07,3.479022936403453e-07
1955,3.763628697583954e-07,3.2380346226545953e-07
1956,4.1425421670737705e-07,3.034957245517944e-07
1957,3.6223654831246677e-07,3.366149528005735e-07
1958,4.1030328645774716e-07,3.474342129550223e-07
1959,3.061545399418719e-07,3.185557204687939e-07
1960,3.578070746357298e-07,3.024404122697888e-07
1961,3.196153244289235e-07,3.3837534374470124e-07
1962,2.695331460245143e-07,2.6826475263419525e-07
1963,3.265356838255684e-07,2.7286743886634213e-07
1964,2.9628925091174096e-07,2.7134499447356575e-07
1965,2.7469657482015464e-07,2.763381949932864e-07
1966,2.9357096309468034e-07,3.002178559086133e-07
1967,2.9631316778022665e-07,2.9286192670952005e-07
1968,2.771203639895248e-07,2.6768838168322873e-07
1969,2.0437909498127738e-07,2.1028339247664007e-07
1970,2.0418339374828065e-07,2.2349803074916963e-07
1971,1.921760706125042e-07,2.1016045437249886e-07
1972,1.8622433373138847e-07,2.0674492162697788e-07
1973,1.758712073751667e-07,2.376190835207126e-07
1974,1.7270505381361545e-07,2.2052240922221245e-07
1975,1.9190574107597058e-07,2.1360936486303217e-07
1976,1.8340420737672503e-07,2.2339889937939006e-07
1977,1.7512809336039936e-07,2.6974429090387275e-07
1978,1.7643555949575784e-07,2.097028755088104e-07
1979,1.6795164015093178e-07,2.018930729263957e-07
1980,1.8817848967955797e-07,2.1148760076528106e-07
1981,1.5560852162366245e-07,1.8280838887108075e-07
1982,1.8187981254413899e-07,1.918118215371578e-07
1983,1.6546128378536196e-07,1.7303965549331224e-07
1984,1.942667893217731e-07,1.9542659224214276e-07
1985,1.5760761939986878e-07,1.6843562988810845e-07
1986,1.7743677460657636e-07,1.8582904637298725e-07
1987,1.8821315350692203e-07,1.5215934112688956e-07
1988,1.439172940820299e-07,1.8229523668367165e-07
1989,1.5915554030243584e-07,1.5037454481614532e-07
1990,1.476584401416403e-07,1.520173658065005e-07
1991,1.7818854303186527e-07,1.5532882358115785e-07
1992,1.4270755599454787e-07,1.7797119333806677e-07
1993,1.933183426672258e-07,1.62852700213989e-07
1994,1.5930278252085373e-07,1.7934750751180673e-07
1995,1.6321576978839403e-07,1.6592698770523384e-07
1996,1.4786515478704132e-07,1.569399170620045e-07
1997,1.4816223981028998e-07,1.572725398801822e-07
1998,1.3922937114330125e-07,1.5114969720286808e-07
1999,1.3573497170682458e-07,1.6726935569977286e-07
2000,1.4800405878645506e-07,1.6523437551541065e-07
2001,1.5728550550875298e-07,1.5728550550875298e-07
2002,1.682389090262859e-07,1.4939964820825935e-07
2003,1.475090734004425e-07,1.7334399871060668e-07
2004,1.5020337684745755e-07,1.502033839528849e-07
2005,1.4952448879057556e-07,1.6348610465399815e-07
2006,1.700688549988172e-07,1.614212852274477e-07
2007,1.6017862947137473e-07,1.6656978729656657e-07
2008,1.4092125155684698e-07,1.417727393260293e-07
2009,1.888204188560394e-07,1.6021127535736923e-07
2010,1.7052892076208082e-07,1.6627751975306637e-07
2011,1.824034612241121e-07,1.8393305545316707e-07
2012,2.1276579076356938e-07,1.6170200822784864e-07
2013,1.745992221913184e-07,1.5507534811831647e-07
2014,1.8861027584193835e-07,1.671723666163416e-07
2015,1.7533110607814706e-07,1.5649021989361245e-07
2016,2.0920533927437646e-07,1.530720243891892e-07
2017,1.5194292757314543e-07,1.4389297220418484e-07
2018,1.7218383518979863e-07,1.5385542084800363e-07
2019,1.719365698704678e-07,1.571408425604659e-07
