year,on_PRON appelait_VERB,on_PRON rappelait_VERB
1864,3.5351530414118315e-06,1.9562489228519553e-07
1865,3.874674234793929e-06,1.5061901947888146e-07
1866,3.395711360099085e-06,2.1846602393793546e-07
1867,3.950188556700596e-06,1.2859950260235564e-07
1868,3.260810785832291e-06,1.724015987747407e-07
1869,3.2470518362970324e-06,2.0657285659808622e-07
1870,4.287348360776377e-06,1.8176934446501036e-07
1871,3.0620852840002044e-06,1.9542966356311808e-07
1872,3.2177891853280016e-06,2.346367580230435e-07
1873,3.344380729686236e-06,1.2570609442263958e-07
1874,3.4855869444072596e-06,1.3263632325788421e-07
1875,3.289306050646701e-06,1.682128996094434e-07
1876,3.1626703957954305e-06,1.2938471982693045e-07
1877,3.2476468732056674e-06,1.2184087339051075e-07
1878,3.5558153967940598e-06,1.666788449483647e-07
1879,3.164630470564589e-06,1.1974277569493097e-07
1880,3.3513993002998177e-06,1.354165561906484e-07
1881,3.3614459198361146e-06,1.6176217343399912e-07
1882,3.3875910503411433e-06,1.530738593658043e-07
1883,3.2386612929258263e-06,1.6240701583569717e-07
1884,3.49097740581783e-06,1.3533479048533081e-07
1885,3.4606619010446593e-06,1.688756512407963e-07
1886,3.3454757613071706e-06,1.6391798141057734e-07
1887,2.7963384923168633e-06,1.344958455717915e-07
1888,2.885613639591611e-06,1.4329788911027208e-07
1889,2.7146837737745955e-06,1.4472465892367836e-07
1890,2.61782201960159e-06,1.5599439961988537e-07
1891,2.6338275915804843e-06,1.24297290682307e-07
1892,2.753130615928967e-06,1.3226560824364242e-07
1893,2.858121035842487e-06,1.2563169704549182e-07
1894,2.451928878599574e-06,1.329624801371665e-07
1895,2.6030507456198393e-06,1.8296588422117566e-07
1896,2.6035382347799896e-06,1.3032433798798593e-07
1897,2.3085439124770346e-06,1.5790393703696282e-07
1898,2.521928763599135e-06,1.1995712512202772e-07
1899,2.5355002435389906e-06,1.1939569333208055e-07
1900,2.3245536340255057e-06,1.3496738304752398e-07
1901,2.1488700667759986e-06,1.6207342667939884e-07
1902,1.8349730908084894e-06,1.2717634945147438e-07
1903,2.099605580951902e-06,1.8306746341067992e-07
1904,2.0101098812119744e-06,1.4403995507450418e-07
1905,1.9997941649307904e-06,1.6824074577925785e-07
1906,2.0890533392048383e-06,1.9342133583677423e-07
1907,2.0715372670565557e-06,1.2239967261962192e-07
1908,2.0912694935759646e-06,1.2916953551211918e-07
1909,1.8587824115456897e-06,1.386247845402977e-07
1910,2.0954414594598347e-06,1.6673749669848803e-07
1911,2.023338311119005e-06,1.596112255697335e-07
1912,1.9191507476534753e-06,1.3544494947836938e-07
1913,1.8565766595202149e-06,1.341656385989154e-07
1914,1.8255323368521204e-06,1.6473989461474048e-07
1915,1.5161839996835624e-06,1.9084833979832183e-07
1916,1.69646415315583e-06,1.4393575398230496e-07
1917,1.4738874369868427e-06,1.732695054101896e-07
1918,1.6322140936608776e-06,1.81484743677629e-07
1919,1.6813530976378388e-06,1.1509810349252803e-07
1920,1.5947120459713915e-06,1.234273732109159e-07
1921,1.5864906117712962e-06,1.4994040142823906e-07
1922,1.9219522471303208e-06,1.5493664307086874e-07
1923,2.136990417511697e-06,1.369457329758461e-07
1924,1.8344781551604683e-06,1.5727781743635205e-07
1925,1.7366122619932867e-06,1.2757886480585512e-07
1926,1.8814681652656873e-06,1.1703445679245306e-07
1927,2.0235843862792535e-06,1.3379069230268215e-07
1928,1.805314525427093e-06,1.37112497355929e-07
1929,1.803631761276847e-06,1.2031638974008274e-07
1930,1.7709075734728685e-06,1.5020152943634457e-07
1931,1.6138580178903794e-06,9.580499593653258e-08
1932,1.7294148904056783e-06,1.16171086972372e-07
1933,1.7985998397307412e-06,9.520649513206081e-08
1934,1.7984352211897203e-06,1.3179738544977226e-07
1935,1.754550481791739e-06,1.077145554972958e-07
1936,1.5895500951046415e-06,1.1397231602927604e-07
1937,1.698541808536902e-06,1.0450627740965501e-07
1938,1.6621405336536554e-06,1.3743127169618674e-07
1939,1.5691695978148346e-06,6.729382207026902e-08
1940,1.4530036196447327e-06,8.368083648235825e-08
1941,1.7679500103895407e-06,7.67390702094417e-08
1942,1.6688164805600536e-06,1.1226583396251044e-07
1943,1.921941759519541e-06,6.677441000135786e-08
1944,1.7543996193580824e-06,1.285274464635222e-07
1945,1.779837845106158e-06,1.4813827675652647e-07
1946,1.7373538696574542e-06,9.883983764780169e-08
1947,1.957407022246116e-06,1.0847992371054715e-07
1948,1.7797280804643378e-06,8.806229345736938e-08
1949,1.5314532504362433e-06,8.540797225009555e-08
1950,1.6761329959535942e-06,9.890885976915342e-08
1951,1.6589141296208254e-06,6.610069114287853e-08
1952,1.3233728282102675e-06,8.330395218081321e-08
1953,1.3553475071148569e-06,1.0666089522715083e-07
1954,1.4248357160795422e-06,9.47936023010243e-08
1955,1.5955533285705314e-06,7.790054645795408e-08
1956,1.5323045658988121e-06,7.849027561235289e-08
1957,1.453363665859797e-06,1.0955446683169612e-07
1958,1.398836360522182e-06,7.527741630042328e-08
1959,1.3122015616318095e-06,7.595732753884477e-08
1960,1.4914395762843924e-06,8.512625093715087e-08
1961,1.448691165251148e-06,1.0144312412307954e-07
1962,1.4935307035557344e-06,9.639773779213101e-08
1963,1.862223314219591e-06,8.147227248400668e-08
1964,1.5325515789754718e-06,8.45671586091612e-08
1965,1.6383297634092742e-06,7.989183359313756e-08
1966,1.6223950467519899e-06,9.471817818962336e-08
1967,1.6822304758079554e-06,9.564850955712245e-08
1968,1.834294295122163e-06,1.0240428416352643e-07
1969,1.5882527009125624e-06,9.492273989053501e-08
1970,1.5364340413270838e-06,7.7718453894704e-08
1971,1.633496594877215e-06,1.0533715055771609e-07
1972,1.3928349176239863e-06,5.899668842346273e-08
1973,1.5674038138513424e-06,8.876258306145246e-08
1974,1.542531720133411e-06,6.18812876496122e-08
1975,1.5044038264022674e-06,7.710498195478976e-08
1976,1.4340952247948735e-06,7.027638027068406e-08
1977,1.5461813234196597e-06,7.933655332692524e-08
1978,1.6015833921301237e-06,6.950491915347357e-08
1979,1.6391377357649617e-06,8.134242790447388e-08
1980,1.5264629382727435e-06,6.139962493989515e-08
1981,1.432736922879485e-06,5.503228273084915e-08
1982,1.5084231108630775e-06,8.504278170562429e-08
1983,1.4582064409296436e-06,7.83099185497349e-08
1984,1.5286186396679113e-06,1.0148265161546988e-07
1985,1.5141160076836968e-06,7.820225356169885e-08
1986,1.468648974878306e-06,6.474044056403727e-08
1987,1.4060989315112238e-06,5.988600371154007e-08
1988,1.514729490281752e-06,5.756691656699786e-08
1989,1.5986899484232708e-06,8.506589210810489e-08
1990,1.4613281962283509e-06,6.102489180648263e-08
1991,1.5943184905609087e-06,8.733582923525773e-08
1992,1.6535342126644537e-06,7.769021159731437e-08
1993,1.6556691377900279e-06,7.865674511720044e-08
1994,1.5086289408827724e-06,7.384897315887429e-08
1995,1.5703417375334539e-06,8.187900846223783e-08
1996,1.520822436873459e-06,6.298948740379728e-08
1997,1.5353251825445113e-06,6.760801163352426e-08
1998,1.6216407914271258e-06,5.531029856342684e-08
1999,1.508166363350938e-06,6.078367675854679e-08
2000,1.524662692986567e-06,6.892129000846126e-08
2001,1.5500727670314518e-06,5.520326773478246e-08
2002,1.6192994394259586e-06,4.7317191942397585e-08
2003,1.5788471046107588e-06,6.583738176857423e-08
2004,1.5791176792845363e-06,5.417893333969914e-08
2005,1.5281222829344188e-06,6.305249655724765e-08
2006,1.532266850290398e-06,7.041591842948947e-08
2007,1.5438663183431345e-06,4.833320232933147e-08
2008,1.5420446004554833e-06,4.768332573235057e-08
2009,1.5992518171970005e-06,6.246332162618273e-08
2010,1.6537999272259185e-06,6.235406857513226e-08
2011,1.495555437713847e-06,6.003635810714059e-08
2012,1.7014454840591497e-06,5.991484641754141e-08
2013,1.7730467902765668e-06,4.8809686958861676e-08
2014,1.910139133087796e-06,6.58295356004146e-08
2015,1.8725629047366965e-06,5.5192726833297456e-08
2016,1.8797410916704393e-06,6.793995410703246e-08
2017,1.5476041141937458e-06,3.672792558973015e-08
2018,1.6567853151627787e-06,4.930601349428798e-08
2019,1.7214065906046017e-06,4.642797613030325e-08
