year,seraient_VERB au_ADP
1985,1.882869611335991e-07
1986,1.7623787584852835e-07
1987,1.8454666417255794e-07
1988,1.5950833187616809e-07
1989,2.058045822650456e-07
1990,1.945168435213418e-07
1991,1.8580844596272073e-07
1992,1.8954207803290046e-07
1993,1.800242444005562e-07
1994,2.152169997771125e-07
1995,1.9032802356377942e-07
1996,2.0338131889729993e-07
1997,2.0857791582784557e-07
1998,2.283933895341761e-07
1999,1.8189400918799947e-07
2000,2.014622424439949e-07
2001,1.7349599090721313e-07
2002,2.0723177840409335e-07
2003,2.4418167754447495e-07
2004,1.9160842157361913e-07
2005,2.112258528086386e-07
2006,2.1948353889911232e-07
2007,1.9173501186742214e-07
2008,2.1116900938977778e-07
2009,2.136150243359225e-07
2010,1.8753458164155745e-07
2011,2.0955366153430077e-07
2012,2.0697856939477788e-07
2013,2.1253133297705062e-07
2014,2.3040337282509427e-07
2015,2.132345571226324e-07
2016,2.162478978107174e-07
2017,2.399893332949432e-07
2018,2.2768536211970059e-07
2019,1.9515056237651152e-07
