year,seront_VERB au_ADP
1975,4.186514894755078e-07
1976,3.9023388054282293e-07
1977,4.419339966199587e-07
1978,3.5643548124131286e-07
1979,4.143197145367594e-07
1980,4.0250867305857696e-07
1981,4.257094927684335e-07
1982,4.2459314619769373e-07
1983,4.168108538316062e-07
1984,3.618581214670513e-07
1985,4.018392897320311e-07
1986,4.196139935519483e-07
1987,3.9720308819823913e-07
1988,4.281539385253552e-07
1989,4.884428919105233e-07
1990,4.1682178819613114e-07
1991,4.1030257291740924e-07
1992,4.1434779407545363e-07
1993,4.387052219279042e-07
1994,3.908720596079718e-07
1995,4.09937279233219e-07
1996,4.2064167549149545e-07
1997,4.3873284516493527e-07
1998,4.291316262339251e-07
1999,4.359971983447508e-07
2000,4.608006944906151e-07
2001,4.017571226810901e-07
2002,4.1227295655144047e-07
2003,4.1252537164027103e-07
2004,4.290266680806454e-07
2005,4.2335245553637435e-07
2006,4.241426747597643e-07
2007,4.2061868299470007e-07
2008,4.053082459654078e-07
2009,4.4391872267013355e-07
2010,4.2561374496985493e-07
2011,4.936747717287915e-07
2012,4.847655915574123e-07
2013,4.130694095660914e-07
2014,4.0840296736122106e-07
2015,4.1073143181025173e-07
2016,4.250389633586593e-07
2017,6.180856969573156e-07
2018,4.349771452472062e-07
2019,3.7652578982472207e-07
