year,seront_VERB aux_ADP
1868,8.941171936172054e-08
1869,1.5822601540094183e-07
1870,1.0780011594491157e-07
1871,1.1895718898813357e-07
1872,6.168286148522384e-08
1873,1.0774807890356897e-07
1874,7.109784616599057e-08
1875,9.955456903298909e-08
1876,6.529695895096665e-08
1877,9.710161275044982e-08
1878,7.0657335982105e-08
1879,8.553055386162356e-08
1880,1.1231231145103493e-07
1881,1.2062437804161164e-07
1882,1.0981385156760837e-07
1883,8.910267723649667e-08
1884,1.0034579389639475e-07
1885,9.410627838102315e-08
1886,1.064821546492567e-07
1887,1.312313915313723e-07
1888,1.0525420091056503e-07
1889,1.3657998465532728e-07
1890,1.0618105916737619e-07
1891,8.79642350071208e-08
1892,1.1596748095143994e-07
1893,9.9766346517427e-08
1894,1.0523570637133162e-07
1895,1.1134437016835363e-07
1896,9.494216829386559e-08
1897,1.322664012759489e-07
1898,9.392869249058577e-08
1899,8.401918982769985e-08
1900,1.0382106552242476e-07
1901,8.941982088117584e-08
1902,9.6732591714499e-08
1903,1.1826482704258012e-07
1904,7.416982583663412e-08
1905,1.104402400642357e-07
1906,8.590787814455325e-08
1907,1.1314255665695327e-07
1908,1.1443536607202986e-07
1909,8.856583705307841e-08
1910,8.22999197680474e-08
1911,7.608134922065801e-08
1912,1.1825386181385511e-07
1913,1.2143846506162959e-07
1914,9.174538773137897e-08
1915,9.660224975505116e-08
1916,8.460345513050527e-08
1917,8.882803825827068e-08
1918,1.4932289182922887e-07
1919,1.0957339885431239e-07
1920,9.99534583989714e-08
1921,9.011569090944249e-08
1922,8.041949683956773e-08
1923,1.2420659478706852e-07
1924,9.281969681751434e-08
1925,6.818870446068104e-08
1926,5.4616079880887014e-08
1927,7.581472782902665e-08
1928,5.48449977655352e-08
1929,6.350031611646045e-08
1930,6.827342247106571e-08
1931,4.790249708008787e-08
1932,7.671675916753884e-08
1933,1.238831544014829e-07
1934,9.585264137967897e-08
1935,5.505410882733486e-08
1936,6.062357282843323e-08
1937,9.946983636766049e-08
1938,9.983215087938646e-08
1939,7.494084997006212e-08
1940,4.564409294971483e-08
1941,7.083606590185809e-08
1942,6.371844563091145e-08
1943,7.548411673496958e-08
1944,1.0924833127035072e-07
1945,8.06046500656521e-08
1946,7.099762910911522e-08
1947,5.841226768943386e-08
1948,5.3272248834446145e-08
1949,7.264586088240321e-08
1950,5.530388036412148e-08
1951,4.691016641800161e-08
1952,5.483298082253896e-08
1953,5.0636987936059086e-08
1954,5.374894840315392e-08
1955,5.255940394022218e-08
1956,5.319896456690287e-08
1957,5.654424201084751e-08
1958,3.722509556158826e-08
1959,5.890568499644644e-08
1960,6.021125131816518e-08
1961,4.7247482370949e-08
1962,6.659054463398206e-08
1963,6.72469511187046e-08
1964,6.996563856054294e-08
1965,5.2531618166540284e-08
1966,5.871419261893607e-08
1967,5.324762497593838e-08
1968,6.826952358984784e-08
1969,9.855614280240843e-08
1970,6.990061934830649e-08
1971,5.755005028085236e-08
1972,4.411926468605998e-08
1973,5.733731989199242e-08
1974,7.0882201441691e-08
1975,5.140332248743107e-08
1976,5.0850388788603595e-08
1977,8.345030266809772e-08
1978,5.999996943728547e-08
1979,6.144572073374377e-08
1980,6.083111531163254e-08
1981,5.123695029363162e-08
1982,7.076552910323386e-08
1983,5.8732440577635714e-08
1984,6.378909489512807e-08
1985,5.3538467548186475e-08
1986,5.2751470747125495e-08
1987,6.110816741511371e-08
1988,6.056519186170561e-08
1989,7.079677288857056e-08
1990,6.701840504774736e-08
1991,6.682070363694947e-08
1992,7.989419259502029e-08
1993,5.871559949355287e-08
1994,5.6969206185808474e-08
1995,4.7175323203418884e-08
1996,4.6441403611652277e-08
1997,4.794894536974681e-08
1998,6.055524048864669e-08
1999,3.93037282719888e-08
2000,5.036556061099873e-08
2001,5.783199696907104e-08
2002,5.914649037208619e-08
2003,5.0836460208092404e-08
2004,5.2857493326730065e-08
2005,5.314424456059896e-08
2006,5.394435831362898e-08
2007,5.2327682464881065e-08
2008,7.5356680895311e-08
2009,6.29401384344419e-08
2010,6.471596236679034e-08
2011,1.2810306770916213e-07
2012,1.3140415403012362e-07
2013,8.032679943426047e-08
2014,9.029906583579717e-08
2015,1.02184124273208e-07
2016,9.859578425919224e-08
2017,1.3131490678164326e-07
2018,7.77021469389183e-08
2019,1.0790677862360099e-07
