year,soient_VERB au_ADP
1901,5.465786658831462e-07
1902,5.03304109167324e-07
1903,5.286815398797273e-07
1904,5.095144413047592e-07
1905,5.284617059508889e-07
1906,5.031012330070084e-07
1907,4.973129583696334e-07
1908,5.687388595632115e-07
1909,5.649509979832601e-07
1910,5.862533565270667e-07
1911,6.134391532519601e-07
1912,5.647012534804041e-07
1913,5.674198915173179e-07
1914,5.143099417459496e-07
1915,5.12463138369057e-07
1916,5.636568032318934e-07
1917,6.097331877175094e-07
1918,5.80062029520434e-07
1919,5.515500933750417e-07
1920,5.27784553394639e-07
1921,6.32324435978493e-07
1922,6.293378875810163e-07
1923,5.881235090043901e-07
1924,5.28556629131316e-07
1925,5.554079620662122e-07
1926,4.7594011043372575e-07
1927,4.281302451447644e-07
1928,4.364747736573804e-07
1929,5.625905146189325e-07
1930,4.653096277174029e-07
1931,4.767439083508407e-07
1932,5.074265596594074e-07
1933,4.932384969347225e-07
1934,4.3373319336126315e-07
1935,5.828554385800544e-07
1936,4.619516356108022e-07
1937,4.872762848773249e-07
1938,6.430746388730313e-07
1939,6.316442622278373e-07
1940,4.513693676599928e-07
1941,4.014043430977665e-07
1942,4.2175542591671444e-07
1943,4.35485276284453e-07
1944,5.012570341023093e-07
1945,4.923419396618556e-07
1946,4.7331753449952885e-07
1947,5.435916963225651e-07
1948,4.566193023691767e-07
1949,4.790699992263114e-07
1950,4.5625701705631627e-07
1951,4.882922048921046e-07
1952,4.692437758357926e-07
1953,4.2448880321899196e-07
1954,4.974220959574893e-07
1955,4.861745046547128e-07
1956,5.41582880320135e-07
1957,4.647229879251036e-07
1958,4.376016840001995e-07
1959,4.3481694089742007e-07
1960,4.775375037624485e-07
1961,5.169430505880257e-07
1962,4.2237429420666217e-07
1963,4.358119900516044e-07
1964,4.934098087883143e-07
1965,4.634820869320322e-07
1966,4.50880683899868e-07
1967,4.6295851818811684e-07
1968,4.823780657137178e-07
1969,5.195770711452496e-07
1970,5.053999039272838e-07
1971,4.5834504325270586e-07
1972,4.827468416124248e-07
1973,4.6751967408553696e-07
1974,4.6185943469723156e-07
1975,4.4435315693647226e-07
1976,4.4222699258078535e-07
1977,4.7249325607623405e-07
1978,4.271285258816704e-07
1979,4.2485327766961234e-07
1980,4.098993777734705e-07
1981,4.3076991712576174e-07
1982,3.9293488274250166e-07
1983,4.33230669782958e-07
1984,4.22167823588282e-07
1985,3.7176150158302335e-07
1986,4.3460020210384087e-07
1987,4.149244596796109e-07
1988,4.5393913672420183e-07
1989,4.87345256483529e-07
1990,4.5169316420512473e-07
1991,4.231977750457361e-07
1992,4.215107247684813e-07
1993,4.237493756997779e-07
1994,4.531162003384992e-07
1995,4.267468698415655e-07
1996,4.056950184683217e-07
1997,4.104429709439472e-07
1998,4.1673450046353366e-07
1999,4.0309173776620355e-07
2000,4.5019740468887903e-07
2001,4.398736761501709e-07
2002,4.749244070789693e-07
2003,4.571114500251383e-07
2004,4.409196181498487e-07
2005,4.787485841095673e-07
2006,4.583211445918778e-07
2007,4.589656803499764e-07
2008,4.802392103431252e-07
2009,5.001833687234836e-07
2010,4.846611642017606e-07
2011,4.978811602995847e-07
2012,4.817017611458141e-07
2013,4.981377175194979e-07
2014,4.67952700422547e-07
2015,5.197869269446542e-07
2016,5.331629233662483e-07
2017,4.925566940983117e-07
2018,5.126793057863566e-07
2019,5.563704223998656e-07
