year,furent_VERB au_ADP
1905,4.825309929401556e-07
1906,4.7326497565336467e-07
1907,4.777701292368874e-07
1908,4.646174147637794e-07
1909,6.711200057907263e-07
1910,4.6494110961248225e-07
1911,5.660878059643437e-07
1912,5.167746053302835e-07
1913,4.857538442593068e-07
1914,5.009164283364953e-07
1915,5.489835075422889e-07
1916,5.252006758382777e-07
1917,4.386569685266295e-07
1918,5.387110491028579e-07
1919,5.211642246649717e-07
1920,4.997672817808052e-07
1921,3.665209646896983e-07
1922,5.717899966839468e-07
1923,4.596705593939987e-07
1924,4.344477417816961e-07
1925,4.344280171153514e-07
1926,4.848570256399398e-07
1927,5.206687774261809e-07
1928,5.335961077435059e-07
1929,4.768093901930115e-07
1930,4.600578336066974e-07
1931,4.322630218211998e-07
1932,4.307097754008282e-07
1933,4.886501869805215e-07
1934,4.720742481367779e-07
1935,4.65566245111404e-07
1936,3.8435345572906954e-07
1937,4.331344598540454e-07
1938,3.643225170435471e-07
1939,4.267040196737071e-07
1940,4.437620191310998e-07
1941,4.2206485773021996e-07
1942,4.3996070075991156e-07
1943,4.441949954525626e-07
1944,4.884042823505297e-07
1945,4.2480829165469913e-07
1946,3.494197073905525e-07
1947,4.172304954863648e-07
1948,4.5009616655988793e-07
1949,4.04460735126122e-07
1950,3.796824046276015e-07
1951,4.4564660584001103e-07
1952,3.3637925866969454e-07
1953,3.846256504402845e-07
1954,3.6842462236563733e-07
1955,3.538374073741579e-07
1956,3.4274086146979243e-07
1957,3.74605605202305e-07
1958,3.631514857715956e-07
1959,3.604097855713917e-07
1960,3.931033347726043e-07
1961,3.543561319929722e-07
1962,4.052510007568344e-07
1963,3.174832272634376e-07
1964,3.5165336953468795e-07
1965,3.551356257958105e-07
1966,3.6557892713062756e-07
1967,4.008362850527192e-07
1968,4.0647313426234177e-07
1969,3.665198562430305e-07
1970,3.619196604631725e-07
1971,3.4941103876917623e-07
1972,3.55006164909355e-07
1973,3.125986438590189e-07
1974,3.409096507311915e-07
1975,3.301235551589343e-07
1976,3.342413208429207e-07
1977,3.514315665142931e-07
1978,3.647523101335537e-07
1979,3.154213743528089e-07
1980,3.257591458805109e-07
1981,3.4853778174692707e-07
1982,3.184448758020153e-07
1983,2.7597931762102235e-07
1984,3.1952535550772154e-07
1985,3.1220747587212827e-07
1986,3.2610000744170975e-07
1987,3.0431868935920647e-07
1988,3.1901666375233617e-07
1989,3.232503900107986e-07
1990,3.3345745009683014e-07
1991,2.948316932815942e-07
1992,3.4271852200618014e-07
1993,3.7998964330654417e-07
1994,3.3917777386704984e-07
1995,3.3185398251589504e-07
1996,3.250898146234249e-07
1997,3.322861914512032e-07
1998,3.0849795962240023e-07
1999,2.8106737204325327e-07
2000,2.973335142542055e-07
2001,3.233334382457542e-07
2002,3.2771535529718676e-07
2003,3.037686724383093e-07
2004,3.374070161044074e-07
2005,2.999497326072742e-07
2006,3.141950060125964e-07
2007,3.219550421817985e-07
2008,3.061099107526388e-07
2009,3.199457125901972e-07
2010,2.928751712261146e-07
2011,2.642364620442095e-07
2012,2.6859552804125997e-07
2013,3.048513690373511e-07
2014,3.005637836395181e-07
2015,3.114288347205729e-07
2016,3.270645834163588e-07
2017,2.865281203412451e-07
2018,2.816380231251969e-07
2019,2.658129290011857e-07
