year,trop_ADV ouvert_VERB
1961,1.528595072741723e-08
1962,1.4586500007851555e-08
1963,1.0345685197421517e-08
1964,1.4601523545820783e-08
1965,1.2585699593614663e-08
1966,1.6063316343739587e-08
1967,2.1200442290592036e-08
1968,2.3355362505084187e-08
1969,2.1346262479848832e-08
1970,1.74751555448438e-08
1971,1.3873672877195986e-08
1972,1.128632298730281e-08
1973,1.6539610570021068e-08
1974,1.2376257407797908e-08
1975,2.1132477101559743e-08
1976,1.7711933253394818e-08
1977,1.7630345183761165e-08
1978,1.1881182260253809e-08
1979,1.8726314388040066e-08
1980,1.705545149555121e-08
1981,1.4548763971333756e-08
1982,1.1794254461960918e-08
1983,2.3366668600033336e-08
1984,1.333771937339634e-08
1985,9.624892882698077e-09
1986,2.038125046510686e-08
1987,2.0165694891716157e-08
1988,1.798966131616453e-08
1989,1.1525056464734007e-08
1990,2.0160008773473237e-08
1991,1.7584396438952155e-08
1992,1.1019888113139586e-08
1993,2.1048988330107932e-08
1994,1.0549853435293244e-08
1995,1.8978578708583882e-08
1996,1.014237493990322e-08
1997,1.8220598363427598e-08
1998,1.621164003040576e-08
1999,1.0054442528550922e-08
2000,9.277866475088103e-09
2001,1.5334240544007116e-08
2002,1.708676344858162e-08
2003,1.7501075977310876e-08
2004,1.4095332012686868e-08
2005,2.2068373795036678e-08
2006,1.8530505130343045e-08
2007,1.797515772339331e-08
2008,1.6178271167177627e-08
2009,1.4781396551200032e-08
2010,1.5588517143783065e-08
2011,1.567828442072816e-08
2012,1.8382964817043046e-08
2013,2.2034088331679413e-08
2014,2.1870996014250466e-08
2015,1.9062547651493844e-08
2016,1.5949318310504168e-08
2017,1.861552334503358e-08
2018,2.2200613458700502e-08
2019,1.8622211328533922e-08
