year,trop_ADV analyser_VERB
1887,9.140494583448344e-09
1888,4.4384300679212174e-09
1889,2.5060546970934183e-09
1890,1.3108772956016423e-09
1891,2.5496880162734215e-09
1892,6.268512375839919e-09
1893,1.2316833108982905e-09
1894,6.9316934414587195e-09
1895,0.0
1896,3.5382172747233653e-09
1897,5.826713556089658e-10
1898,5.6583546736987955e-09
1899,4.9748205555033564e-09
1900,4.671947717582725e-09
1901,7.265360757457984e-09
1902,0.0
1903,5.400220270956879e-09
1904,1.0749250378694342e-09
1905,5.676835002077496e-09
1906,1.0802787109298606e-08
1907,3.599990305858114e-09
1908,4.911389073214423e-09
1909,1.265226234892225e-08
1910,1.2291546447329438e-08
1911,4.25629931299909e-09
1912,1.3023552902780011e-08
1913,1.0075680734189518e-08
1914,4.68772043404897e-09
1915,1.1780761921542648e-09
1916,1.2086208478478966e-08
1917,7.676496771580332e-09
1918,0.0
1919,2.762354567309444e-09
1920,9.843901693784574e-09
1921,1.060184651180407e-08
1922,1.9182632371439468e-08
1923,1.3800733000834953e-08
1924,5.156649773851996e-09
1925,4.399271169575059e-09
1926,2.229227691330493e-09
1927,4.4596899506643695e-09
1928,7.998228745975666e-09
1929,8.912325100141061e-09
1930,1.1553964007759987e-08
1931,7.983749661377715e-09
1932,0.0
1933,1.0323596200123575e-08
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,9.699771652549316e-09
1937,5.0364472592434595e-09
1938,0.0
1939,1.5294050470515685e-09
1940,0.0
1941,5.9030051957620344e-09
1942,0.0
1943,1.1612940831184915e-08
1944,0.0
1945,4.357008087652048e-09
1946,5.568441707737293e-09
1947,4.7683483828109274e-09
1948,5.435944139264848e-09
1949,6.8719057111366055e-09
1950,6.381216888229346e-09
1951,2.1322803522849654e-09
1952,4.2179215675730575e-09
1953,1.2928593307037772e-08
1954,7.818028890937967e-09
1955,4.6928039232341234e-09
1956,2.616342476002842e-09
1957,1.7670075402875796e-09
1958,4.1361216673863055e-09
1959,5.425523585955716e-09
1960,1.3841666701708277e-09
1961,2.779263708063695e-09
1962,1.331810839388936e-08
1963,6.466053470433053e-09
1964,6.6923653285755336e-09
1965,4.377634699181954e-09
1966,3.3234448526542337e-09
1967,4.930335695263466e-09
1968,1.3025106326836067e-08
1969,9.083515273289322e-09
1970,6.438214850135182e-09
1971,8.735275613958038e-09
1972,1.5390440033513642e-09
1973,2.7566018356850464e-09
1974,2.2502286700643026e-09
1975,3.998036124386317e-09
1976,7.427584769459372e-09
1977,4.11374712072643e-09
1978,5.346532105932056e-09
1979,5.851973128301324e-09
1980,3.411090521154847e-09
1981,4.427884725544118e-09
1982,4.345251713999687e-09
1983,5.68378455412244e-09
1984,1.1598016991243298e-09
1985,3.609334831011779e-09
1986,1.1988970927134801e-09
1987,3.6664902225425067e-09
1988,1.798966087207532e-09
1989,2.1952488715726304e-09
1990,3.2691906959314565e-09
1991,5.2753188484189195e-09
1992,4.4079553340736766e-09
1993,4.4313659408601325e-09
1994,2.637463358823311e-09
1995,3.253470381991974e-09
1996,5.3380921904988554e-09
1997,4.315404922294874e-09
1998,4.7681290027412615e-09
1999,3.656160929565999e-09
2000,1.7672125984802278e-09
2001,4.381211837767296e-09
2002,5.6955880012310445e-09
2003,3.333538334260311e-09
2004,9.250062049659391e-09
2005,6.305249655724765e-09
2006,4.117890028965121e-09
2007,5.592271090648637e-09
2008,5.108927503272298e-09
2009,6.198650481792356e-09
2010,1.0864724231396394e-08
2011,1.1089518636708817e-08
2012,1.1234034147378225e-08
2013,9.761937924679387e-09
2014,1.7107016248019136e-08
2015,1.6180999651282946e-08
2016,1.677785377296459e-08
2017,1.509366853724714e-08
2018,1.8070267060465994e-08
2019,1.4540630033366142e-08
