year,son_DET latin_NOUN
1896,1.4860512576042595e-07
1897,1.3576242152701923e-07
1898,1.1769378094328431e-07
1899,1.4758633604117222e-07
1900,1.3029544054798947e-07
1901,1.4530720493510785e-07
1902,1.1784681319682022e-07
1903,1.30685327448532e-07
1904,1.7467532398285357e-07
1905,1.75465807661368e-07
1906,1.4712368340275006e-07
1907,1.6611384401343798e-07
1908,1.5569103872792311e-07
1909,1.73831083749576e-07
1910,1.1062391713778652e-07
1911,1.399258456880048e-07
1912,1.3752871552696888e-07
1913,1.5431700006729443e-07
1914,1.2255040671149686e-07
1915,9.424609315189514e-08
1916,9.119593791240277e-08
1917,1.8862249540063658e-07
1918,2.056061401134457e-07
1919,1.6574126882051843e-07
1920,1.6507465216974992e-07
1921,1.7190136025746483e-07
1922,1.3870518483782845e-07
1923,1.8259430767386675e-07
1924,1.4696452277362937e-07
1925,1.3857704672659565e-07
1926,1.4044133944679515e-07
1927,1.739279120727133e-07
1928,2.05668740704823e-07
1929,1.6376396771988766e-07
1930,1.953670318854961e-07
1931,1.5853445933800003e-07
1932,1.7425663689785154e-07
1933,1.674716623156769e-07
1934,1.4138264070595596e-07
1935,1.615718323577653e-07
1936,1.1760972817853599e-07
1937,1.385022984079498e-07
1938,1.6984431105981912e-07
1939,1.085877601170182e-07
1940,1.2678914407260322e-07
1941,2.1250818171836272e-07
1942,2.3363430545764174e-07
1943,2.4677498933201036e-07
1944,2.024307246273338e-07
1945,1.0892520396765804e-07
1946,1.4895581568197258e-07
1947,1.6450801409995108e-07
1948,1.2720108655273066e-07
1949,9.62066810661355e-08
1950,1.1060775984006455e-07
1951,1.4073050991214586e-07
1952,1.4130037262471973e-07
1953,1.1958948265000657e-07
1954,1.6613312081581455e-07
1955,1.3327563186393832e-07
1956,1.194796430681322e-07
1957,1.0336994415993672e-07
1958,1.4228258127246818e-07
1959,1.3718824298791787e-07
1960,1.5848709034038677e-07
1961,1.6675582337200012e-07
1962,1.686960375835156e-07
1963,1.3578711577366676e-07
1964,1.4966561368012776e-07
1965,1.6470850905392354e-07
1966,1.8001992319049975e-07
1967,1.5629163296893012e-07
1968,1.661823827436848e-07
1969,1.2944009730730954e-07
1970,1.4026110806142356e-07
1971,1.4849968055230534e-07
1972,1.55443444782577e-07
1973,1.1798256127626416e-07
1974,1.288255921938486e-07
1975,1.0623353130512214e-07
1976,1.211267717238229e-07
1977,1.263508090376675e-07
1978,1.544553729360132e-07
1979,1.2698782114739515e-07
1980,1.301899477113011e-07
1981,1.6762706800399485e-07
1982,1.8498356890717105e-07
1983,1.6672434988151963e-07
1984,1.565732328234759e-07
1985,1.5520139617919426e-07
1986,1.192902603364132e-07
1987,1.808801810554428e-07
1988,1.5411143194921095e-07
1989,1.317149358470715e-07
1990,1.776260201147295e-07
1991,1.7877468572180533e-07
1992,1.6364533528268055e-07
1993,1.506664459860474e-07
1994,1.561378291103921e-07
1995,1.8436333171223396e-07
1996,1.3505372842281815e-07
1997,1.7165722265843897e-07
1998,1.635468267480178e-07
1999,1.4898856082190548e-07
2000,1.4358602573594226e-07
2001,1.6648604583835436e-07
2002,1.7042951050427746e-07
2003,1.4000861492391437e-07
2004,1.5460817714973984e-07
2005,1.531274831378937e-07
2006,1.7130422014233204e-07
2007,1.4819519211783927e-07
2008,1.4901039491199697e-07
2009,1.6164172067512084e-07
2010,1.5730231228694436e-07
2011,1.5945963813268627e-07
2012,1.5251052176701307e-07
2013,1.6288490134463984e-07
2014,1.710701731383324e-07
2015,1.950586284715783e-07
2016,1.9532736805771833e-07
2017,1.499304354002362e-07
2018,1.693442165939807e-07
2019,1.800997386780523e-07
