year,on_PRON essaie_VERB,on_PRON laissait_VERB
1844,6.739953164469625e-07,9.70377627140806e-07
1845,5.814597372477692e-07,1.062475391222506e-06
1846,5.78424753427953e-07,9.332075308066123e-07
1847,5.506481386419182e-07,1.1266444204238724e-06
1848,5.679926289303694e-07,8.954331747190736e-07
1849,7.566611657239264e-07,1.1990942283546246e-06
1850,5.655233650259106e-07,9.070098627717016e-07
1851,5.030562206798095e-07,9.886989573715255e-07
1852,5.384220997939337e-07,8.873873440506941e-07
1853,5.888325063097e-07,7.10659904257227e-07
1854,5.174881891889527e-07,7.788301061850689e-07
1855,5.370620215217059e-07,8.491099237062372e-07
1856,4.768191246284914e-07,7.926276808234434e-07
1857,4.837575531269067e-07,9.006384118492861e-07
1858,5.241127141175639e-07,8.514996352460003e-07
1859,4.3079785427835304e-07,7.750287664975986e-07
1860,4.0874250828437653e-07,8.270971321167053e-07
1861,4.2868109062510484e-07,8.696237188132727e-07
1862,3.745410737110433e-07,8.950131018536922e-07
1863,3.785922473298342e-07,8.95036066594912e-07
1864,3.351514905602926e-07,8.946962140043979e-07
1865,4.000817668270429e-07,9.55018720105727e-07
1866,4.262276931399356e-07,8.135304696565981e-07
1867,4.0035696002860277e-07,9.225194474993259e-07
1868,4.238411861479108e-07,8.768276344994774e-07
1869,5.474424895623997e-07,7.579221943387893e-07
1870,4.2374622211127644e-07,8.973786478350121e-07
1871,4.099774457699823e-07,1.0079497272386106e-06
1872,4.95881835149703e-07,1.0062772730634606e-06
1873,5.058173684346912e-07,9.9846552359395e-07
1874,4.122480348200952e-07,9.230771240709146e-07
1875,5.790185184650909e-07,9.297481824432907e-07
1876,5.326538996541785e-07,8.948101708483591e-07
1877,5.838466492491534e-07,8.287653514571502e-07
1878,5.652587162785494e-07,9.004281409374926e-07
1879,5.266238289891589e-07,9.243409238024469e-07
1880,5.204873261277498e-07,8.272603579939641e-07
1881,5.787181436289757e-07,8.799304822559861e-07
1882,7.207782246609895e-07,8.126224955162797e-07
1883,5.895943502309819e-07,9.144083463752395e-07
1884,7.030807296359853e-07,8.337943313563301e-07
1885,6.078234235928903e-07,7.837893249984518e-07
1886,7.311774510299074e-07,7.847412177852675e-07
1887,7.155701382544066e-07,8.285205268521167e-07
1888,6.315252036870334e-07,8.318886557390215e-07
1889,6.365379121575643e-07,7.549489993152747e-07
1890,6.44296193286209e-07,8.206091735019072e-07
1891,7.808419582033821e-07,7.79567095321454e-07
1892,7.704001632191648e-07,7.641316415174515e-07
1893,8.295387061707515e-07,7.42089191874129e-07
1894,8.034462553041521e-07,6.62291789410574e-07
1895,7.87234796462144e-07,6.813071635747292e-07
1896,1.0054434653739008e-06,7.624858255894651e-07
1897,1.0464777773222522e-06,8.110785358894645e-07
1898,1.086969973584928e-06,7.882088368660334e-07
1899,9.037590587013256e-07,7.594892394990893e-07
1900,1.0683187241511405e-06,8.482180788860205e-07
1901,1.0657725226792536e-06,7.203884564432883e-07
1902,1.0399981249520351e-06,6.918590216287157e-07
1903,1.1335062453099454e-06,7.392901295588672e-07
1904,1.1802676596062156e-06,7.373985653202908e-07
1905,1.1957478278645794e-06,7.586315931007448e-07
1906,1.1507540449429143e-06,7.304741842517615e-07
1907,1.216796732705916e-06,7.097124097299456e-07
1908,1.123234653732652e-06,7.317969448195072e-07
1909,1.1678588265340295e-06,7.145777374262252e-07
1910,1.0763119178136549e-06,7.316142571767159e-07
1911,1.0869524516010642e-06,7.060136724135191e-07
1912,1.1257559435762232e-06,6.543032995409703e-07
1913,1.1767334058276901e-06,6.798432679033795e-07
1914,1.074157665925668e-06,6.227971596217685e-07
1915,9.990085914068914e-07,8.046260191463261e-07
1916,1.1009437059783522e-06,6.47161485289871e-07
1917,1.1372182342483939e-06,6.645653343184676e-07
1918,1.2462718075312296e-06,6.455343495304078e-07
1919,9.15260130796014e-07,6.021932890121207e-07
1920,1.1259908490046655e-06,5.936629818847905e-07
1921,1.2472315091827113e-06,5.422087170359191e-07
1922,1.2291640132389148e-06,5.474428093066308e-07
1923,1.044609305722588e-06,5.60522067871716e-07
1924,1.1744270125291223e-06,5.698097922390843e-07
1925,1.1141154345750692e-06,5.609070612422329e-07
1926,1.1959806442973786e-06,6.096937568145222e-07
1927,1.123841869343778e-06,6.154372371725003e-07
1928,1.085473883222221e-06,5.99867149730926e-07
1929,1.1630584566546531e-06,5.64818613213447e-07
1930,1.2488784761899296e-06,5.913528582368599e-07
1931,1.3070538500414841e-06,5.417544315378109e-07
1932,1.1967813691171614e-06,5.896230987900708e-07
1933,1.1906547285889246e-06,5.322387224282465e-07
1934,1.2580659074501455e-06,5.152079438630608e-07
1935,1.2722285589461535e-06,5.4814741190512e-07
1936,1.1894344709162397e-06,5.068130803920212e-07
1937,1.493306626798585e-06,6.245194583698321e-07
1938,1.2498467043542405e-06,4.99160755396133e-07
1939,1.2984648662950349e-06,5.352917753498332e-07
1940,1.1208160373143983e-06,5.857658464947235e-07
1941,9.179172764106625e-07,4.810949221223382e-07
1942,1.3138137262558303e-06,5.097475792581463e-07
1943,1.1874231802266877e-06,4.6451761903654187e-07
1944,1.2595689327099535e-06,4.4341968674643795e-07
1945,1.3463154857618065e-06,5.620540406425789e-07
1946,1.1248252462792152e-06,5.679810612946312e-07
1947,1.1646691149280741e-06,5.149816217908665e-07
1948,1.2839699934374948e-06,4.59880865832929e-07
1949,1.2840647229950264e-06,4.4372877994192095e-07
1950,1.1379837019376282e-06,4.1158849484190796e-07
1951,1.251648598099564e-06,5.181441196100423e-07
1952,1.253777242027354e-06,4.3550039663386997e-07
1953,1.3294903169480676e-06,4.1156020103017e-07
1954,1.351541726535288e-06,3.7526537965959506e-07
1955,1.2811354963560007e-06,3.472674805493625e-07
1956,1.3622423011838691e-06,3.5407835241585417e-07
1957,1.3632462980694982e-06,3.701880899598109e-07
1958,1.3409306234279939e-06,4.16921068335796e-07
1959,1.3455298244480218e-06,3.7901157412534303e-07
1960,1.2810462237666798e-06,3.8341416086495883e-07
1961,1.4347948820159218e-06,3.5783019569635144e-07
1962,1.4624551454289758e-06,3.7861479995626723e-07
1963,1.549266357869783e-06,4.2675952727222466e-07
1964,1.4662363696515968e-06,4.082342783817694e-07
1965,1.4867541437979526e-06,3.513051893833108e-07
1966,1.440159451249201e-06,3.6557892713062756e-07
1967,1.5210084711725358e-06,3.9097561455037066e-07
1968,1.594003464333582e-06,4.6755639004913974e-07
1969,1.5791692078437336e-06,3.687907295102377e-07
1970,1.543791995572974e-06,3.83073786025534e-07
1971,1.6817974426430737e-06,3.730476691998774e-07
1972,1.6960265156740206e-06,3.8476101593687417e-07
1973,1.7813161150570522e-06,3.594608841694935e-07
1974,1.7366139672958525e-06,3.4090964362576415e-07
1975,1.7168709121051506e-06,3.31836993439083e-07
1976,1.88546385970767e-06,3.7195060542671854e-07
1977,1.8176886271703552e-06,3.761140376923322e-07
1978,1.7180190639010107e-06,3.398018151301585e-07
1979,1.7064354551621363e-06,3.8447463523993974e-07
1980,1.7100933291658293e-06,3.53047866497036e-07
1981,1.7667259726295015e-06,3.03626389808187e-07
1982,1.7145121375961025e-06,3.252731168856826e-07
1983,1.7411325927696453e-06,3.2650184067506416e-07
1984,1.6474982942327188e-06,3.618581203568283e-07
1985,1.6753329248331283e-06,3.158167984906868e-07
1986,1.7899533588661143e-06,2.931303413333808e-07
1987,1.5600915901359258e-06,2.8781948202549756e-07
1988,1.6790350514384045e-06,3.0882253199138177e-07
1989,1.6552176873574354e-06,3.3916594333049943e-07
1990,1.6313261141931434e-06,3.4598934206542253e-07
1991,1.7273737853429338e-06,2.8310876132309204e-07
1992,1.5251525269377453e-06,3.129648185051792e-07
1993,1.528267375761061e-06,3.0410249252099675e-07
1994,1.7486382262177358e-06,3.1913305775788103e-07
1995,1.4656885127806163e-06,2.8467866286518984e-07
1996,1.4514272379528848e-06,2.4982271895623853e-07
1997,1.5583406707264658e-06,2.7235000388259323e-07
1998,1.5710985508121666e-06,2.7273698322005657e-07
1999,1.6370460116377217e-06,2.737550524045673e-07
2000,1.5900494929610431e-06,2.831958134663637e-07
2001,1.6245533913661347e-06,3.0230360081873187e-07
2002,1.5215981932215072e-06,3.040567833068053e-07
2003,1.5221769444906386e-06,2.846008406720557e-07
2004,1.4685573717088118e-06,2.90716226203358e-07
2005,1.5015501446669077e-06,3.058045905390827e-07
2006,1.4816167777098599e-06,2.8372262050879726e-07
2007,1.5175027101577143e-06,2.7202404595527696e-07
2008,1.5199059930637304e-06,2.775850731495666e-07
2009,1.416629999084762e-06,2.922902027080454e-07
2010,1.6008934551337006e-06,2.990160865579128e-07
2011,1.684842061422387e-06,3.158600847541493e-07
2012,1.5523391994065605e-06,3.703826862988535e-07
2013,1.6137877594246675e-06,3.7374275763113474e-07
2014,1.516461253459056e-06,4.473809624983005e-07
2015,1.399324020212589e-06,4.3178889796990916e-07
2016,1.3666701192960318e-06,4.063969143430768e-07
2017,1.6049600048972934e-06,3.0262803107916625e-07
2018,1.65291316989169e-06,3.7741043001915386e-07
2019,1.5971734796949022e-06,4.0458665040432606e-07
