year,en_ADP être_NOUN,en_ADP lettres_NOUN
1898,4.809601605870739e-08,2.771462333850394e-06
1899,4.8089930260175606e-08,2.825145319462763e-06
1900,5.087231969014283e-08,3.1873065271526e-06
1901,2.794369535763508e-08,3.046421638508434e-06
1902,3.1425816615637814e-08,2.4413931623001872e-06
1903,4.644189388613995e-08,2.6531282664166156e-06
1904,3.0635363579278874e-08,2.808779129281902e-06
1905,3.973784501454247e-08,2.5494150390770187e-06
1906,3.9095802151223324e-08,2.864282050651923e-06
1907,5.6056993713582415e-08,2.6069072482926003e-06
1908,6.090122184332358e-08,2.384479463657385e-06
1909,5.225934529562437e-08,2.8869162767009016e-06
1910,5.1303846504424655e-08,2.8185050138240797e-06
1911,4.9479478292369095e-08,2.3505413011548626e-06
1912,3.490312100451476e-08,2.4348835516718736e-06
1913,4.825720623102825e-08,2.4855113798238904e-06
1914,5.424362292671958e-08,2.467750053192219e-06
1915,2.9451904026700504e-08,3.181983723621329e-06
1916,6.812226160946011e-08,2.2930833125656136e-06
1917,5.15421945124217e-08,2.336945088998732e-06
1918,5.283732917860107e-08,2.4684222692528124e-06
1919,5.340552178267899e-08,2.4456045055742948e-06
1920,4.467616676606667e-08,2.170201506501712e-06
1921,2.499006651612845e-08,2.168834875249104e-06
1922,3.467629533515648e-08,2.2908489460959913e-06
1923,5.414133408265798e-08,2.371602793260763e-06
1924,2.9650736976805092e-08,2.4958184221546276e-06
1925,2.859526304632709e-08,2.6439619205120835e-06
1926,4.4584552605364536e-08,2.187987048429818e-06
1927,3.1217830098739796e-08,3.035933881179176e-06
1928,4.4561559775502246e-08,2.2315059098332313e-06
1929,4.0105462062456354e-08,2.565635520035414e-06
1930,2.2057568216382606e-08,2.4420877284825337e-06
1931,3.42160717536899e-08,2.228606673426725e-06
1932,3.835837958376942e-08,2.350820668794995e-06
1933,3.9000251916831985e-08,2.2264554395690084e-06
1934,3.354842448288764e-08,3.5165936882464166e-06
1935,3.231436807027421e-08,2.449907827717368e-06
1936,4.243650053581405e-08,2.216397874121867e-06
1937,3.021868266728234e-08,2.321802140770046e-06
1938,3.500607925754906e-08,2.3376281301779045e-06
1939,3.364691281149135e-08,2.18399033968808e-06
1940,1.5214697723919812e-08,2.7918969625062573e-06
1941,3.836953510472085e-08,2.1339363467376415e-06
1942,5.158160121254696e-08,2.0602298143046482e-06
1943,5.516146828199453e-08,2.2877493996986686e-06
1944,4.819779064746399e-08,2.069291983985977e-06
1945,3.92130714566008e-08,2.052150843923073e-06
1946,5.150808579656996e-08,2.012991792810226e-06
1947,5.245183154478639e-08,1.7583284712685554e-06
1948,3.696441708278542e-08,1.9917298033078623e-06
1949,3.9268034157657894e-08,1.6129344730941853e-06
1950,2.7651939848993834e-08,1.9973208011947463e-06
1951,4.584402901741669e-08,1.9382428284586695e-06
1952,3.796129277588989e-08,1.737783660971104e-06
1953,3.44762476345295e-08,1.957604490954168e-06
1954,4.6908174455850826e-08,1.864599862955174e-06
1955,3.003394422051997e-08,1.9324966267220134e-06
1956,3.8373022093196596e-08,1.9762107239529314e-06
1957,3.35731449863097e-08,1.964028893297609e-06
1958,2.895285222681565e-08,2.01677301525649e-06
1959,3.1778064624177205e-08,2.1337808320254226e-06
1960,3.8756667208872386e-08,2.262420345289229e-06
1961,3.682524463144432e-08,2.212293964021228e-06
1962,3.361237066457079e-08,2.1873408613259926e-06
1963,1.7458344103715717e-08,2.0859487115387765e-06
1964,3.10282390891814e-08,2.394649985859587e-06
1965,2.6265809083270142e-08,2.762834736103059e-06
1966,2.1602390987141007e-08,2.5496361502064246e-06
1967,3.056808139945133e-08,2.7950073011595578e-06
1968,3.188905262074826e-08,2.850252435848688e-06
1969,3.270065546123746e-08,2.656474254791874e-06
1970,2.8971967935831344e-08,2.618973788059975e-06
1971,4.4190219705697587e-08,2.3960347039775343e-06
1972,2.8728821988011077e-08,2.472730869840234e-06
1973,1.598829157956061e-08,2.502994584929752e-06
1974,2.5877628928583363e-08,2.5236313412335676e-06
1975,2.341706917263764e-08,2.366266272701978e-06
1976,2.1140049599743804e-08,2.3276908471814295e-06
1977,2.52701610747863e-08,2.3142766352179933e-06
1978,3.029701645118621e-08,2.4154443387658375e-06
1979,3.043026142179883e-08,2.4490507541941042e-06
1980,2.5583178242527538e-08,2.357632023830547e-06
1981,3.0362638236969275e-08,2.3796716845936317e-06
1982,3.47620137119975e-08,2.3514017613024407e-06
1983,2.841892188243378e-08,2.348666143348055e-06
1984,2.667543874679268e-08,2.331781278286371e-06
1985,3.1280901091612634e-08,2.7605396795138404e-06
1986,3.117132424401703e-08,2.3834074518447323e-06
1987,3.3609493521602474e-08,2.410717357292924e-06
1988,1.8589316641559606e-08,2.3554463322028596e-06
1989,2.1952487827547884e-08,2.5431957659804993e-06
1990,2.0160008995517842e-08,2.469328578058594e-06
1991,2.8721180100887977e-08,2.573183174092719e-06
1992,2.1488782808720686e-08,2.743401296356751e-06
1993,2.6588196533339215e-08,2.598996157843203e-06
1994,2.848460300963751e-08,2.68810250503293e-06
1995,3.090796896199066e-08,2.453659007528586e-06
1996,3.25623614738646e-08,2.3759847636029008e-06
1997,2.4933451858721867e-08,2.5806121257687664e-06
1998,3.0039213450017144e-08,2.524247566526583e-06
1999,2.285100508814253e-08,2.6488885396247497e-06
2000,2.120655140380734e-08,2.8270982888045637e-06
2001,4.8193328439083416e-08,2.6177740330979304e-06
2002,3.9869115731061555e-08,2.4565508169871464e-06
2003,3.416876803719049e-08,2.54640668018169e-06
2004,2.6869225788761497e-08,2.550814613755392e-06
2005,2.8373621674404603e-08,2.686486556768841e-06
2006,2.8413440822383507e-08,2.7989297066710606e-06
2007,4.234148387460834e-08,2.677100134462762e-06
2008,3.448526281202291e-08,2.736256394797465e-06
2009,4.052963742395832e-08,2.625366803954421e-06
2010,3.7317963830219014e-08,2.806877883898551e-06
2011,4.321088264980233e-08,2.663014100789951e-06
2012,4.289358412901123e-08,2.9388914697392465e-06
2013,4.406817466495738e-08,3.0284318768281082e-06
2014,5.348649789738147e-08,3.107197390050942e-06
2015,5.253283719142132e-08,3.003016367131295e-06
2016,4.515521290215929e-08,3.1341446025123787e-06
2017,4.427476096857674e-08,2.878613962309373e-06
2018,4.1561613706164735e-08,3.1062788679037112e-06
2019,4.056070679325785e-08,2.9147585216549032e-06
