year,aucun_DET livre_NOUN
1902,4.271946920653136e-07
1903,3.4993428243978997e-07
1904,3.8536063939886844e-07
1905,3.9841058452338984e-07
1906,4.4702964885345864e-07
1907,3.85198980268342e-07
1908,4.376047542109518e-07
1909,3.8451874573297573e-07
1910,3.479042014475908e-07
1911,3.9956011121944357e-07
1912,5.245887280125316e-07
1913,3.680274858197663e-07
1914,4.23234190805033e-07
1915,3.6991593788116006e-07
1916,3.911536481382427e-07
1917,3.7176178580011765e-07
1918,4.2155001978017026e-07
1919,3.498982472649459e-07
1920,3.4907986901089316e-07
1921,3.4228818179826703e-07
1922,3.585676608963695e-07
1923,4.1826835683878016e-07
1924,3.9577286514713705e-07
1925,4.1023203323220514e-07
1926,3.7896872129294934e-07
1927,4.1029147723747883e-07
1928,4.010540592958023e-07
1929,3.7765978078141416e-07
1930,3.613239556443659e-07
1931,2.9083659569550946e-07
1932,2.750843748344778e-07
1933,3.842671887355209e-07
1934,3.798160861379074e-07
1935,3.829850996339701e-07
1936,3.200924680868411e-07
1937,3.110006083772987e-07
1938,3.8895642262559704e-07
1939,2.859987375813944e-07
1940,3.752958726011002e-07
1941,4.250163883057212e-07
1942,4.035501532939634e-07
1943,4.238723398941602e-07
1944,2.763340170020001e-07
1945,2.9627654996033925e-07
1946,3.313222762812984e-07
1947,3.6120238888770473e-07
1948,3.000640909078811e-07
1949,3.0334556555544623e-07
1950,2.9459949857368883e-07
1951,2.9425468994759285e-07
1952,3.3216132777624807e-07
1953,3.479946357742847e-07
1954,3.332434843628107e-07
1955,2.5528854052936367e-07
1956,3.0523995420139727e-07
1957,2.71235656157387e-07
1958,2.870468556182004e-07
1959,3.146803564391121e-07
1960,3.1905041808499846e-07
1961,2.869589756926416e-07
1962,3.4309984542346683e-07
1963,3.821437353224155e-07
1964,3.5834573708370954e-07
1965,3.6170205675034595e-07
1966,3.36775737963535e-07
1967,3.712542664402463e-07
1968,3.7952463216583965e-07
1969,2.6160525123941625e-07
1970,3.205311429610447e-07
1971,3.494110281110352e-07
1972,2.677936592476726e-07
1973,2.960590492762094e-07
1974,3.04905988457449e-07
1975,2.6101465167016613e-07
1976,2.8567633947318427e-07
1977,2.197916444401926e-07
1978,3.457424071484638e-07
1979,3.300512929627075e-07
1980,2.745927787373148e-07
1981,2.7832418325601793e-07
1982,3.3023913204033306e-07
1983,3.252387656971223e-07
1984,2.8879061986231136e-07
1985,2.610752183329623e-07
1986,2.9313033067523975e-07
1987,3.104294989952905e-07
1988,3.430028883144587e-07
1989,3.479469548040015e-07
1990,2.882336325171764e-07
1991,3.3762038853524245e-07
1992,3.030469351017473e-07
1993,3.633720133677798e-07
1994,3.3654032094432296e-07
1995,3.014882601348745e-07
1996,3.0480507717811633e-07
1997,3.3324516834909446e-07
1998,3.375835468943933e-07
1999,2.984341307410432e-07
2000,3.291433543495259e-07
2001,3.036179663240546e-07
2002,3.2508662428654134e-07
2003,3.454379076117675e-07
2004,3.2110926895256853e-07
2005,3.202165856919237e-07
2006,3.524913871899571e-07
2007,3.638970724750834e-07
2008,3.086643900473973e-07
2009,3.223298286059162e-07
2010,3.3869595128521723e-07
2011,2.841211106385799e-07
2012,2.9753169528135004e-07
2013,3.0485135837921007e-07
2014,3.406245241421857e-07
2015,2.983510363208097e-07
2016,3.227147651330142e-07
2017,2.865281345520998e-07
2018,2.702795640630029e-07
2019,2.948941855152043e-07
