year,mon_DET latin_NOUN
1903,1.8900770282215262e-08
1904,3.117282609821359e-08
1905,3.14806301027204e-08
1906,4.372556894338686e-08
1907,3.651418667427464e-08
1908,5.598983543464442e-08
1909,3.795678571449912e-08
1910,5.2372674974598965e-08
1911,2.9262058220957954e-08
1912,4.63638496484009e-08
1913,5.35601951678899e-08
1914,3.61624143963013e-08
1915,2.238344798399794e-08
1916,4.614734017138744e-08
1917,2.52227767560953e-08
1918,4.9391419842947926e-08
1919,3.591060881991126e-08
1920,3.180337415642498e-08
1921,3.407736237637238e-08
1922,3.8365265686568506e-08
1923,4.989495572260694e-08
1924,4.125319807979366e-08
1925,4.9491799547496385e-08
1926,4.6813780629761936e-08
1927,5.6861046648926106e-08
1928,6.855624690160766e-08
1929,5.9044152234122294e-08
1930,3.781297330807121e-08
1931,4.790249796826629e-08
1932,2.6302887201623548e-08
1933,2.982372193649496e-08
1934,3.71428985346256e-08
1935,4.787313834242468e-08
1936,3.6374143252970725e-08
1937,5.036447325856841e-08
1938,2.2040865133021725e-08
1939,1.5294050470515685e-08
1940,2.2822046474857416e-08
1941,3.541803028639379e-08
1942,6.371844563091145e-08
1943,4.6451764434962683e-08
1944,5.462416652335378e-08
1945,2.6142048081823077e-08
1946,3.3410651134602176e-08
1947,4.5299309414659206e-08
1948,2.5005341575123907e-08
1949,1.570721330779179e-08
1950,3.296962081122956e-08
1951,3.5182626589858046e-08
1952,4.323369751091377e-08
1953,4.2017925361292896e-08
1954,2.5408593895548393e-08
1955,4.223523397683948e-08
1956,2.6163424537983815e-08
1957,3.622365635225222e-08
1958,3.5570645817717406e-08
1959,3.797866598986843e-08
1960,4.014083376802091e-08
1961,4.446821894044106e-08
1962,6.595634838291176e-08
1963,4.3969162977219867e-08
1964,5.049693763137242e-08
1965,4.4323552383929155e-08
1966,4.265087616417418e-08
1967,3.6977515494029944e-08
1968,3.8626176146472346e-08
1969,2.4979668000746358e-08
1970,3.5410182924744404e-08
1971,4.367637751467868e-08
1972,3.898911610233924e-08
1973,3.087394107037511e-08
1974,3.3190871662203136e-08
1975,3.198428899509054e-08
1976,2.6282224119267283e-08
1977,3.1146944412530075e-08
1978,3.5643546669739123e-08
1979,3.979342022564225e-08
1980,3.183684382790375e-08
1981,2.4037088541817297e-08
1982,2.1726258125909226e-08
1983,3.4734237708278215e-08
1984,3.827345668172555e-08
1985,2.9476234453262862e-08
1986,2.5176838613916175e-08
1987,3.544273924349639e-08
1988,3.4780012869717325e-08
1989,3.073348409099452e-08
1990,2.94227159303162e-08
1991,2.227356699080474e-08
1992,2.479474914274249e-08
1993,2.7142116054701404e-08
1994,2.6902126470940146e-08
1995,4.0668381107167306e-08
1996,2.8291889053733144e-08
1997,2.9728345007917767e-08
1998,3.3853716718823534e-08
1999,3.016332694727453e-08
2000,3.18098266616218e-08
2001,2.234418089441803e-08
2002,3.636413881125122e-08
2003,2.7918383715963557e-08
2004,2.775018459466594e-08
2005,2.6572123279500204e-08
2006,3.8296376736468574e-08
2007,3.954534766315021e-08
2008,3.065356632414584e-08
2009,3.147007099357779e-08
2010,4.81826876175262e-08
2011,5.047643047983996e-08
2012,6.229782600897238e-08
2013,6.470770164135331e-08
2014,7.687330186301189e-08
2015,7.846676944311959e-08
2016,9.031042469409556e-08
2017,6.993399681576307e-08
2018,7.176477234693834e-08
2019,9.719263499574637e-08
