year,non_ADV latin_ADJ
1932,1.3151444377967891e-08
1933,1.1470662197865522e-09
1934,4.7926320689839486e-09
1935,1.4361940969820353e-08
1936,3.6374143697059935e-09
1937,8.813782592653752e-09
1938,1.2965214457594243e-09
1939,7.647025235257843e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,0.0
1945,6.535512131478072e-09
1946,6.960552134671616e-09
1947,5.960435700558264e-09
1948,1.0871887834440486e-09
1949,6.8719057111366055e-09
1950,1.2762433776458693e-08
1951,7.462981344019681e-09
1952,1.1599284199803606e-08
1953,8.619061908632375e-09
1954,1.6613311615287785e-08
1955,6.569925492527773e-09
1956,1.1337483840634377e-08
1957,5.301022731885041e-09
1958,6.617794756635931e-09
1959,6.975672928177801e-09
1960,6.2287499602575735e-09
1961,6.94815938118154e-09
1962,7.610347907416326e-09
1963,5.819448034571906e-09
1964,7.300761772910391e-09
1965,9.302473458205895e-09
1966,1.38476865529924e-08
1967,1.232583901611406e-08
1968,8.533690198930799e-09
1969,1.0446043141598693e-08
1970,1.3336302728816918e-08
1971,1.0790635052160269e-08
1972,9.747279428040656e-09
1973,8.269805285010534e-09
1974,5.06301445213353e-09
1975,9.138368284311582e-09
1976,3.4281160132820787e-09
1977,8.22749424145286e-09
1978,1.1881182260253809e-08
1979,1.1703946256602649e-08
1980,1.0801786132219604e-08
1981,1.138598904049104e-08
1982,9.311253101884631e-09
1983,1.515675762675528e-08
1984,4.059305780401701e-09
1985,9.02333674446254e-09
1986,7.792831269171074e-09
1987,4.888653482026939e-09
1988,1.4391728697660255e-08
1989,8.232182935330457e-09
1990,1.198703181159999e-08
1991,1.75843961613964e-08
1992,8.815910668147353e-09
1993,7.200969598386564e-09
1994,4.747434001473039e-09
1995,9.21816667442954e-09
1996,1.2277611816102763e-08
1997,5.274384040632185e-09
1998,8.582632382569955e-09
1999,3.1991407301035224e-09
2000,6.185244316725402e-09
2001,8.324302136486494e-09
2002,1.3143664823189738e-08
2003,1.1667384391955693e-08
2004,1.0571499231559756e-08
2005,1.5312748402607212e-08
2006,6.58862386870851e-09
2007,5.991719120856942e-09
2008,6.3861596011349775e-09
2009,5.245011536203492e-09
2010,4.723792912386671e-09
2011,4.206369030868018e-09
2012,5.1063788752969685e-09
2013,5.578249862026041e-09
2014,4.980523993225461e-09
2015,4.654808538617772e-09
2016,3.314144070287739e-09
2017,2.264050280587071e-09
2018,1.8070267504555204e-09
2019,2.5509878653906526e-09
