year,petit_ADJ acte_NOUN
1872,1.6025448701384448e-07
1873,1.5024870947399904e-07
1874,1.171023384927139e-07
1875,1.3731664694205392e-07
1876,2.1040131059635314e-07
1877,2.3316756880831235e-07
1878,2.6692771371017443e-07
1879,2.3276528793303441e-07
1880,2.4516171492905414e-07
1881,2.182394922556341e-07
1882,2.6488433491067553e-07
1883,2.0917012477639219e-07
1884,2.521848330161447e-07
1885,2.720058205341047e-07
1886,2.3619678302111424e-07
1887,1.8346278807257477e-07
1888,2.028996703984376e-07
1889,3.163894177760085e-07
1890,3.139550983632944e-07
1891,2.4477003535139374e-07
1892,2.225321935611646e-07
1893,2.420257771973411e-07
1894,1.657304835589457e-07
1895,2.3352224332029436e-07
1896,1.609888897746714e-07
1897,1.415891404121794e-07
1898,1.4541971893322625e-07
1899,1.6029977700782183e-07
1900,1.5002143527453882e-07
1901,1.0618603596412868e-07
1902,1.350328062699191e-07
1903,1.819874171360425e-07
1904,1.2576623475979432e-07
1905,1.2901897150641162e-07
1906,1.5123902130653732e-07
1907,1.2034253416004503e-07
1908,1.507796412170137e-07
1909,1.2707272389889113e-07
1910,1.3627584394271253e-07
1911,1.4205399168076838e-07
1912,1.6201299501972244e-07
1913,1.6333208918695163e-07
1914,1.767940318586625e-07
1915,8.835571208010151e-08
1916,6.59247731960022e-08
1917,6.250861872558744e-08
1918,1.0567465835720213e-07
1919,1.6574126959767455e-07
1920,1.5447352552655502e-07
1921,1.703868122149288e-07
1922,1.8961294756536518e-07
1923,1.995798299958551e-07
1924,1.8821771163857193e-07
1925,1.8806883872457547e-07
1926,1.749943692175293e-07
1927,2.3747848842958774e-07
1928,1.5882197601513326e-07
1929,1.6710609429537726e-07
1930,1.8171233762132033e-07
1931,1.1177249348293117e-07
1932,1.3918611330154818e-07
1933,2.0876605333342013e-07
1934,1.365900175187562e-07
1935,1.0532090044534925e-07
1936,7.63857030960935e-08
1937,9.821071955684602e-08
1938,1.0112866988265523e-07
1939,8.870549095263414e-08
1940,5.0715659227762444e-08
1941,8.854507882460894e-08
1942,9.102635090130207e-08
1943,1.0161323160673419e-07
1944,1.4138018400444707e-07
1945,2.1131489802428405e-07
1946,8.07424029858339e-08
1947,7.271731305991125e-08
1948,9.675979839585125e-08
1949,6.282885323116716e-08
1950,1.1911605213299481e-07
1951,7.996051465397613e-08
1952,7.697706649878455e-08
1953,7.54167928107563e-08
1954,1.2313395814089745e-07
1955,9.385608024103931e-08
1956,1.1337483840634377e-07
1957,8.216584745923683e-08
1958,1.0174859710332385e-07
1959,9.61092752049808e-08
1960,4.567749911643659e-08
1961,5.141637871020066e-08
1962,7.800606027785761e-08
1963,9.181795945778504e-08
1964,7.909158483698775e-08
1965,7.715581062939236e-08
1966,8.973301390824417e-08
1967,7.39550358730412e-08
1968,1.3653904318289278e-07
1969,9.719362026316958e-08
1970,9.289424696135029e-08
1971,1.4849969431907084e-07
1972,2.9087931352478336e-07
1973,7.608220897736828e-08
1974,6.075617164924552e-08
1975,4.740528680713396e-08
1976,5.599256169830369e-08
1977,5.05403221495726e-08
1978,7.841580895728839e-08
1979,4.154901134256761e-08
1980,3.9227540327146926e-08
1981,4.2381181231121445e-08
1982,4.531476704983106e-08
1983,6.189009837953563e-08
1984,2.7255339318799088e-08
1985,4.1507352221969995e-08
1986,2.577628777089558e-08
1987,5.8052759044358027e-08
1988,3.2381390013824785e-08
1989,3.786804469996241e-08
1990,3.4871366239030976e-08
1991,3.458264430378222e-08
1992,4.903850481241534e-08
1993,8.364203551991523e-08
1994,3.639699386326356e-08
1995,8.947043994567139e-08
1996,4.5907594170557786e-08
1997,3.787966562640577e-08
1998,7.390600131884639e-08
1999,5.9869634583265e-08
2000,1.290065227976811e-07
2001,3.592593600387772e-08
2002,2.8039817578928705e-08
2003,3.875238263617575e-08
2004,5.1536058975898413e-08
2005,5.854874629562801e-08
2006,5.68268809786332e-08
2007,5.6322161157140727e-08
2008,3.916844448781376e-08
2009,4.100645512039591e-08
2010,4.2514137987836875e-08
2011,3.47981448101109e-08
2012,4.6978687606724634e-08
2013,5.466685237820457e-08
2014,6.907770000452729e-08
2015,7.159538739642812e-08
2016,9.217463059485453e-08
2017,5.0815348373589586e-08
2018,8.544655116793365e-08
2019,1.2984527586468175e-07
