year,tout_DET tissu_NOUN
2002,1.4019908789464353e-08
2003,1.583430675466957e-08
2004,1.541676902805378e-08
2005,1.4411998705554652e-08
2006,1.605977145713311e-08
2007,1.5179022150313415e-08
2008,1.9158479247494142e-08
2009,2.002640786535892e-08
2010,2.220182704348872e-08
2011,2.332622939249518e-08
2012,1.3617011129785084e-08
2013,1.4782363000342968e-08
2014,9.527958977351147e-09
2015,1.861923255852549e-08
2016,1.3463710701877574e-08
2017,1.4590545660553289e-08
2018,1.7295826881813525e-08
2019,1.1734543448049806e-08
