year,eurent_VERB eu_VERB
1884,3.9610181801208455e-09
1885,5.80107206715752e-09
1886,2.2587123282846733e-08
1887,1.3710741875172516e-08
1888,5.706553452000662e-09
1889,6.891650361495749e-09
1890,9.831579994568074e-09
1891,1.0836173736095134e-08
1892,1.8805536683430546e-08
1893,9.23762488724833e-09
1894,1.5753848003896564e-08
1895,6.018614495673091e-09
1896,1.4152869098893461e-08
1897,1.2236098356765979e-08
1898,1.0750873968845553e-08
1899,3.8693048765026106e-09
1900,9.34389543516545e-09
1901,1.676621685930968e-08
1902,1.0311596021495006e-08
1903,1.296052865029651e-08
1904,3.7622376325430196e-09
1905,7.2250627702885595e-09
1906,6.173021205313489e-09
1907,1.4399961223432456e-08
1908,1.276961114626829e-08
1909,8.801573692096554e-09
1910,6.947395991829808e-09
1911,9.576673676292558e-09
1912,5.730363294986773e-09
1913,9.015082902408267e-09
1914,7.366418142140674e-09
1915,1.295883844676382e-08
1916,1.0987461607214755e-08
1917,2.1932848870420685e-09
1918,4.594550517822427e-09
1919,1.5653341733923298e-08
1920,9.843901693784574e-09
1921,2.2718242842501013e-09
1922,2.951174193910333e-09
1923,7.431163684401554e-09
1924,1.289162443462999e-09
1925,1.0998177923937646e-09
1926,8.916910765321973e-09
1927,4.4596899506643695e-09
1928,7.998228745975666e-09
1929,6.684243825105796e-09
1930,8.402882833991043e-09
1931,1.2545892325022123e-08
1932,4.383814644626227e-09
1933,1.0323596200123575e-08
1934,3.5944740517379614e-09
1935,4.787313656606784e-09
1936,3.6374143697059935e-09
1937,6.295559185076627e-09
1938,1.2965214679638848e-08
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,0.0
1942,1.8205270180260413e-08
1943,5.806470415592457e-09
1944,2.2492303131116387e-08
1945,0.0
1946,0.0
1947,2.3841741914054637e-09
1948,1.0871887834440486e-09
1949,1.9634016634739737e-09
1950,7.444753258312176e-09
1951,6.396841278899501e-09
1952,2.1089607837865287e-09
1953,3.232148326759443e-09
1954,4.886268278880834e-09
1955,6.569925492527773e-09
1956,1.744228317335228e-09
1957,5.301022731885041e-09
1958,3.3088973783179654e-09
1959,5.425523585955716e-09
1960,2.076250060767393e-09
1961,1.250668635321972e-08
1962,5.0735651235811474e-09
1963,0.0
1964,5.475571551727398e-09
1965,2.73602163147757e-09
1966,5.539074976468328e-09
1967,5.423369309198733e-09
1968,4.940557296606585e-09
1969,5.450109252791435e-09
1970,1.1496812390987543e-08
1971,6.166076982339064e-09
1972,5.643161493651405e-09
1973,4.410563025913916e-09
1974,7.313243344242437e-09
1975,3.998036124386317e-09
1976,4.570821499072508e-09
1977,1.1753563677885381e-09
1978,1.0099005187669263e-08
1979,4.681578680276743e-09
1980,2.8425752862659692e-09
1981,4.427884725544118e-09
1982,2.483000915987077e-09
1983,3.157658134966823e-09
1984,4.639206796497319e-09
1985,1.142956040922627e-08
1986,2.3977941854269602e-09
1987,4.888653482026939e-09
1988,1.1993107618124554e-09
1989,4.939309850016116e-09
1990,1.6345953479657283e-09
1991,2.9307325455363298e-09
1992,7.162927584403178e-09
1993,3.877445031719162e-09
1994,5.274926606624319e-10
1995,5.964695848348356e-09
1996,5.871901187504136e-09
1997,2.3974471297094624e-09
1998,5.2449422582867555e-09
1999,1.8280804647829996e-09
2000,5.743440834038438e-09
2001,3.5049694258049158e-09
2002,5.257465574004527e-09
2003,6.250384210204629e-09
2004,6.607186797680242e-09
2005,6.305249655724765e-09
2006,4.529678854225949e-09
2007,5.592271090648637e-09
2008,5.5346713878634546e-09
2009,8.582746957586096e-09
2010,8.030448306328708e-09
2011,3.059177577924288e-09
2012,5.7872298064864935e-09
2013,4.741512515948898e-09
2014,4.547434873103384e-09
2015,4.43315073539452e-09
2016,6.214019965256057e-09
2017,3.5218559180094644e-09
2018,4.3884935685412074e-09
2019,5.612172948588068e-09
