year,on_PRON eût_VERB,on_PRON fut_VERB
1845,9.813388942347956e-06,4.097561259186477e-06
1846,1.0165170579057303e-05,4.291349455343152e-06
1847,9.811352583710686e-06,3.617234995090257e-06
1848,8.92295520316111e-06,3.7056290125292435e-06
1849,9.758666465131682e-06,3.3366829939041054e-06
1850,9.772759995030356e-06,4.2947187921527075e-06
1851,9.467775953453383e-06,3.7587329302368744e-06
1852,8.763194273342378e-06,3.2064436368273164e-06
1853,9.067184237210313e-06,3.685279239107331e-06
1854,8.761968388171226e-06,3.830763375844981e-06
1855,8.464034181088209e-06,3.5965114193459158e-06
1856,8.792420203462825e-06,3.6033236483490327e-06
1857,1.0172088650506339e-05,3.9266858493647305e-06
1858,9.931715567290667e-06,3.4544459595053922e-06
1859,1.0760780469354359e-05,4.196969143777096e-06
1860,1.1115233064629138e-05,3.516192577990296e-06
1861,1.0294005733157974e-05,3.0634901122539304e-06
1862,1.0555823109825724e-05,3.3790018392210186e-06
1863,9.855385769697023e-06,3.459773836311797e-06
1864,9.2840316483489e-06,3.289662913630309e-06
1865,9.276248874812154e-06,3.2378383139075595e-06
1866,9.475781325818389e-06,3.2901274380492396e-06
1867,8.915100124795572e-06,2.8913051437484683e-06
1868,8.954015811468707e-06,3.0222148552638828e-06
1869,9.35291586756648e-06,2.862719043150719e-06
1870,9.099362159759039e-06,3.2018929232435767e-06
1871,1.013897576740419e-05,2.7392017045713146e-06
1872,9.270571126762661e-06,3.0018991878932866e-06
1873,8.239735279857996e-06,2.98761472095066e-06
1874,8.359673074664897e-06,2.974160508983914e-06
1875,8.36773347145936e-06,2.816707876718283e-06
1876,8.32052546684281e-06,2.523001910503808e-06
1877,8.022324664125335e-06,2.81161743487246e-06
1878,7.903355481175822e-06,3.273789900504198e-06
1879,7.953730346343946e-06,3.2715437328079133e-06
1880,7.670610102650244e-06,2.737211445946741e-06
1881,7.694859277762589e-06,2.7729662406272837e-06
1882,7.844702622605837e-06,2.7400221824791515e-06
1883,7.618594963787473e-06,2.7476486934574496e-06
1884,7.597892818012042e-06,2.714617721721879e-06
1885,7.543327228631824e-06,2.6749387984636996e-06
1886,7.422774388032849e-06,2.65172820945736e-06
1887,7.288238521141466e-06,2.3869748133620305e-06
1888,7.782470220263349e-06,2.4303575969497615e-06
1889,7.055170499370433e-06,2.3625830749551824e-06
1890,6.709725653308851e-06,2.3235299408952415e-06
1891,6.671896244370146e-06,2.4591741407675727e-06
1892,6.4584484107399476e-06,2.2804848640589626e-06
1893,6.088826580707973e-06,2.420257658286573e-06
1894,5.879966238353518e-06,2.4204212536460545e-06
1895,6.30871181783732e-06,2.5025398713296454e-06
1896,6.014379664520675e-06,2.2438194946516887e-06
1897,6.069687515264377e-06,2.1984190539114934e-06
1898,5.81961796797259e-06,2.155833215056191e-06
1899,6.099130018810683e-06,2.1612831915263087e-06
1900,5.645270107379474e-06,2.1314464220267837e-06
1901,5.573090561483696e-06,1.979531305096316e-06
1902,4.827791030947992e-06,1.8693450272166956e-06
1903,5.6545704865129665e-06,1.9905211274817702e-06
1904,5.574023816734552e-06,2.006885097216582e-06
1905,5.6835439181668335e-06,2.0369515709717234e-06
1906,5.602016926786746e-06,1.9784533265010396e-06
1907,5.026615099268383e-06,1.8956520193569304e-06
1908,5.5204012596732355e-06,2.1217200583123486e-06
1909,5.739176231145393e-06,2.216896405116131e-06
1910,5.845966484230303e-06,2.0954414594598347e-06
1911,5.472004886541981e-06,1.9770510562011623e-06
1912,5.8725808003146085e-06,1.9618680653366027e-06
1913,5.218141950535937e-06,2.065514422611159e-06
1914,4.902016371488571e-06,1.978887723907974e-06
1915,4.89608453335677e-06,1.7459089178828435e-06
1916,5.425608719633601e-06,1.8118324476290582e-06
1917,5.5512042536065564e-06,1.748048020999704e-06
1918,5.7787959804045386e-06,2.2788970568399236e-06
1919,5.591005447058706e-06,1.743045743296534e-06
1920,5.8207747315464076e-06,1.821121770717582e-06
1921,5.490999228641158e-06,1.6864509007064044e-06
1922,6.134015848147101e-06,1.7050409155672241e-06
1923,5.812231506752141e-06,1.6040697516928049e-06
1924,5.944327995166532e-06,1.6217663585393893e-06
1925,5.33411628111935e-06,1.702517977264506e-06
1926,5.8784733028005576e-06,1.6997860825540556e-06
1927,6.264749572437722e-06,1.7615775504964404e-06
1928,5.758724682891625e-06,1.5710807019786444e-06
1929,5.82531833970279e-06,1.6242712774783286e-06
1930,5.009168489777949e-06,1.5471807444100705e-06
1931,4.784547058989119e-06,1.7233494418178452e-06
1932,4.840827273255854e-06,1.490497027134552e-06
1933,4.641030045604566e-06,1.4430092676320783e-06
1934,4.729129841507529e-06,1.2988033120109321e-06
1935,4.893831260233128e-06,1.3404478238498996e-06
1936,4.333372999099083e-06,1.2112590184187866e-06
1937,4.3653406009980245e-06,1.259111797935475e-06
1938,4.696000587500748e-06,1.1253806064814853e-06
1939,4.637156052922364e-06,1.2036418013394723e-06
1940,3.557703280421265e-06,1.1563170119188726e-06
1941,4.312145165386028e-06,1.2160191147359e-06
1942,4.4633255811277195e-06,1.2409925602696603e-06
1943,4.694531298810034e-06,1.1409714488763711e-06
1944,4.89368244416255e-06,1.2499294257395377e-06
1945,5.271979716781061e-06,1.2613538160621829e-06
1946,4.774938702212239e-06,1.0635723697305366e-06
1947,5.310747837938834e-06,1.240962689053049e-06
1948,4.791241053681006e-06,1.0708809554671461e-06
1949,3.793291966758261e-06,1.0023165657457866e-06
1950,4.54768064628297e-06,9.210222913225152e-07
1951,5.0204541821585735e-06,1.1194471767339564e-06
1952,4.2358477685411344e-06,1.0112466668488196e-06
1953,3.816089588326577e-06,9.136205960658117e-07
1954,4.751407118419593e-06,8.287110802029929e-07
1955,3.7683215623474098e-06,7.940224406866037e-07
1956,3.7849754335184116e-06,7.840306182060885e-07
1957,3.829988827419584e-06,9.665531308655773e-07
1958,3.670394448818115e-06,9.140829035914066e-07
1959,3.3878519616337144e-06,8.518072007746014e-07
1960,3.772546165237145e-06,7.896670979334885e-07
1961,3.8006430713721784e-06,8.365583994418557e-07
1962,3.753169721676386e-06,9.107049265821843e-07
1963,3.875752327076043e-06,8.030838074546409e-07
1964,3.594408553908579e-06,9.052944704990296e-07
1965,3.3445129474785062e-06,9.384554289226799e-07
1966,3.957668809562165e-06,9.266871927593456e-07
1967,3.794879376073368e-06,1.1236234911393694e-06
1968,4.013529178337194e-06,1.0743466702933802e-06
1969,3.5834469827022986e-06,8.979055081681508e-07
1970,2.957899994271429e-06,8.57662200814957e-07
1971,3.2448979254695587e-06,8.771244779381959e-07
1972,3.0155003969412064e-06,8.044070085588828e-07
1973,2.748883389358525e-06,7.773617198836291e-07
1974,2.049958311545197e-06,6.317516891840569e-07
1975,2.0064429691046826e-06,6.945159753968255e-07
1976,1.980879801521951e-06,6.79909703649173e-07
1977,1.979300122911809e-06,6.534981338290891e-07
1978,2.7445531713965465e-06,7.110887594308224e-07
1979,2.49528147833189e-06,7.12770344080127e-07
1980,2.1768441342828737e-06,6.299146804167322e-07
1981,2.132975282620464e-06,5.041462998178758e-07
1982,2.098756510804378e-06,4.7425317717397775e-07
1983,1.9678525404742686e-06,5.165928484984761e-07
1984,2.0348720681795385e-06,4.73199094130905e-07
1985,1.9087365217274055e-06,5.041037667297132e-07
1986,2.0489151211222634e-06,4.951445049528047e-07
1987,1.9890709381797933e-06,4.705328819909482e-07
1988,1.917697886710812e-06,5.133049967298575e-07
1989,2.270984964525269e-06,5.147858530563099e-07
1990,1.7353953012388956e-06,4.931029025101452e-07
1991,1.8223295796815364e-06,4.607111634413741e-07
1992,1.8436273307997908e-06,4.903850339132987e-07
1993,1.8356933537688747e-06,4.497836414429912e-07
1994,1.7639354155107867e-06,5.14832848352853e-07
1995,1.7205436506628757e-06,4.300003411117359e-07
1996,1.5053419701871462e-06,4.2811498701667006e-07
1997,1.4571684232578264e-06,4.377738775929174e-07
1998,1.63880599757249e-06,4.348533764186868e-07
1999,1.6375030327253626e-06,4.2777083564260465e-07
2000,1.5873986853875977e-06,4.2810726341713234e-07
2001,1.5360528209384938e-06,4.451311212960718e-07
2002,1.7936720837496978e-06,4.779912572416833e-07
2003,1.597598270564049e-06,4.421105046503726e-07
2004,1.5738319234515075e-06,4.4532440313105326e-07
2005,1.567304934724234e-06,4.4542083088572326e-07
2006,1.8592273249851132e-06,4.2784874665358075e-07
2007,1.5334806562350423e-06,3.8866286189431776e-07
2008,1.8221841742160905e-06,3.938131669656286e-07
2009,1.637874106563686e-06,3.9242224403324144e-07
2010,1.674584666488954e-06,3.1082557683248524e-07
2011,2.276792884003953e-06,3.3345035888032726e-07
2012,3.6245078263164032e-06,5.140421563964992e-07
2013,4.060966034558078e-06,5.505732900701332e-07
2014,4.495247594604734e-06,7.520591225329554e-07
2015,5.611260576188215e-06,7.744714451973778e-07
2016,5.598003554041497e-06,1.0988458996052941e-06
2017,2.274615781061584e-06,3.609902137213794e-07
2018,4.276199547348369e-06,5.544990528960625e-07
2019,5.367533276512404e-06,6.265225920287776e-07
