year,en_ADP are_NOUN,en_ADP phare_NOUN
1968,8.982831700699023e-09,4.491415656060482e-09
1969,4.541757636644661e-09,5.450109252791435e-09
1970,1.241655755990223e-08,8.27770510469783e-09
1971,4.624557625731995e-09,5.138397485282553e-09
1972,1.0773308800615666e-08,3.0780880067027283e-09
1973,8.269805840122046e-09,2.7566018911961976e-09
1974,8.438357568252286e-09,3.3753431161187564e-09
1975,3.998036124386317e-09,6.8537762132336866e-09
1976,5.713526873840635e-09,7.4275851025262796e-09
1977,5.876781727920388e-09,7.639816446136649e-09
1978,5.346532105932056e-09,5.940591241149207e-09
1979,3.511183899185255e-09,7.607565244427406e-09
1980,6.253665585376211e-09,3.411090521154847e-09
1981,5.060439622894819e-09,6.325549528618524e-09
1982,5.586751949948621e-09,6.828252629986764e-09
1983,3.78918940668882e-09,1.0736036948344463e-08
1984,1.7397025486864948e-09,4.059306057957457e-09
1985,3.007779025843149e-09,4.210890747202711e-09
1986,5.3950369172106605e-09,1.7384007122700496e-08
1987,4.277571852284723e-09,6.110816741511371e-09
1988,4.797243047249822e-09,2.99827696004229e-09
1989,3.292873196336643e-09,8.232183490441969e-09
1990,4.90378582185258e-09,7.628111475810329e-09
1991,2.9307326565586322e-09,7.6199047072123e-09
1992,1.65298330578878e-09,8.264915862810085e-09
1993,2.2156829704300662e-09,2.7696036575264316e-09
1994,8.439882570598911e-09,5.274926717646622e-09
1995,3.795715741716776e-09,5.4224509327127635e-09
1996,2.135236876199542e-09,7.473328622609188e-09
1997,3.835915585170824e-09,6.7128524960935465e-09
1998,1.43043876743576e-09,6.675381136744818e-09
1999,2.2851006253876704e-08,6.398281460207045e-09
2000,4.859834423776022e-09,2.6508188977203417e-09
2001,3.5049693702937645e-09,8.762423675534592e-09
2002,3.9430991805033955e-09,7.009954394732176e-09
2003,6.667076501987168e-09,9.167230530238157e-09
2004,1.761916529341434e-09,6.166707589017051e-09
2005,4.9541245550344115e-09,7.656374423348211e-09
2006,1.6471559671771274e-09,9.882935358973555e-09
2007,7.589511019645556e-09,1.0385646481703148e-08
2008,2.5544638071473003e-09,1.3198063086861112e-08
2009,1.430457752249481e-09,1.0490023072406984e-08
2010,7.085689812669216e-09,8.502827775203059e-09
2011,5.735957819830162e-09,1.3766299211681599e-08
2012,3.063827413996023e-09,1.2595734927289826e-08
2013,2.2313000336282585e-09,8.925200134513034e-09
2014,2.3819897165822113e-09,1.1043770342666903e-08
2015,2.881548027966474e-09,4.211493376260478e-09
2016,1.86420612280358e-09,1.118523584864306e-08
2017,2.515611413622665e-09,6.792150397672003e-09
2018,3.0977600484760615e-09,9.035133530232997e-09
2019,3.826481576041374e-09,9.438654302584837e-09
