year,en_ADP or_NOUN
1923,8.043703928706236e-06
1924,8.326700481120497e-06
1925,8.824938049656339e-06
1926,8.1400248745922e-06
1927,8.067579074122477e-06
1928,8.855182386469096e-06
1929,1.1270749382674694e-05
1930,7.525831733801169e-06
1931,7.273195933521492e-06
1932,7.509474471589783e-06
1933,7.3159885687346105e-06
1934,7.547197128587868e-06
1935,7.015808023425052e-06
1936,6.872288395243231e-06
1937,7.155532330216374e-06
1938,6.883232344989665e-06
1939,7.052086857584072e-06
1940,5.931196028541308e-06
1941,5.746575425291667e-06
1942,5.1793995226034895e-06
1943,5.707760465156753e-06
1944,6.905137070134515e-06
1945,6.2893413996789604e-06
1946,6.498371476482134e-06
1947,6.525484877784038e-06
1948,5.5359651014441624e-06
1949,6.833619409007952e-06
1950,6.2078606788418256e-06
1951,6.310483513516374e-06
1952,6.2530689319828525e-06
1953,6.049504008842632e-06
1954,6.1772202570864465e-06
1955,6.206702437339118e-06
1956,6.0036336435587145e-06
1957,6.971728453208925e-06
1958,4.993953552911989e-06
1959,5.545659860217711e-06
1960,5.3352705435827374e-06
1961,6.085892891860567e-06
1962,6.563290753547335e-06
1963,6.0923152886971366e-06
1964,5.8765049288922455e-06
1965,6.6567408794071525e-06
1966,6.204317742231069e-06
1967,6.0919228417333215e-06
1968,6.53456072541303e-06
1969,7.288158940355061e-06
1970,6.666771696473006e-06
1971,6.522681815113174e-06
1972,6.21466006123228e-06
1973,5.915667770750588e-06
1974,5.516998044186039e-06
1975,6.028467396390624e-06
1976,6.0900483731529675e-06
1977,6.050147021596786e-06
1978,5.6108883654815145e-06
1979,5.7173779168806504e-06
1980,5.888678970222827e-06
1981,5.95044457440963e-06
1982,5.961064289294882e-06
1983,5.759568011853844e-06
1984,6.095917797210859e-06
1985,6.118424153100932e-06
1986,5.735523700423073e-06
1987,5.65678328712238e-06
1988,5.375311047828291e-06
1989,6.06547246206901e-06
1990,5.819704256282421e-06
1991,5.580114702752326e-06
1992,5.430049895949196e-06
1993,5.8560499383020215e-06
1994,5.764439720223891e-06
1995,5.808529294881737e-06
1996,5.747524028265616e-06
1997,5.329525265551638e-06
1998,5.069474809715757e-06
1999,5.412489372247364e-06
2000,5.48984598935931e-06
2001,5.306085768097546e-06
2002,6.18234162175213e-06
2003,6.024537015036913e-06
2004,5.382214567362098e-06
2005,5.035642516304506e-06
2006,5.536914613912813e-06
2007,6.016085535520688e-06
2008,6.0127822507638484e-06
2009,6.098518042563228e-06
2010,6.364838554873131e-06
2011,6.975689757382497e-06
2012,7.917270522739273e-06
2013,8.129462912620511e-06
2014,8.145538231474347e-06
2015,8.120645361486822e-06
2016,8.165222425304819e-06
2017,7.38835069569177e-06
2018,8.043333764362615e-06
2019,7.576943971798755e-06
