year,on_PRON aille_VERB,on_PRON faille_VERB
1857,1.0446429521415723e-07,4.393358177257056e-09
1858,1.4338470388786106e-07,3.91494070495213e-09
1859,1.4156242134077957e-07,2.036869339860914e-09
1860,1.3868866621802312e-07,1.373155145145688e-09
1861,1.8203619611689703e-07,5.187560159214399e-09
1862,1.314734064949974e-07,2.710791813242963e-09
1863,9.739510942186058e-08,5.9935452156878455e-09
1864,1.1938872856998017e-07,2.8768367688059016e-09
1865,1.1955384326967078e-07,5.648213063924601e-09
1866,9.731226180420549e-08,2.919367858567057e-09
1867,7.715970440358433e-08,9.7056229719783e-10
1868,8.545982410623765e-08,2.9639244392143382e-09
1869,1.1866951865613373e-07,9.767038289254515e-10
1870,1.0607989997524214e-07,2.2936195165357276e-09
1871,1.391374269132939e-07,3.18635318130589e-09
1872,1.0099056690915376e-07,0.0
1873,7.961386216948085e-08,5.38740402289406e-09
1874,9.380136556380592e-08,1.7923826867161097e-09
1875,1.069925564811669e-07,4.577221601742565e-09
1876,1.1487428452916504e-07,0.0
1877,1.3606594784221215e-07,3.0924081073635534e-09
1878,1.1051532311512346e-07,1.8117265465633636e-09
1879,1.5700965305676107e-07,6.10932526790009e-10
1880,9.49841270081464e-08,5.134277225593564e-09
1881,1.3735839843320719e-07,1.3945015142624584e-09
1882,1.2245909086772144e-07,2.6621540527571597e-09
1883,1.383935219756438e-07,1.2638677882037541e-09
1884,1.095881714263669e-07,3.9610181801208455e-09
1885,6.896830140323829e-08,6.445635691854079e-10
1886,1.0841819375606576e-07,3.872078380151578e-09
1887,1.168677528085027e-07,1.9586774424595887e-09
1888,9.510922338584749e-08,5.07249175996094e-09
1889,1.4535116549252436e-07,3.132568371366773e-09
1890,1.2125615561631164e-07,2.6217545912032847e-09
1891,1.0198752420365054e-07,1.912266012205066e-09
1892,1.165943306347117e-07,1.8805537127519756e-09
1893,9.545545509581643e-08,6.158416554491453e-10
1894,1.1531816568322029e-07,2.520615716150587e-09
1895,1.0171458342256301e-07,3.611168697403855e-09
1896,9.31730568254352e-08,3.5382172747233653e-09
1897,1.130382401015595e-07,6.992056045262984e-09
1898,1.0524540006162653e-07,4.526684027617023e-09
1899,1.2160673001915256e-07,1.1055156790007459e-09
1900,1.0485927504078063e-07,3.1146317747143826e-09
1901,1.0953928258894408e-07,1.1177477832191585e-09
1902,1.0262493077561885e-07,2.455141867585553e-09
1903,1.3230540218955866e-07,5.940242298052567e-09
1904,1.0534265104666929e-07,3.7622376325430196e-09
1905,1.1869745719650382e-07,1.5482277126999122e-09
1906,9.10520689956229e-08,6.687439713104482e-09
1907,9.925688004841504e-08,4.628559036046198e-09
1908,1.154176463291634e-07,2.9468334439286537e-09
1909,1.1992143811312417e-07,4.9508852018043115e-09
1910,8.817848473618994e-08,4.809735609789811e-09
1911,8.938228290844563e-08,3.7242618988742038e-09
1912,7.501566656742398e-08,2.6047105583515417e-09
1913,9.492351438211699e-08,3.181793939432964e-09
1914,9.911180348654014e-08,4.0180461735594974e-09
1915,1.0249262771822032e-07,2.3561523843085297e-09
1916,1.4723198660249182e-07,0.0
1917,9.869781791849164e-08,1.0966424435210342e-09
1918,9.189101035644853e-08,5.743188147278033e-09
1919,9.023691660559052e-08,9.207848372660976e-10
1920,1.2115570768855832e-07,4.543339038320937e-09
1921,1.2116396419514786e-07,3.0290989716519334e-09
1922,1.0624226831623673e-07,1.4755870969551665e-09
1923,9.342033990833443e-08,2.1231896241147297e-09
1924,1.0957880958173405e-07,1.289162443462999e-09
1925,6.708888378170741e-08,2.1996355847875293e-09
1926,1.3263904463656218e-07,1.1146138456652466e-09
1927,1.4159515160372393e-07,6.689535148041159e-09
1928,8.455270261720216e-08,0.0
1929,1.0583386256257654e-07,0.0
1930,8.612954671693984e-08,0.0
1931,6.84321435073798e-08,0.0
1932,1.0521155502374313e-07,3.287861094491973e-09
1933,8.832410003378754e-08,1.1470662197865522e-09
1934,8.746553348260022e-08,2.3963160344919743e-09
1935,8.258115968828861e-08,1.196828414151696e-09
1936,6.789839934739916e-08,1.2124714565686645e-09
1937,8.939694140508436e-08,1.2591118148108649e-09
1938,7.90878047496335e-08,0.0
1939,5.6587985852729616e-08,1.5294050470515685e-09
1940,7.60734906180005e-08,0.0
1941,7.083606590185809e-08,2.9515025978810172e-09
1942,9.709477910568864e-08,3.034211770724937e-09
1943,8.709705667797607e-08,0.0
1944,6.7476911169706e-08,0.0
1945,8.931866801731303e-08,0.0
1946,8.491873604299371e-08,0.0
1947,7.033313909055039e-08,0.0
1948,7.284165093324191e-08,5.435943917220243e-09
1949,1.0504199110528134e-07,9.817008317369869e-10
1950,9.997239658332546e-08,0.0
1951,7.462980988748313e-08,0.0
1952,7.065018792218325e-08,2.1089607837865287e-09
1953,8.834538789415092e-08,2.1547654771580937e-09
1954,9.772536357921524e-08,0.0
1955,7.696198167650437e-08,0.0
1956,7.325758843990116e-08,0.0
1957,7.951533831374036e-08,0.0
1958,1.0588471877071015e-07,8.272243445794913e-10
1959,1.147110708643595e-07,7.750747821333448e-10
1960,1.0934916616633927e-07,0.0
1961,1.208979654165887e-07,2.779263708063695e-09
1962,1.0020291230095069e-07,2.5367825617905737e-09
1963,1.2285501371778196e-07,5.1728423766661535e-09
1964,1.0890303059341022e-07,6.083968329129164e-10
1965,9.028871872374111e-08,2.188817349590977e-09
1966,1.3626123196441853e-07,4.431259803538978e-09
1967,1.1191862092641003e-07,4.930335584241163e-10
1968,1.1363282267917718e-07,2.245707925174756e-09
1969,1.6077822179161316e-07,9.083515606356229e-10
1970,1.1220888965213227e-07,1.8394900047624674e-09
1971,1.3668137910372025e-07,5.138397485282553e-10
1972,9.747279250404972e-08,0.0
1973,1.2018784900647006e-07,1.102640756478479e-09
1974,1.1644933467502838e-07,2.2502286700643026e-09
1975,1.1080271544727793e-07,2.2845920710778955e-09
1976,8.97023753054782e-08,2.8567634369203176e-09
1977,1.1636028318662284e-07,5.876781838942691e-10
1978,1.0396034888504602e-07,1.7821774056514528e-09
1979,1.3518058494810248e-07,1.1703946700691858e-09
1980,1.0972340902526412e-07,2.2740602734216964e-09
1981,1.290412114940409e-07,1.8976649140967083e-09
1982,9.869928874195466e-08,0.0
1983,1.2188560560844053e-07,0.0
1984,1.2119927816911513e-07,0.0
1985,8.662403350179204e-08,0.0
1986,1.1869081362192446e-07,0.0
1987,1.1243903230706564e-07,0.0
1988,1.1513382958128204e-07,3.597932174415064e-09
1989,1.081160050375729e-07,2.1952488715726304e-09
1990,1.0243464032555494e-07,5.448650863826288e-09
1991,1.4419204319437995e-07,1.1722930404189924e-09
1992,1.261777242689277e-07,0.0
1993,1.4401939552044496e-07,1.661762283333701e-09
1994,1.392580628034601e-07,2.1099706426497278e-09
1995,1.3068106330393903e-07,0.0
1996,1.3825658817800957e-07,3.2028553142993132e-09
1997,1.3809295751343598e-07,0.0
1998,1.273090529663179e-07,1.9072516899143466e-09
1999,1.1973926819508485e-07,0.0
2000,1.2900652468506024e-07,8.836062992401139e-10
2001,1.4501810649547586e-07,1.3143635069212678e-09
2002,1.458946771171199e-07,0.0
2003,1.1917399689309605e-07,4.1669229178253886e-10
2004,1.0791738649928995e-07,0.0
2005,1.2520423808837222e-07,4.5037495954858286e-10
2006,1.3341963372992538e-07,0.0
2007,1.2302997234869828e-07,1.1983438685803094e-09
2008,1.404955156658616e-07,8.514879357157668e-10
2009,1.106220679503167e-07,0.0
2010,1.4596520259146928e-07,1.8895172093635892e-09
2011,1.4837010553492291e-07,7.64794394481072e-10
2012,1.6919136669457657e-07,1.0212758139171996e-09
2013,1.333201732900413e-07,2.789125042035323e-10
2014,1.628414716958737e-07,4.330890368553497e-10
2015,1.5737685661598722e-07,6.649726186358507e-10
2016,1.4665088032828066e-07,0.0
2017,1.6024444052242792e-07,5.031222660711876e-10
2018,1.520483915995463e-07,5.162933414126769e-10
2019,1.4234511414024098e-07,5.1019755087367e-10
