year,aucun_DET fard_NOUN
1896,4.1279202278587945e-09
1897,2.9133566670225264e-09
1898,4.52668391659472e-09
1899,9.39688327150634e-09
1900,5.19105292084987e-09
1901,2.794369458047896e-09
1902,6.38336894454028e-09
1903,2.7001101354784396e-09
1904,4.837162670412454e-09
1905,1.0321517862621477e-08
1906,8.230695236477459e-09
1907,3.599990305858114e-09
1908,2.4556945366072114e-09
1909,7.701377313651392e-09
1910,5.34415089958884e-09
1911,2.128149656499545e-09
1912,3.125652625612929e-09
1913,4.772690687104841e-09
1914,4.018046340092951e-09
1915,2.0027294933555595e-08
1916,5.493731025651982e-09
1917,1.5352993543160665e-08
1918,2.2972752589112133e-09
1919,3.6831394045755417e-09
1920,3.786115865267448e-09
1921,6.815472630705699e-09
1922,2.8036154453570106e-08
1923,6.369568872344189e-09
1924,9.024136882196387e-09
1925,1.9796720263087764e-08
1926,1.4489979882625903e-08
1927,2.7873062080630007e-08
1928,1.2568645457733396e-08
1929,1.0026365515614089e-08
1930,8.402882945013346e-09
1931,2.2810713318222042e-09
1932,9.863582839386709e-09
1933,9.176529758292418e-09
1934,1.0783422155213884e-08
1935,7.180970484910176e-09
1936,1.333718602225531e-08
1937,1.0072894518486919e-08
1938,1.4261736125398272e-08
1939,1.8352860564618823e-08
1940,1.2678914584896006e-08
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,2.5705489292704442e-08
1945,1.089252066321933e-08
1946,1.5313214696277555e-08
1947,1.549713202209091e-08
1948,1.0871888278529696e-08
1949,3.9268033269479474e-09
1950,1.3825970146541522e-08
1951,8.529121409139861e-09
1952,8.435843135146115e-09
1953,1.185120990232491e-08
1954,1.759056522665503e-08
1955,7.508486277174597e-09
1956,6.104799332717903e-09
1957,1.5019564092444426e-08
1958,1.4062813857851353e-08
1959,1.6276570535822543e-08
1960,1.5917916873497973e-08
1961,1.1811870925804158e-08
1962,8.878739188311613e-09
1963,1.2932106829843804e-08
1964,7.300761994954996e-09
1965,1.3132903931012407e-08
1966,9.416427415587236e-09
1967,1.2818872574538176e-08
1968,1.5719955531734442e-08
1969,6.8126364549669916e-09
1970,1.425604723159779e-08
1971,5.652237344833111e-09
1972,7.182205663536223e-09
1973,7.16716475057666e-09
1974,7.875800234202757e-09
1975,1.2565256835017635e-08
1976,1.599787480266457e-08
1977,6.464460078348111e-09
1978,1.0099005187669263e-08
1979,8.192762912528906e-09
1980,2.2740602734216964e-09
1981,1.075343419865149e-08
1982,9.932003663948308e-09
1983,6.315316158911344e-09
1984,9.858314442556804e-09
1985,5.4140022465176685e-09
1986,1.2588419306958087e-08
1987,1.099947066762752e-08
1988,7.195864737408186e-09
1989,4.390497743145261e-09
1990,4.90378582185258e-09
1991,1.1722930404189924e-09
1992,8.264916362410446e-09
1993,7.200969598386564e-09
1994,1.529728693716592e-08
1995,8.675921314704738e-09
1996,1.1209993600047596e-08
1997,3.835915585170824e-09
1998,4.29131630230728e-09
1999,9.597422412355172e-09
2000,7.068850615965516e-09
2001,5.695575122643959e-09
2002,5.695587723675288e-09
2003,5.8336921959778465e-09
2004,7.488145215006625e-09
2005,5.404499514582994e-09
2006,6.588624035241963e-09
2007,7.988959188631739e-09
2008,6.3861596011349775e-09
2009,9.53638501499654e-09
2010,8.502827775203059e-09
2011,6.1183550448262736e-09
2012,1.1234034036355922e-08
2013,1.0040850373371768e-08
2014,1.3425760503338324e-08
2015,1.1082876671952846e-08
2016,9.942432432907822e-09
2017,1.0817129081353016e-08
2018,1.135845340005659e-08
2019,8.673358253830088e-09
