year,bon_ADJ or_NOUN
1909,5.4459736276157855e-08
1910,4.11499598840237e-08
1911,5.320374063533251e-08
1912,4.151908689631334e-07
1913,1.0234770431161166e-07
1914,3.6162417338392316e-08
1915,4.9479201069679846e-08
1916,1.538244731591476e-07
1917,9.869782291449525e-08
1918,3.101321777165822e-08
1919,2.5781975665495338e-08
1920,3.48322650722821e-08
1921,2.574734203619755e-08
1922,3.32007097370024e-08
1923,3.927900982247934e-08
1924,2.4494086647841584e-08
1925,4.8391983309414854e-08
1926,6.57622145627812e-08
1927,2.4528294062520217e-08
1928,2.5137291359556002e-08
1929,3.119313873867213e-08
1930,3.676261073337628e-08
1931,2.737285598186645e-08
1932,2.5206933651489294e-08
1933,9.405943046658649e-08
1934,2.036868629318178e-08
1935,2.6330225111337313e-08
1936,3.516167268458048e-08
1937,2.895957251780601e-08
1938,3.5006078036303734e-08
1939,4.129393715857077e-08
1940,2.7893612530860423e-08
1941,2.3612020783048138e-08
1942,4.8547388331598995e-08
1943,2.9032351633873077e-08
1944,2.5705489292704442e-08
1945,3.0499055725385915e-08
1946,2.645009899993056e-08
1947,3.0994263822137214e-08
1948,3.913879709216417e-08
1949,3.337782672474532e-08
1950,2.5524867552917385e-08
1951,2.2388943254902927e-08
1952,3.1634410646574906e-08
1953,4.3095308654983455e-08
1954,4.593092128857279e-08
1955,7.790054246115119e-08
1956,3.575668117150599e-08
1957,3.268964121616591e-08
1958,2.9780077070995503e-08
1959,1.7826719656000023e-08
1960,2.8375417571169237e-08
1961,5.072156383789661e-08
1962,3.6783347923119436e-08
1963,3.2330266463986845e-08
1964,3.102823953327061e-08
1965,3.1190647065137966e-08
1966,3.212663202134536e-08
1967,2.8102911997507363e-08
1968,3.5482184301827147e-08
1969,2.8613074576355757e-08
1970,4.1388524607555155e-08
1971,4.419021948365298e-08
1972,2.7702792948502974e-08
1973,5.788864143596584e-08
1974,2.700274492895005e-08
1975,1.6563292959403952e-08
1976,2.7424929827102318e-08
1977,1.704266772151186e-08
1978,2.5544542481270582e-08
1979,3.3356247541860284e-08
1980,1.989802811408481e-08
1981,1.3916208629893845e-08
1982,1.8001756529884005e-08
1983,2.273513821648976e-08
1984,7.248760880429472e-08
1985,3.549179083961462e-08
1986,1.3787316177626963e-08
1987,1.7110287964250404e-08
1988,1.798966131616453e-08
1989,6.3113404280557e-08
1990,1.4166492867673242e-08
1991,2.0515127652220855e-08
1992,1.652983172562017e-08
1993,1.606370148010683e-08
1994,1.8462243289718572e-08
1995,1.3013881527967897e-08
1996,1.1209993822092201e-08
1997,1.5343662340683295e-08
1998,1.1920323395031573e-08
1999,1.8737825513426287e-08
2000,1.899753598877396e-08
2001,1.9277331730904734e-08
2002,1.8401129509015846e-08
2003,1.2084076850271686e-08
2004,3.567880924038036e-08
2005,1.8465372453313478e-08
2006,1.647156044892739e-08
2007,9.586750421286538e-09
2008,1.4049550939310151e-08
2009,2.86091541568112e-08
2010,5.668551850135373e-09
2011,1.2236710311697152e-08
2012,1.2936160587173617e-08
2013,2.0081699858565116e-08
2014,1.3858849179371191e-08
2015,2.1722438958704515e-08
2016,2.2991875070488277e-08
2017,1.106868996458843e-08
2018,1.4456214003644163e-08
2019,1.6836519733942623e-08
