year,un_DET or_NOUN,un_DET for_NOUN
1947,2.467620250357072e-07,1.4305045148432782e-08
1948,2.2504807328793675e-07,2.2830963786191205e-08
1949,1.6787084566871613e-07,2.3560819850665382e-08
1950,2.392956330865559e-07,2.765194051512765e-08
1951,1.8124383416306955e-07,3.7314906720098406e-08
1952,1.5079069926038358e-07,4.007025466989944e-08
1953,1.63762175486859e-07,3.5553629373907825e-08
1954,1.7688290654405137e-07,2.7363101118282884e-08
1955,2.0554480517631646e-07,3.191106756617046e-08
1956,2.284939024654875e-07,3.5756680949461384e-08
1957,2.085068859791761e-07,2.2087595086262013e-08
1958,1.7619878889263418e-07,5.376958167602197e-08
1959,2.418233284728899e-07,2.40273188012452e-08
1960,2.0693291524764845e-07,2.145458388724819e-08
1961,1.5702839251119372e-07,3.821487437605242e-08
1962,1.6235407795939238e-07,2.0294260161257682e-08
1963,2.172593909222087e-07,1.9398159301076134e-08
1964,1.843442358762104e-07,2.251068309533366e-08
1965,1.8933270418131087e-07,2.9001829660035838e-08
1966,1.7558866582945143e-07,3.378835733425234e-08
1967,1.8488758657397852e-07,2.5637744760498293e-08
1968,2.1918108839003025e-07,2.2457079196236407e-08
1969,2.089208512856544e-07,4.269252371069676e-08
1970,1.926865720314197e-07,3.54101814536989e-08
1971,2.04508219692201e-07,3.134422499329048e-08
1972,1.6416469428293112e-07,3.1806909106535386e-08
1973,1.6649875078655896e-07,3.583582458555057e-08
1974,1.282630317511746e-07,4.2754343232420666e-08
1975,1.4221585997731268e-07,4.968987932230107e-08
1976,1.605501056545222e-07,3.370980822259284e-08
1977,1.7806648999751928e-07,1.8218024422367307e-08
1978,1.6990090667690083e-07,2.7326720442033547e-08
1979,1.5624769433841834e-07,4.0378615340230795e-08
1980,1.4042322349361314e-07,3.4679418559058206e-08
1981,1.3663186382295578e-07,2.4669642328944974e-08
1982,1.4960080729764513e-07,3.1658260013500694e-08
1983,1.7430272425400517e-07,4.9890996223211914e-08
1984,2.0644470088981848e-07,2.8995042811175153e-08
1985,1.6843561922996741e-07,2.5265342928904033e-08
1986,1.5166047662162896e-07,3.237022139224166e-08
1987,1.6865854401970637e-07,6.233033078562045e-08
1988,1.5890867549606114e-07,7.015967851131677e-08
1989,1.597043612910909e-07,4.774666284568241e-08
1990,2.075936054168892e-07,4.631353356376877e-08
1991,1.5298424571597025e-07,7.268216961620055e-08
1992,1.526254580497266e-07,4.628353167390742e-08
1993,1.6340661534997025e-07,4.985286850001103e-08
1994,1.5561033483990627e-07,4.536436992719217e-08
1995,1.697227065555751e-07,5.259777369204244e-08
1996,1.6441323813509712e-07,7.206424612604678e-08
1997,1.380929672833986e-07,6.329260615611787e-08
1998,1.325539886742888e-07,5.96016139775557e-08
1999,1.2705159235792962e-07,1.0054442323159662e-07
2000,1.4049340268940114e-07,3.8878676389408895e-08
2001,1.1697835455848349e-07,7.842369154076323e-08
2002,1.3888471617207188e-07,5.607963515785741e-08
2003,1.4875914144951707e-07,5.083645826520211e-08
2004,1.1364361629517816e-07,8.677439106152818e-08
2005,1.328606158423895e-07,3.963299732845371e-08
2006,1.288899516005415e-07,4.406142251056622e-08
2007,1.2982058628097093e-07,5.552326456936818e-08
2008,1.4560443784006338e-07,8.81290020959824e-08
2009,1.258802806436421e-07,4.815874521391095e-08
2010,1.2848717245717012e-07,5.385124124401841e-08
2011,1.4148695681726053e-07,2.9444583604654184e-08
2012,1.6714880723966985e-07,2.2808493871373514e-08
2013,1.7794617912514354e-07,2.119734965333464e-08
2014,1.5980985668129222e-07,2.706806415120333e-08
2015,1.9395035044666997e-07,4.366653527654307e-08
2016,1.9367029446826223e-07,3.003443072024936e-08
2017,1.5420698051826776e-07,3.1445140991070986e-08
2018,2.0858250815436463e-07,2.9428720182966828e-08
2019,1.992321396748764e-07,2.3979284058395223e-08
