year,un_DET futile_ADJ
1910,1.0153886620400954e-08
1911,5.852411666396051e-09
1912,3.125652625612929e-09
1913,1.856046338843953e-08
1914,6.027069510139427e-09
1915,2.3561523843085297e-09
1916,7.69122365795738e-09
1917,2.631941953268324e-08
1918,8.040463406189247e-09
1919,8.287063479883727e-09
1920,9.086678076641874e-09
1921,1.817459427400081e-08
1922,1.8444838545406128e-08
1923,7.431163684401554e-09
1924,1.5469948877466777e-08
1925,1.0998178368026856e-08
1926,1.671920735191179e-08
1927,4.4596899506643695e-09
1928,1.1426041335305115e-08
1929,8.912325100141061e-09
1930,5.2518016602221e-09
1931,1.3686427990933225e-08
1932,3.2878609834696704e-09
1933,1.1470662197865522e-09
1934,1.4377896206951846e-08
1935,4.787313656606784e-09
1936,8.487299751891442e-09
1937,1.1332006444320086e-08
1938,5.186085783037697e-09
1939,9.176430282309411e-09
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,1.9606536838523425e-08
1946,8.352662561605939e-09
1947,1.4305045148432782e-08
1948,1.0871888278529696e-08
1949,2.945102384188658e-09
1950,1.3825969702452312e-08
1951,1.1727541604500402e-08
1952,1.0544803918932644e-09
1953,9.69644453618912e-09
1954,2.34540866728139e-08
1955,1.0324168631115072e-08
1956,6.976913269340912e-09
1957,2.03205861026845e-08
1958,5.790570245522986e-09
1959,1.0851047171911432e-08
1960,7.612916519406099e-09
1961,1.459113452284555e-08
1962,9.512934440181198e-09
1963,9.69907976156037e-09
1964,2.4335873316516654e-09
1965,9.302473458205895e-09
1966,9.970334557962701e-09
1967,6.409436426046966e-09
1968,4.491415683816058e-09
1969,7.72098829315837e-09
1970,4.5987250119061684e-09
1971,1.0790635052160269e-08
1972,1.0260293392683195e-08
1973,1.1026407842340546e-08
1974,7.313243344242437e-09
1975,4.569184142155791e-09
1976,6.284879672247001e-09
1977,1.645498892699493e-08
1978,3.5643548113029055e-09
1979,8.192762579461998e-09
1980,5.116635559687666e-09
1981,1.2018544159886346e-08
1982,6.2075020679230875e-09
1983,1.1999100379966876e-08
1984,9.278413592994639e-09
1985,6.015557829641693e-09
1986,4.795588481876223e-09
1987,6.721898426764739e-09
1988,7.195864348830128e-09
1989,7.683371272548811e-09
1990,8.717841559757744e-09
1991,5.2753188484189195e-09
1992,3.856960972825618e-09
1993,3.877445031719162e-09
1994,4.7474339459618875e-09
1995,7.0491861237087505e-09
1996,6.4057106285986265e-09
1997,4.315404922294874e-09
1998,5.72175506974304e-09
1999,4.113180906983871e-09
2000,4.859834756842929e-09
2001,7.448059946568719e-09
2002,3.066854992184176e-09
2003,5.8336921959778465e-09
2004,6.607186797680242e-09
2005,1.0358624180639708e-08
2006,4.117890028965121e-09
2007,3.994479413904628e-09
2008,8.089135583588813e-09
2009,4.291373478793048e-09
2010,5.196172381261022e-09
2011,5.353560705856353e-09
2012,7.82978107349841e-09
2013,9.204113027294625e-09
2014,8.445236510112863e-09
2015,1.1747849804066846e-08
2016,1.1806638333666797e-08
2017,8.804639378690027e-09
2018,7.744399788123246e-09
2019,9.948852131014263e-09
