year,son_DET or_NOUN,son_DET for_NOUN
1968,4.275827796274001e-07,4.666580935008824e-07
1969,3.9422457165372293e-07,3.587988715025858e-07
1970,3.453642425377268e-07,3.7755532389383006e-07
1971,3.653400506564708e-07,3.514663831083453e-07
1972,3.4474587895516606e-07,3.775788002258196e-07
1973,3.5946089393945613e-07,3.1811185863261926e-07
1974,2.700274317479767e-07,3.2065759114630055e-07
1975,2.7357990672882693e-07,3.107045358774485e-07
1976,3.4452568264953243e-07,3.913766022378695e-07
1977,3.2145996753385475e-07,3.872799254622805e-07
1978,3.3326716497583675e-07,4.2297011759728775e-07
1979,3.721855139637853e-07,4.3831281004713674e-07
1980,2.9505933341056334e-07,3.9170689092316024e-07
1981,3.479052332888699e-07,4.579697758799739e-07
1982,3.1223736085550513e-07,4.730116813789209e-07
1983,3.2334418254009734e-07,4.6859645408403594e-07
1984,2.992288292702483e-07,4.7029959659994347e-07
1985,2.863405677011599e-07,4.878617687609221e-07
1986,2.967270318343651e-07,5.077329205960268e-07
1987,3.4220575306775913e-07,4.485339673010458e-07
1988,2.770407956376175e-07,4.791246510649216e-07
1989,2.936145406806645e-07,4.544165221886942e-07
1990,2.8278498986900047e-07,5.023655944569327e-07
1991,2.707997031059506e-07,4.964661002304638e-07
1992,2.8486410208472535e-07,4.837730784856831e-07
1993,3.2902893165598357e-07,5.489354748533515e-07
1994,3.054182382555837e-07,5.744395252804679e-07
1995,2.835941703693834e-07,5.530899898076314e-07
1996,2.6690460774858593e-07,5.669053848578187e-07
1997,2.5556786820146726e-07,5.36069194367883e-07
1998,2.8561095177792595e-07,5.516725423149182e-07
1999,2.82438437526622e-07,5.913840368521051e-07
2000,2.7391793988584823e-07,5.959924465059885e-07
2001,2.435953778689992e-07,6.063597197680792e-07
2002,2.523583599867152e-07,6.2169533521228e-07
2003,2.7001660463099597e-07,6.617073609049839e-07
2004,2.669303444946536e-07,6.690877967230335e-07
2005,2.751790941779575e-07,6.579978162335465e-07
2006,2.8536977936255425e-07,7.498677518924524e-07
2007,2.684290274501677e-07,1.034969614011061e-06
2008,3.167535098658192e-07,1.1597265938689816e-06
2009,3.0230341163672847e-07,1.3422461506706895e-06
2010,2.909856564592417e-07,1.4865776165606803e-06
2011,2.829739247367513e-07,1.5119985619094223e-06
2012,3.686805802871618e-07,1.7337858935206896e-06
2013,3.784842546039613e-07,1.7833665424404899e-06
2014,4.6795270147725887e-07,1.859034682638594e-06
2015,4.659241614746179e-07,1.7810183408073499e-06
2016,5.132780407368642e-07,1.7753455949787167e-06
2017,3.03382727495638e-07,1.8809225821314612e-06
2018,3.7689413545649586e-07,1.8891173567681108e-06
2019,3.974438851361839e-07,1.6558461766180699e-06
