year,mon_DET or_NOUN,mon_DET fort_ADJ
1906,3.755254707193956e-08,4.423998856140088e-08
1907,3.291419647943883e-08,2.777135388321028e-08
1908,4.7149335324903063e-08,2.2592389292697135e-08
1909,5.500983568662576e-08,4.1807473705191e-08
1910,7.214603336969105e-08,3.740905629712188e-08
1911,2.7133907565257687e-08,4.681929244298999e-08
1912,5.730363239475622e-08,3.386123859083767e-08
1913,3.234823792164221e-08,3.3939135501981355e-08
1914,3.482306887292452e-08,5.6252648317212106e-08
1915,3.416420912838447e-08,5.0657277039789506e-08
1916,3.955486338469427e-08,3.8456116735474666e-08
1917,3.289927352767563e-08,7.237840193852207e-08
1918,3.44591288836682e-08,4.594550340186743e-08
1919,3.775217927159957e-08,8.102906356999284e-08
1920,4.24044972469062e-08,4.0890050456710014e-08
1921,6.891199966219119e-08,4.392193453384152e-08
1922,4.5743199228454046e-08,5.3121134602207576e-08
1923,4.0340602414090654e-08,7.8558016092245e-08
1924,4.125319807979366e-08,5.1566498515676074e-08
1925,6.1589795707917e-08,6.268961239008775e-08
1926,4.792839447542718e-08,7.356451314777246e-08
1927,3.4562597228671166e-08,1.1929670051813446e-07
1928,6.17006229441941e-08,6.398583085598375e-08
1929,6.68424400274148e-08,7.018455683294178e-08
1930,5.7769819150621515e-08,5.7769819150621515e-08
1931,3.421607086551148e-08,8.78212436106196e-08
1932,6.794912910113027e-08,7.233294363473419e-08
1933,2.867665616079762e-08,6.19415747582508e-08
1934,3.5944742293736454e-08,4.313368862085554e-08
1935,6.462873614054843e-08,6.10382491217365e-08
1936,5.577368789033699e-08,4.364897243647192e-08
1937,3.7773354000236736e-08,6.043736866523375e-08
1938,4.019216381934143e-08,5.445390038882891e-08
1939,2.5999885799876665e-08,6.882322622914216e-08
1940,2.02862628917444e-08,5.32514401463402e-08
1941,3.246652724442356e-08,1.2986611785947844e-07
1942,4.551317678291866e-08,1.09231626410633e-07
1943,2.9032351855917682e-08,9.290352664947932e-08
1944,8.996921074810871e-08,9.960876923287287e-08
1945,6.099811189486104e-08,1.0456819410364915e-07
1946,7.378185351569755e-08,1.0162406116620559e-07
1947,5.602809283189458e-08,9.775114073740099e-08
1948,6.196976110039998e-08,8.806229345736938e-08
1949,4.810333908977782e-08,1.1682239964283525e-07
1950,8.61464248824717e-08,1.0848068976443415e-07
1951,5.970385164033587e-08,8.315893440524746e-08
1952,8.857635369619032e-08,8.435843312781799e-08
1953,3.87857791439572e-08,8.726799904934524e-08
1954,5.179444317882087e-08,9.186184168896716e-08
1955,3.848099261460902e-08,1.0324168719932914e-07
1956,1.0552581453104892e-07,8.372296145253699e-08
1957,4.329168429295649e-08,7.59813234552098e-08
1958,6.617794856556003e-08,9.678524603984329e-08
1959,4.417926346977907e-08,5.968075922346827e-08
1960,5.6750832033714005e-08,1.1142541711528509e-07
1961,5.141637993144599e-08,1.0491720309202535e-07
1962,5.327243290942363e-08,1.1542360600635959e-07
1963,5.1728425987107585e-08,1.3708032664538905e-07
1964,5.962289084671113e-08,9.856028870824929e-08
1965,4.4870755666615025e-08,9.357193997416857e-08
1966,9.693380720321443e-08,1.1742838590400595e-07
1967,7.395503398566206e-08,1.1586288373166553e-07
1968,8.758261038632753e-08,8.039634313838917e-08
1969,7.130559692702931e-08,9.583108906419113e-08
1970,4.4607632171400624e-08,9.979233572821045e-08
1971,6.011925224314041e-08,1.2897377565934676e-07
1972,3.950213234293898e-08,1.0157690999434976e-07
1973,4.5759593003680266e-08,9.31731469755448e-08
1974,3.431598788461443e-08,8.719635968823525e-08
1975,4.283610000044291e-08,6.625317094943739e-08
1976,3.942333526296693e-08,7.770396748263408e-08
1977,3.819908062085986e-08,8.462565759259633e-08
1978,5.7029677313913396e-08,8.43564005315045e-08
1979,3.9793420336664553e-08,8.134242790447388e-08
1980,3.8090508192034633e-08,9.6647563785357e-08
1981,3.479052185229037e-08,8.982280208513771e-08
1982,5.46260205958049e-08,9.621628516143232e-08
1983,4.8627932125455686e-08,9.030902159423704e-08
1984,4.2912663311689414e-08,8.988463218173592e-08
1985,3.2484012701949894e-08,1.0286604057441195e-07
1986,5.155257531974655e-08,8.272389978580819e-08
1987,5.133086067310444e-08,8.310711197001552e-08
1988,2.9383114108494368e-08,8.455140898533386e-08
1989,3.4026357731420376e-08,1.0482313483883843e-07
1990,4.19546128949122e-08,9.317193216951125e-08
