year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP fil_NOUN
1917,4.1672412742777e-08,7.237839794171919e-08,1.2710086139122723e-06
1918,7.006689184407833e-08,7.810735525026757e-08,1.141745769928093e-06
1919,3.867296488602179e-08,9.576162607327632e-08,1.1997826732113026e-06
1920,3.256059599721084e-08,5.073395392685143e-08,1.0548118325459654e-06
1921,5.2251955651172466e-08,1.1813486100464843e-07,9.306906463280029e-07
1922,6.713921302248238e-08,7.673052992984708e-08,1.0026614063463057e-06
1923,5.6264525483129546e-08,1.2102180546591512e-07,1.0700875918701058e-06
1924,4.383152329978657e-08,8.766304548935011e-08,1.126727966038743e-06
1925,5.169143690864075e-08,1.407766827554724e-07,9.52442235302442e-07
1926,5.015762383209221e-08,9.808601619809565e-08,1.043278530232783e-06
1927,7.804457169413581e-08,2.1295019048128694e-07,1.1060030828957679e-06
1928,4.6846768242403414e-08,8.569531007029951e-08,1.0032064210463432e-06
1929,4.9017788938954254e-08,1.3814104371512315e-07,8.511270266353677e-07
1930,3.2561171536826805e-08,1.0923747439939291e-07,8.938566793403879e-07
1931,7.299428261831054e-08,1.6423713677937712e-07,1.05727656318777e-06
1932,8.110057336807586e-08,1.0630750812978818e-07,8.340207386936527e-07
1933,6.308864186621577e-08,2.2941324773206873e-07,9.451825917494716e-07
1934,5.751158482780738e-08,2.000923906564367e-07,9.141945724877587e-07
1935,6.582556011380802e-08,1.2686381367643662e-07,7.982845318110776e-07
1936,5.334874497719966e-08,1.3822174294020328e-07,8.111434226520942e-07
1937,5.9178255185088346e-08,1.3220674199843074e-07,9.027831993080326e-07
1938,7.779128452511941e-08,1.20576491347002e-07,8.557041724088776e-07
1939,5.352917753498332e-08,1.1011716427589135e-07,8.381139764424006e-07
1940,3.296517903095264e-08,9.635974973498662e-08,8.292010420518636e-07
1941,6.788455664263893e-08,2.1545969319802794e-07,7.821481631253846e-07
1942,7.282108316353231e-08,1.7598427848319886e-07,8.071003207987815e-07
1943,9.00002918857723e-08,2.2645234376561518e-07,8.912932116800221e-07
1944,1.0282195717081777e-07,2.3134941073976734e-07,8.675602884977707e-07
1945,1.2635323676235544e-07,1.394242614694008e-07,8.300100375890906e-07
1946,8.631084824628488e-08,3.870066960232066e-07,6.570761001967185e-07
1947,6.556479337227472e-08,1.7404471130966215e-07,7.438623583766457e-07
1948,8.914948068650119e-08,3.174591389765169e-07,6.88190482378559e-07
1949,1.089687948763185e-07,2.9843705084964256e-07,7.107514079507382e-07
1950,8.295581621631243e-08,1.9356358382793815e-07,7.487294624297647e-07
1951,9.488647223498958e-08,2.2708785563096967e-07,8.60375109823508e-07
1952,1.0861147714535946e-07,1.5711757173075824e-07,8.15113367025333e-07
1953,8.511323734694543e-08,2.1008963413393644e-07,8.24197798010573e-07
1954,7.81802900196027e-08,1.6906487076973065e-07,6.547599014083971e-07
1955,1.154429796201839e-07,2.815682353940474e-07,7.057977313706942e-07
1956,1.1599118132643582e-07,2.1279585205036256e-07,7.578672125418962e-07
1957,1.4312761464907453e-07,3.321974053616117e-07,7.085700417519547e-07
1958,1.1829308449451403e-07,2.5230342171056463e-07,7.213396315819409e-07
1959,1.5113958196089072e-07,3.208809538080004e-07,6.859411882942368e-07
1960,8.581833199627908e-08,2.4568957890380716e-07,7.010804097262735e-07
1961,8.754680447253804e-08,2.7167303651154384e-07,6.204706437529239e-07
1962,1.2557073747476721e-07,2.454337102442139e-07,6.608318585676898e-07
1963,9.893061736487851e-08,2.5993534169543864e-07,6.71822931508359e-07
1964,8.030838327677259e-08,2.2814880673571736e-07,6.783624826312007e-07
1965,6.457011131333346e-08,2.5390281344073173e-07,6.232657483451476e-07
1966,9.028691627666063e-08,2.4094974704347294e-07,6.630272650909319e-07
1967,7.543413449440095e-08,1.9277612661738885e-07,6.227014068826975e-07
1968,8.039634266654438e-08,2.1064740374221458e-07,6.647295549555565e-07
1969,1.0309790240969896e-07,3.6788237811613556e-07,6.957972686905123e-07
1970,9.795284305891272e-08,2.8742032753825697e-07,6.861297947580169e-07
1971,7.347908270727288e-08,3.283435972001314e-07,6.176353508635657e-07
1972,8.87515437808517e-08,2.45221021710762e-07,5.407174512583879e-07
1973,7.332560791883935e-08,2.3265720616727492e-07,4.7578947715010145e-07
1974,7.650777655854313e-08,2.1827218210646038e-07,5.664950890604814e-07
1975,7.71049837311466e-08,2.947123856067435e-07,5.471598001349776e-07
1976,6.970502741676654e-08,3.085304505212605e-07,3.9994688449951354e-07
1977,8.815172769516266e-08,4.5897666911542956e-07,4.348818549715361e-07
1978,1.0455440435652719e-07,7.235640131497689e-07,5.548512262976146e-07
1979,8.017203212418167e-08,7.829940444903372e-07,4.769358383782674e-07
1980,8.982538313162536e-08,6.662996441253455e-07,5.241709004621953e-07
1981,1.2651099079441508e-07,8.824141608521074e-07,4.870673251389235e-07
1982,1.1794254017871708e-07,1.0174096072290695e-06,4.990831712348154e-07
1983,1.648297492939932e-07,1.0350802774894419e-06,4.0986401472764555e-07
1984,1.090213619936442e-07,1.1076106196661328e-06,4.7145940129666997e-07
1985,1.401624999397555e-07,1.4160623419412488e-06,4.457528461898619e-07
1986,1.582544151834675e-07,1.1599328857414548e-06,5.341086648513738e-07
1987,1.656031322072593e-07,1.4983722338435257e-06,4.980315679858904e-07
1988,2.2187248949201432e-07,1.536916705457969e-06,5.031108685216168e-07
1989,1.1634818730676955e-07,1.6195448337974483e-06,4.181949009307573e-07
1990,1.5310708995075473e-07,1.5604936454138851e-06,4.7239802825060906e-07
1991,1.8111927269082173e-07,1.4126131624436766e-06,4.4312676550362085e-07
1992,2.0772489084386336e-07,2.062372054467687e-06,3.873490754813247e-07
1993,2.83053504634978e-07,2.0018695345846993e-06,4.320581865613349e-07
1994,3.0330828204583327e-07,1.892643687106954e-06,4.6366605488401547e-07
1995,2.765450015651538e-07,1.755247326151732e-06,3.264315466822154e-07
1996,3.8007217018076744e-07,1.9313217576311104e-06,5.012468591303332e-07
1997,5.581257198628009e-07,1.989401702928717e-06,3.7783769357702113e-07
1998,5.89817584106811e-07,1.4456968266962633e-06,3.847880236662604e-07
1999,6.75932743554597e-07,1.6466434926698525e-06,4.0491983099855133e-07
2000,6.035030999385071e-07,1.1504554500163522e-06,3.4504824952819035e-07
2001,6.471050006950918e-07,1.1697835127222334e-06,3.540019122283411e-07
2002,8.289271047345892e-07,9.704405754540346e-07,3.9474807067563233e-07
2003,8.442185635004762e-07,1.1704886357932764e-06,3.6335566733214364e-07
2004,1.1056025996936114e-06,1.2029485043640875e-06,3.422522922846838e-07
2005,1.1016171388433804e-06,9.165130343546934e-07,2.963467125027819e-07
2006,8.099889363677448e-07,8.762869931899786e-07,3.784340947277087e-07
2007,8.624081306862763e-07,1.1340327352726831e-06,4.345993716015073e-07
2008,9.302505521446847e-07,7.454777062321227e-07,3.597536419874814e-07
2009,8.372945767831652e-07,6.990170497989112e-07,3.8002494306965673e-07
2010,8.852387939350947e-07,5.77247488919852e-07,3.58063516614493e-07
2011,1.3215646887942967e-06,3.6365972932994595e-07,4.1451855281593453e-07
2012,8.364248804682006e-07,3.7514863682197586e-07,5.143825774212019e-07
2013,7.737032623467144e-07,3.0289899144442245e-07,4.5406954995996784e-07
2014,7.88655142969219e-07,3.1528882615816656e-07,4.73799417477494e-07
2015,7.359030558262702e-07,2.1434283832555412e-07,5.251067136669008e-07
2016,7.104696395643373e-07,2.2619033024362523e-07,5.07685456341278e-07
2017,6.870134285907881e-07,1.7433186716431237e-07,3.8916508060538035e-07
2018,7.385576190621634e-07,1.7760490322871192e-07,4.0554840552431415e-07
2019,8.186119737629838e-07,1.7091617554587657e-07,4.10453935728583e-07
