year,leurs_DET toutes_ADJ
1909,7.70137675853988e-09
1910,1.6566866878342523e-08
1911,1.0108711090417444e-08
1912,1.5628263572153855e-08
1913,7.42418571064718e-09
1914,2.1429579888376793e-08
1915,1.0602685729388384e-08
1916,2.966614687238689e-08
1917,1.3159708989185503e-08
1918,1.72295644418341e-08
1919,9.207848372660976e-10
1920,1.8930579770426448e-08
1921,2.801916526573578e-08
1922,1.2542490601674672e-08
1923,6.369568872344189e-09
1924,1.2891624656674594e-08
1925,7.698724324711748e-09
1926,1.783382086451013e-08
1927,1.0034302277972529e-08
1928,7.998228968020271e-09
1929,1.3368487872256196e-08
1930,9.453243188239924e-09
1931,1.2545892325022123e-08
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,1.0783422155213884e-08
1935,8.377798899061872e-09
1936,1.33371855781661e-08
1937,1.2591118148108649e-08
1938,6.482607339819424e-09
1939,9.176430282309411e-09
1940,1.0143131667916805e-08
1941,1.4757512989405086e-08
1942,1.2136847082899749e-08
1943,2.9032352077962287e-09
1944,0.0
1945,1.089252066321933e-08
1946,2.0881656404014848e-08
1947,1.7881307101674793e-08
1948,1.522064252412747e-08
1949,1.668891336237266e-08
1950,9.571825110299415e-09
1951,1.7058242818279723e-08
1952,7.381362632230548e-09
1953,1.2928593307037772e-08
1954,9.772536113672459e-09
1955,9.385607846468247e-09
1956,1.3953826538681824e-08
1957,8.835037701437898e-09
1958,9.099467845885556e-09
1959,1.3176271629333769e-08
1960,2.353083372597098e-08
1961,1.111705483225478e-08
1962,2.0928455413127267e-08
1963,7.759263453976928e-09
1964,1.5818317322668918e-08
1965,9.84967779560364e-09
1966,1.1632057428379028e-08
1967,1.3311906132962292e-08
1968,1.0330256650092906e-08
1969,9.991866889436096e-09
1970,1.0577067249828431e-08
1971,1.3873672877195986e-08
1972,7.182205385980467e-09
1973,1.268036875501366e-08
1974,1.237625746330906e-08
1975,1.3136404852787109e-08
1976,7.998937456843436e-09
1977,8.227494963097826e-09
1978,1.4851478380428773e-08
1979,1.2289143591637242e-08
1980,1.1938816213419301e-08
1981,2.4669643328145696e-08
1982,1.3035754364842944e-08
1983,1.8314416649900522e-08
1984,9.858314165001048e-09
1985,1.0828004270990732e-08
1986,1.9182353483415682e-08
1987,1.588812459374367e-08
1988,1.8589316641559606e-08
1989,1.8659616074501173e-08
1990,1.0897302227252936e-08
1991,1.3481370353396471e-08
1992,2.314176633655407e-08
1993,1.0524494442609722e-08
1994,1.371480873313402e-08
1995,1.1929392029763619e-08
1996,1.548046646426826e-08
1997,1.8220599584672925e-08
1998,1.668845261981744e-08
1999,1.0968483010742602e-08
2000,2.03229439943442e-08
2001,1.6648605327684862e-08
2002,1.577239705508049e-08
2003,1.6667691282723496e-08
2004,1.673820673731008e-08
2005,1.306087415997581e-08
2006,1.6883348052942893e-08
2007,1.55784704303219e-08
2008,1.8732735446169713e-08
2009,1.3827758271744983e-08
2010,1.983992997667272e-08
2011,2.2561435386592166e-08
2012,2.8255297768176035e-08
2013,2.1755174661741705e-08
2014,2.4036441059749336e-08
2015,2.1279124420847673e-08
2016,2.319900921365914e-08
2017,2.339518501148774e-08
2018,2.0135441147761668e-08
2019,1.6581420403394276e-08
