year,légères_ADJ erreurs_NOUN
1992,1.1570882918476855e-08
1993,1.3848018731721368e-08
1994,1.0549853435293244e-08
1995,9.21816667442954e-09
1996,8.007138063703678e-09
1997,7.192341833217597e-09
1998,6.198567881199324e-09
1999,4.570201106446348e-09
2000,7.95245647111642e-09
2001,7.0099388516098315e-09
2002,1.0953053575235572e-08
2003,5.8336921959778465e-09
2004,5.285749615779878e-09
2005,1.0358624180639708e-08
2006,7.412201963319376e-09
2007,9.18730247434496e-09
2008,6.3861596011349775e-09
2009,6.675469510497578e-09
2010,8.502827775203059e-09
2011,6.883149605840799e-09
2012,7.829781267787439e-09
2013,4.741512515948898e-09
2014,4.114345752981308e-09
2015,4.876465897751814e-09
2016,1.2013772199281902e-08
2017,6.037467414898856e-09
2018,4.64663996169179e-09
2019,4.08158040698936e-09
