year,énormes_ADJ erreurs_NOUN
1950,1.4889506516624351e-08
1951,1.2793682557799002e-08
1952,1.1599284199803606e-08
1953,1.508335856215126e-08
1954,1.172704333640695e-08
1955,1.8771215692936494e-08
1956,1.0465369904011368e-08
1957,2.1204090927540165e-08
1958,8.272243334772611e-09
1959,1.2401196514133517e-08
1960,1.5225833038812198e-08
1961,1.389631876236308e-08
1962,1.3952304200870458e-08
1963,7.759263453976928e-09
1964,6.083968440151466e-09
1965,1.3132904541635071e-08
1966,1.9940669560014612e-08
1967,1.627010703941778e-08
1968,1.392338955241712e-08
1969,7.72098829315837e-09
1970,1.0577067222072856e-08
1971,1.0276794526475896e-08
1972,9.234264020108185e-09
1973,1.4885650045926013e-08
1974,9.563471792262135e-09
1975,1.4849848462006321e-08
1976,1.314111219841152e-08
1977,1.469195431980097e-08
1978,5.346532105932056e-09
1979,9.363157360553487e-09
1980,1.2507331170752423e-08
1981,1.138598904049104e-08
1982,2.296775925003658e-08
1983,6.946847541655643e-09
1984,1.0438215625185876e-08
1985,1.0828004270990732e-08
1986,1.498621315931814e-08
1987,1.2832715334809564e-08
1988,1.0793796967334401e-08
1989,1.3171493229435782e-08
1990,1.689081763345257e-08
1991,1.4653663171770859e-08
1992,1.0468894195980738e-08
1993,1.606370148010683e-08
1994,1.2659823411809157e-08
1995,9.21816667442954e-09
1996,1.1743802375008272e-08
1997,1.1507746755512471e-08
1998,7.152193948201102e-09
1999,1.3253583119876566e-08
2000,1.1045078629479121e-08
2001,1.0514908055370142e-08
2002,9.63868718173444e-09
2003,1.4584229823810801e-08
2004,1.0571499231559756e-08
2005,1.170974872621855e-08
2006,9.882935358973555e-09
2007,9.586750948642475e-09
2008,1.1495087548496485e-08
2009,1.0490023072406984e-08
2010,1.5588517143783065e-08
2011,1.4531093661673822e-08
2012,1.1574459612972987e-08
2013,1.059867482666732e-08
2014,1.4508482415465096e-08
2015,8.201329393386914e-09
2016,8.906762438698479e-09
2017,8.049956257139002e-09
2018,1.2391040193904246e-08
2019,1.3010037491767434e-08
