year,vingt - six août
1953,1.1908261043913626e-09
1954,0.0
1955,1.0387826154811819e-09
1956,9.646891063752605e-10
1957,0.0
1958,6.404242691715467e-09
1959,1.1146740419576417e-08
1960,1.4541394754985504e-08
1961,0.0
1962,6.994257950587723e-10
1963,4.992528168656918e-09
1964,4.697919386842386e-09
1965,2.413545363566527e-09
1966,1.8331725026854429e-09
1967,4.3455092857414e-09
1968,1.976373731338299e-09
1969,5.492014620855912e-09
1970,0.0
1971,3.399799552994409e-09
1972,2.826502143449261e-09
1973,1.8279844304913695e-09
1974,1.865787024879495e-09
1975,2.5262267833170426e-09
1976,3.1556841584290396e-09
1977,0.0
1978,4.5804289250384045e-09
1979,1.9324335465142894e-09
1980,0.0
1981,2.0888477614278145e-09
1982,1.3637428963875209e-09
1983,0.0
1984,0.0
1985,1.3216827632334116e-09
1986,3.2917717440739125e-09
1987,2.685471844898757e-09
1988,1.3171627122332552e-09
1989,3.013903349113889e-09
1990,1.1939991217957413e-09
1991,3.2149625184274555e-09
1992,6.035035804430322e-10
1993,4.246250018269393e-09
1994,0.0
1995,1.1857715920271517e-09
1996,1.7500596527497692e-09
1997,4.187392210752705e-09
1998,2.081024019773281e-09
1999,2.991085601422583e-09
2000,3.853882102333728e-09
2001,9.077187002048959e-09
2002,1.432003848833574e-09
2003,1.3613796756573038e-09
2004,1.4389960334426632e-09
2005,4.904935346772277e-10
2006,4.4874184368381975e-09
2007,7.85344322906667e-09
2008,4.6488379812359426e-10
2009,1.564709029011624e-09
2010,2.0707451309220914e-09
2011,1.678570615837316e-09
2012,1.874782551425369e-09
2013,3.080194321825047e-09
2014,1.916124148237941e-09
2015,1.4708498863313935e-09
2016,1.6047415618558603e-09
2017,3.9046277322540845e-09
2018,2.0054957694526365e-09
2019,4.248751572788478e-09
