year,vingt - deux août
1912,2.299088697199636e-09
1913,1.2872420462883838e-08
1914,2.954637423613349e-09
1915,1.1689287759963918e-08
1916,1.6930705726281303e-08
1917,4.82440931648398e-09
1918,7.582618088974868e-09
1919,6.080967729360509e-09
1920,0.0
1921,4.178479784400224e-09
1922,9.772664455454105e-09
1923,4.692565891417644e-09
1924,0.0
1925,1.2185186193391928e-09
1926,0.0
1927,7.405608126731522e-09
1928,8.856155808700805e-09
1929,3.7027880761542065e-09
1930,3.4877380983289186e-09
1931,2.5257091973429624e-09
1932,2.4257640340863418e-09
1933,1.0150381868356817e-08
1934,0.0
1935,1.3263738996016627e-09
1936,8.053376077121754e-09
1937,1.3947590860041714e-09
1938,0.0
1939,1.6942175440348706e-09
1940,0.0
1941,6.561927001769163e-09
1942,0.0
1943,1.284549089319853e-08
1944,3.5494505112865227e-09
1945,2.4029620515619854e-09
1946,7.698679027612343e-09
1947,3.950348492764988e-09
1948,4.8128261376234605e-09
1949,1.081607470254653e-09
1950,1.176276409609045e-09
1951,3.5397178521634487e-09
1952,1.1680282296921973e-09
1953,1.1908261043913626e-09
1954,1.0806723294010112e-09
1955,0.0
1956,5.788134416206958e-09
1957,0.0
1958,4.574459255834995e-09
1959,4.2872076999600495e-09
1960,2.2960096046631406e-09
1961,7.66812890962143e-10
1962,0.0
1963,5.705746541906365e-09
1964,6.04018168814946e-09
1965,1.8101590226748954e-09
1966,2.444229929565722e-09
1967,3.802320569512574e-09
1968,4.940934328345747e-10
1969,4.493466598809448e-09
1970,4.046301960158871e-09
1971,0.0
1972,2.8265020879381098e-09
1973,3.046640717485616e-09
1974,3.7315741607812924e-09
1975,1.2631133916585213e-09
1976,3.1556841584290396e-09
1977,1.2989321840350954e-09
1978,3.926081681981941e-09
1979,5.153156124038105e-09
1980,6.261667295781592e-10
1981,6.962825871426048e-10
1982,6.818714481937604e-10
1983,6.941931474102603e-10
1984,1.2736263155233019e-09
1985,1.3216827632334116e-09
1986,6.58354371019243e-10
1987,2.01410399469637e-09
1988,0.0
1989,6.027806587205475e-10
1990,1.1939991217957413e-09
1991,1.9289774222386313e-09
1992,6.035035804430322e-10
1993,1.8198214046805106e-09
1994,0.0
1995,3.5573148871037574e-09
1996,2.3334128518293085e-09
1997,4.710816181585642e-09
1998,2.081024019773281e-09
1999,2.492571371526253e-09
2000,9.63470525583432e-10
2001,1.9109867022137905e-09
2002,0.0
2003,4.5379322521910126e-10
2004,4.3169882668614434e-09
2005,1.9619741387089107e-09
2006,3.589934793879479e-09
2007,1.7452096157111185e-09
2008,9.297675962471885e-10
2009,1.043139352674416e-09
2010,1.0353725654610457e-09
2011,1.678570615837316e-09
2012,1.874782551425369e-09
2013,1.8481166041972585e-09
2014,1.1975775926487131e-09
2015,1.4708498863313935e-09
2016,3.2094831237117205e-09
2017,2.5101178913189415e-09
2018,3.1514932885556846e-09
2019,1.982750852391746e-09
