year,vingt - trois août
1911,1.585388709202107e-08
1912,6.897266258132362e-09
1913,1.1117090359391568e-08
1914,9.602571182654174e-09
1915,1.1689287759963918e-08
1916,1.572136909544497e-08
1917,6.0305116456049745e-09
1918,6.318848333464189e-09
1919,9.121451594040764e-09
1920,7.509038890685105e-09
1921,1.6713919137600897e-09
1922,1.6287773352274826e-09
1923,0.0
1924,4.274717024799202e-09
1925,4.874074477356771e-09
1926,1.2345703348515258e-09
1927,2.4685360422438407e-09
1928,5.0606603352321144e-09
1929,6.171313238212406e-09
1930,1.1625793661096395e-09
1931,0.0
1932,1.0915938153388538e-08
1933,1.1419179379856814e-08
1934,1.3274176202671129e-09
1935,1.3263738996016627e-09
1936,0.0
1937,0.0
1938,4.303233436253606e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,6.422745446599265e-09
1944,0.0
1945,2.4029620515619854e-09
1946,4.619207683020932e-09
1947,2.633565587828457e-09
1948,3.609619714239898e-09
1949,5.40803757331787e-09
1950,5.881382048045225e-09
1951,1.1799059507211496e-09
1952,7.008169156108579e-09
1953,0.0
1954,0.0
1955,8.31026114589406e-09
1956,1.929378212750521e-09
1957,2.933633003188163e-09
1958,1.0978702391639672e-08
1959,6.859532386549461e-09
1960,1.6837404359648644e-08
1961,7.66812890962143e-10
1962,0.0
1963,4.279309795407471e-09
1964,1.3422626343739807e-09
1965,4.223704497263725e-09
1966,2.444229929565722e-09
1967,1.6295660376641763e-09
1968,9.881868656691495e-10
1969,7.988385286594735e-09
1970,4.046301960158871e-09
1971,4.533065922629476e-09
1972,0.0
1973,1.8279844304913695e-09
1974,4.3535031690744574e-09
1975,1.8946701985100844e-09
1976,3.1556841584290396e-09
1977,3.247330404576587e-09
1978,3.2717348830146875e-09
1979,2.5765780620190526e-09
1980,3.130833647890796e-09
1981,2.0888477614278145e-09
1982,6.818714481937604e-10
1983,6.941931474102603e-10
1984,6.368131577616509e-10
1985,6.608413816167058e-10
1986,6.58354371019243e-10
1987,0.0
1988,1.975744068349883e-09
1989,1.205561317441095e-09
1990,0.0
1991,1.9289774222386313e-09
1992,5.431532112964987e-09
1993,6.066071533972206e-10
1994,1.732010979083043e-09
1995,1.1857715920271517e-09
1996,1.7500596527497692e-09
1997,2.6171200762092894e-09
1998,1.5607680148299607e-09
1999,1.9940571416299235e-09
2000,1.4452057328639967e-09
2001,1.4332399711491917e-09
2002,4.77334616277858e-10
2003,0.0
2004,1.4389960334426632e-09
2005,9.809870693544553e-10
2006,3.1411928613778173e-09
2007,8.726048217333471e-10
2008,1.3946513943707828e-09
2009,1.564709029011624e-09
2010,2.0707451309220914e-09
2011,4.19642653959329e-10
2012,3.749565102850738e-10
2013,4.928311092555759e-09
2014,3.3532172594163967e-09
2015,1.7159915710607265e-09
2016,2.7509856614926775e-09
2017,4.7413335479973284e-09
2018,1.145997519103048e-09
2019,1.4162505612702603e-09
