year,certains_DET tissus_NOUN
1907,1.6251384948873238e-07
1908,1.3457206016198597e-07
1909,1.3587430092165675e-07
1910,1.4963621808306016e-07
1911,1.4631029410239194e-07
1912,1.5836640443467331e-07
1913,1.898470340933045e-07
1914,2.4108278040557707e-07
1915,1.225199176557723e-07
1916,1.3184954017475548e-07
1917,1.469500876538632e-07
1918,1.6540382308249946e-07
1919,1.0496947155935743e-07
1920,1.5825964450044694e-07
1921,1.9764870362593e-07
1922,2.080577861107713e-07
1923,1.3694573119948927e-07
1924,1.740369230951444e-07
1925,1.968673863927961e-07
1926,1.7833821042145814e-07
1927,1.661234476646456e-07
1928,2.193799870653379e-07
1929,1.715622612863399e-07
1930,1.953670318854961e-07
1931,1.847667849830259e-07
1932,1.9398379702550983e-07
1933,2.0073658801855743e-07
1934,2.3004633575851585e-07
1935,3.3630879592294605e-07
1936,3.200924592050569e-07
1937,2.1908545999593798e-07
1938,3.4487471278765724e-07
1939,3.043515981460132e-07
1940,2.434351547009328e-07
1941,2.981017708236777e-07
1942,2.397027243361549e-07
1943,2.1483940360056408e-07
1944,2.3777577062844557e-07
1945,2.2002890887051763e-07
1946,1.698374667569169e-07
1947,2.598749810900358e-07
1948,2.2722245285322629e-07
1949,1.963401725646463e-07
1950,1.8292821568621775e-07
1951,2.2282329226186448e-07
1952,2.2038639801991167e-07
1953,1.7776815219860964e-07
1954,1.75905647381569e-07
1955,1.8583504157732023e-07
1956,2.2674968747082858e-07
1957,2.3412849436965644e-07
1958,1.8447102956287154e-07
1959,1.953188455416921e-07
1960,1.6956041815063827e-07
1961,2.084447814354462e-07
1962,1.3254689434916145e-07
1963,2.28251674450064e-07
1964,1.642671447754651e-07
1965,1.3953710586989132e-07
1966,1.484472003099313e-07
1967,1.2375142643961112e-07
1968,1.3564075995731173e-07
1969,1.3943195975585354e-07
1970,1.4072099085993273e-07
1971,1.1715546399670984e-07
1972,1.2979270991309022e-07
1973,1.1798256238648719e-07
1974,1.316383766436502e-07
1975,8.681449781278161e-08
1976,1.0798566107972363e-07
1977,8.286262520584842e-08
1978,8.792075334440597e-08
1979,8.192762823711064e-08
1980,9.153092728197976e-08
1981,9.678091128506594e-08
1982,7.200702367704537e-08
1983,6.125856710781363e-08
1984,6.9588102391549e-08
1985,6.97804707350258e-08
1986,6.533989460599798e-08
1987,6.110816741511371e-08
1988,7.855485484320468e-08
1989,5.323478480256938e-08
1990,9.58962576014244e-08
1991,6.38899688709671e-08
1992,6.722131873360127e-08
1993,7.477930186183812e-08
1994,5.802419145162219e-08
1995,5.368226191349024e-08
1996,7.473329244334082e-08
1997,5.418230730747098e-08
1998,7.962775638858943e-08
1999,5.347135378919177e-08
2000,5.920162138295382e-08
2001,8.587175148733195e-08
2002,6.966141841147078e-08
2003,5.583676854215014e-08
2004,8.501247039660598e-08
2005,7.746449215417783e-08
2006,6.218013859360383e-08
2007,7.949014335650872e-08
2008,7.067349816480828e-08
2009,6.055604462318342e-08
2010,6.282644582356056e-08
2011,1.0362963820398363e-07
2012,8.238291382411944e-08
2013,5.745597508877154e-08
2014,4.6557070643160614e-08
2015,5.4084439149448826e-08
2016,5.634045008306998e-08
2017,4.754505589232849e-08
2018,5.756670784506923e-08
2019,5.306054351450484e-08
