year,êtes_VERB tant_ADV
1886,9.034849313138693e-09
1887,7.1818169189441505e-09
1888,8.242799331981132e-09
1889,1.4409814674820609e-08
1890,1.9663159989136147e-09
1891,8.286486163910922e-09
1892,1.002961980134387e-08
1893,6.15841644346915e-09
1894,1.5123694296903523e-08
1895,1.5046536461227333e-08
1896,1.2383760683576384e-08
1897,1.981082675683865e-08
1898,1.2448380992680086e-08
1899,1.326618814800895e-08
1900,8.30568502863116e-09
1901,5.58873880507349e-09
1902,1.276673788908056e-08
1903,9.1803746826713e-09
1904,8.599400302955473e-09
1905,8.257214467732865e-09
1906,9.773950537805831e-09
1907,6.685696440911215e-09
1908,4.911389073214423e-09
1909,1.0451868703853506e-08
1910,9.085056262847502e-09
1911,1.1172785363555704e-08
1912,1.4586379215586476e-08
1913,1.113627856597077e-08
1914,1.2723813114234872e-08
1915,7.068456930880984e-09
1916,1.8678685265172135e-08
1917,5.483212106582869e-09
1918,2.2972752589112133e-09
1919,3.6831393490643904e-09
1920,1.2872794385998532e-08
1921,2.120369302360814e-08
1922,8.853522359686394e-09
1923,6.369568872344189e-09
1924,2.5783249313349188e-08
1925,1.0998178368026856e-08
1926,1.4489979882625903e-08
1927,7.804457524684949e-09
1928,9.14083297942625e-09
1929,1.5596569369336066e-08
1930,6.302162347537887e-09
1931,1.4826963656844327e-08
1932,4.383814644626227e-09
1933,6.882397318719313e-09
1934,1.7972370258689807e-08
1935,1.555876849579363e-08
1936,1.2124714565686645e-09
1937,7.554670666820584e-09
1938,7.779128452511941e-09
1939,1.5294050470515685e-09
1940,2.2822046474857416e-08
1941,8.854508237732261e-09
1942,1.8205270180260413e-08
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,2.178504043826024e-09
1946,1.2528993842408909e-08
1947,4.7683483828109274e-09
1948,1.195907639583993e-08
1949,9.817008539414473e-09
1950,2.1270722960764488e-09
1951,1.5992101864981123e-08
1952,7.381362632230548e-09
1953,5.386913581872932e-09
1954,1.5636057781875934e-08
1955,1.3139850985055546e-08
1956,1.2209598665435806e-08
1957,7.068030161150318e-09
1958,1.2408365002158916e-08
1959,1.4726420971555854e-08
1960,4.844583401109048e-09
1961,1.250668635321972e-08
1962,8.8787386332001e-09
1963,5.1728425987107585e-09
1964,1.2167936880302932e-08
1965,7.1136563306595235e-09
1966,9.416426749453422e-09
1967,1.6763140209263838e-08
1968,1.0330256650092906e-08
1969,1.2262746373892242e-08
1970,1.0577067222072856e-08
1971,7.193756701440179e-09
1972,6.669190977248718e-09
1973,7.1671650836435674e-09
1974,6.750686232237513e-09
1975,6.8537762132336866e-09
1976,4.570821499072508e-09
1977,6.464460078348111e-09
1978,8.316828115084718e-09
1979,7.607565244427406e-09
1980,3.411090521154847e-09
1981,3.1627747087981106e-09
1982,6.828252629986764e-09
1983,6.315316269933646e-09
1984,5.799008384599347e-09
1985,1.2031115659283387e-08
1986,1.498621315931814e-08
1987,1.0388388815840699e-08
1988,3.597932174415064e-09
1989,4.939309850016116e-09
1990,7.083246433836621e-09
1991,6.4476117778156095e-09
1992,7.713921945651236e-09
1993,8.308811416668505e-09
1994,5.802419433820205e-09
1995,9.760411145975922e-09
1996,1.1743802375008272e-08
1997,8.630809844589749e-09
1998,4.291316191284977e-09
1999,7.312321859131998e-09
2000,6.627047355323157e-09
2001,5.257454027685071e-09
2002,4.81934359086722e-09
2003,8.750538071922165e-09
2004,6.607186797680242e-09
2005,8.557123898356167e-09
2006,7.000412693969338e-09
2007,4.7933754743212376e-09
2008,1.3623806971452268e-08
2009,6.198650481792356e-09
2010,7.085689368580006e-09
2011,1.185431308670104e-08
2012,1.191488419038933e-08
2013,1.7571487376244477e-08
2014,1.1260315346817151e-08
2015,1.440773989003219e-08
2016,3.0034431830472386e-08
2017,1.33327402451755e-08
2018,1.3423626654684995e-08
2019,1.3520234709574197e-08
