year,maintes_DET erreurs_NOUN
1917,1.2063066989753679e-08
1918,6.89182577673364e-09
1919,1.3811772170413406e-08
1920,1.817335615328375e-08
1921,7.572747762196741e-09
1922,8.115729421831475e-09
1923,1.1677542488541803e-08
1924,6.445812328337297e-09
1925,1.0998178368026856e-08
1926,7.802296586589819e-09
1927,2.0068604555945058e-08
1928,1.5996457491951332e-08
1929,1.0026365515614089e-08
1930,1.575540586884472e-08
1931,7.983749661377715e-09
1932,7.6716757391182e-09
1933,1.4911860191091364e-08
1934,2.7557634396657704e-08
1935,1.3165112555668657e-08
1936,1.9399543305098632e-08
1937,2.2664012888640173e-08
1938,9.075650453382877e-09
1939,1.3764645423464117e-08
1940,3.0429394115571995e-08
1941,1.7709016475464523e-08
1942,2.1239483061208375e-08
1943,2.322588166236983e-08
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,1.6705325123211878e-08
1947,2.1457568166738383e-08
1948,1.7395020535104777e-08
1949,2.9451024730065e-08
1950,1.2762433776458693e-08
1951,2.2388944032059044e-08
1952,1.1599284199803606e-08
1953,9.69644453618912e-09
1954,1.5636057781875934e-08
1955,1.220129064449793e-08
1956,1.4825940475304833e-08
1957,1.3252556385623393e-08
1958,1.4062814024384807e-08
1959,1.705164542897819e-08
1960,6.2287499602575735e-09
1961,1.459113452284555e-08
1962,1.2683912586908264e-08
1963,1.8104948651398445e-08
1964,9.734349326606662e-09
1965,7.1136563306595235e-09
1966,1.38476865529924e-08
1967,9.367637332502454e-09
1968,1.5719955115400808e-08
1969,9.537691525451919e-09
1970,8.7375777724219e-09
1971,1.2332153964678128e-08
1972,6.669190977248718e-09
1973,8.269805285010534e-09
1974,6.750686232237513e-09
1975,9.138368284311582e-09
1976,6.2848797277581525e-09
1977,5.289103821581875e-09
1978,4.752473081737207e-09
1979,6.437170796402825e-09
1980,7.390696055153967e-09
1981,6.325549417596221e-09
1982,1.1173503899897241e-08
1983,5.052252838311233e-09
1984,5.799008384599347e-09
1985,1.2632671797518924e-08
1986,9.591176741707841e-09
1987,6.110816741511371e-09
1988,3.597932174415064e-09
1989,4.939309850016116e-09
1990,5.993515905799995e-09
1991,1.1722930182145319e-08
1992,2.2039776670368383e-09
1993,3.877445031719162e-09
1994,4.747434001473039e-09
1995,7.0491861237087505e-09
1996,1.067618438099771e-09
1997,4.315404922294874e-09
1998,9.536258005482523e-09
1999,9.597422412355172e-09
2000,3.092622158362701e-09
2001,1.0076787404500465e-08
2002,3.066854992184176e-09
2003,5.416999737661854e-09
2004,2.642874807889939e-09
2005,3.1526248278623825e-09
2006,5.353256948836815e-09
2007,2.3966877371606188e-09
2008,1.7029758714315335e-09
2009,4.76819250749827e-10
2010,1.4171379625338432e-09
2011,1.911985902935953e-09
2012,6.808505426114664e-10
2013,2.2313000336282585e-09
2014,5.413613113347537e-09
2015,3.32486305154589e-09
2016,1.4499380585064614e-09
2017,1.0062445321423752e-09
2018,2.581466596041082e-09
2019,1.7856913725466939e-09
