year,aux_ADP tissus_NOUN
1962,3.132926451598905e-07
1963,4.2546631107143185e-07
1964,3.747724406366615e-07
1965,3.474747529708111e-07
1966,3.6945627357454214e-07
1967,3.559702292932343e-07
1968,3.4494073020141514e-07
1969,3.3836096235972946e-07
1970,4.2584193238326407e-07
1971,3.098453760230768e-07
1972,3.237122712107521e-07
1973,2.7731414320442127e-07
1974,2.6833976107809576e-07
1975,2.2960149692607956e-07
1976,2.2911243036105589e-07
1977,2.180286031716605e-07
1978,2.388117650298227e-07
1979,2.867466832867649e-07
1980,2.200153375042646e-07
1981,2.1064080613086844e-07
1982,2.53886838663675e-07
1983,2.1156309060188505e-07
1984,1.9368688697340986e-07
1985,2.0031808389830985e-07
1986,2.0561084568271326e-07
1987,2.639872889176331e-07
1988,2.3386559178106836e-07
1989,2.0690220026153838e-07
1990,2.0922820453961322e-07
1991,1.9518678584518057e-07
1992,2.2205074401426828e-07
1993,1.872252113344075e-07
1994,1.6827016224851832e-07
1995,2.103910929918129e-07
1996,1.9217131352888828e-07
1997,1.985086299782779e-07
1998,1.687917716708398e-07
1999,1.983467257105076e-07
2000,1.886499489955895e-07
2001,1.918970724545943e-07
2002,1.848875541554662e-07
2003,1.9417861096826528e-07
2004,2.1363237578952976e-07
2005,2.490573649538419e-07
2006,2.651921136020974e-07
2007,2.145035438161358e-07
2008,2.831197321029322e-07
2009,2.7083333975497226e-07
2010,2.3713441521522327e-07
2011,3.552469820533588e-07
2012,3.203401774953818e-07
2013,2.3093954837349884e-07
2014,1.9445697319042665e-07
2015,2.5889599442052713e-07
2016,2.2722599624103168e-07
2017,2.3520965442003217e-07
2018,2.1994095789068524e-07
2019,2.1555845819420938e-07
