year,mêmes_ADJ tissus_NOUN
1904,2.7948050984605288e-08
1905,5.005936287716395e-08
1906,2.572092228092515e-08
1907,2.4171363577352167e-08
1908,2.161011281032188e-08
1909,3.5756393401698006e-08
1910,2.3514262537105424e-08
1911,3.1922244403403965e-08
1912,3.125652625612929e-08
1913,3.3939134169713725e-08
1914,3.147469485043075e-08
1915,1.4136913861761968e-08
1916,1.0987461607214755e-08
1917,2.9609346086090227e-08
1918,4.3648228142956214e-08
1919,8.287063479883727e-09
1920,1.741613253614105e-08
1921,2.7261890522822796e-08
1922,3.32007097370024e-08
1923,2.5478275489376756e-08
1924,2.707241186783449e-08
1925,2.1996356736053713e-08
1926,1.114613823460786e-08
1927,1.6723836537835268e-08
1928,4.227635130860108e-08
1929,1.5596569369336066e-08
1930,1.2604324695075775e-08
1931,3.649714130915527e-08
1932,2.520693342944469e-08
1933,1.4911860191091364e-08
1934,3.2350264689284813e-08
1935,3.231436807027421e-08
1936,3.031178508194898e-08
1937,1.888667711114067e-08
1938,5.963998717106733e-08
1939,1.8352860564618823e-08
1940,1.5214697057785997e-08
1941,2.066051862925633e-08
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,2.2492303131116387e-08
1945,2.178504132643866e-08
1946,1.3921104269343232e-08
1947,2.0265479960812627e-08
1948,2.2830963786191205e-08
1949,1.9634017078828947e-08
1950,1.3825969702452312e-08
1951,2.2388944032059044e-08
1952,2.8470971358274255e-08
1953,1.1851209791302608e-08
1954,1.4658803948464083e-08
1955,1.407841132561316e-08
1956,2.1802854632824165e-08
1957,2.03205861026845e-08
1958,2.0680609225109947e-08
1959,2.2477168570844697e-08
1960,2.2838749558218296e-08
1961,1.876002997391879e-08
1962,1.2049716779927166e-08
1963,1.4225316924409981e-08
1964,1.3993127545575135e-08
1965,9.849678406226303e-09
1966,1.163205709531212e-08
1967,1.3311906243984595e-08
1968,1.392338955241712e-08
1969,8.175163657142548e-09
1970,1.103694025061941e-08
1971,1.284599360218408e-08
1972,8.208234980600082e-09
1973,7.718485406371656e-09
1974,5.06301445213353e-09
1975,9.709516746170266e-09
1976,7.427584769459372e-09
1977,8.22749424145286e-09
1978,4.752473081737207e-09
1979,7.022368020415115e-09
1980,1.4212877097463661e-08
1981,9.488323904349727e-09
1982,6.2075020679230875e-09
1983,2.5261264191556165e-09
1984,6.958810416790584e-09
1985,1.3835783185811579e-08
1986,7.1933827783254856e-09
1987,6.721898593298192e-09
1988,2.99827696004229e-09
1989,4.939309850016116e-09
1990,2.179460389939436e-09
1991,4.68917216167597e-09
1992,1.1019888335184191e-09
1993,1.1078414852150331e-09
1994,5.802419433820205e-09
1995,1.626735190995987e-09
1996,1.6014276571496566e-09
1997,4.315404922294874e-09
1998,5.2449422582867555e-09
1999,4.570201106446348e-09
2000,4.418031274155965e-09
2001,5.257454027685071e-09
2002,4.81934359086722e-09
2003,5.416999737661854e-09
2004,5.726228824443069e-09
2005,3.602999676388663e-09
2006,8.235780057930242e-09
2007,2.7961355453243186e-09
2008,6.3861596011349775e-09
2009,4.76819250749827e-09
2010,7.085689368580006e-09
2011,4.5887662558641296e-09
2012,4.425528388196653e-09
2013,3.3469500504423877e-09
2014,1.9489005964601347e-09
2015,5.098123256885856e-09
2016,5.59261792432153e-09
2017,6.5405894034142875e-09
2018,3.0977600484760615e-09
2019,5.3570743396846865e-09
