year,plusieurs_DET tissus_NOUN
1923,1.3800732556745743e-08
1924,3.2229060309418855e-08
1925,6.598906754362588e-09
1926,3.1209186346359274e-08
1927,2.4528295394787847e-08
1928,1.2568645679778001e-08
1929,1.3368487428166986e-08
1930,1.2604324695075775e-08
1931,1.3686427990933225e-08
1932,1.0959536389520963e-08
1933,4.588264879146209e-09
1934,1.4377896206951846e-08
1935,2.5133395809007197e-08
1936,2.667437160042141e-08
1937,4.5328023889901203e-08
1938,3.630260181353151e-08
1939,9.176430282309411e-09
1940,2.2822046474857416e-08
1941,3.5418032950929046e-08
1942,1.8205270180260413e-08
1943,5.806470415592457e-09
1944,1.927911696952833e-08
1945,1.5249528306782167e-08
1946,1.2528993842408909e-08
1947,1.1920871179071924e-08
1948,2.174377655705939e-08
1949,2.1597418964347526e-08
1950,1.701657836861159e-08
1951,9.595261474260042e-09
1952,1.687168627029223e-08
1953,1.6160741300730308e-08
1954,1.9545072449389522e-08
1955,1.6894094567732054e-08
1956,1.744228317335228e-08
1957,3.799066305987253e-08
1958,2.647117886001027e-08
1959,1.627656998071103e-08
1960,2.7683332959327345e-08
1961,2.848745328520863e-08
1962,1.7123282791686734e-08
1963,3.9442924371080323e-08
1964,2.3119079872735426e-08
1965,2.3529786119524942e-08
1966,2.7695374105185522e-08
1967,1.6763140986419955e-08
1968,2.335536292141782e-08
1969,1.725867981861029e-08
1970,1.655541020939566e-08
1971,1.7470551227916076e-08
1972,2.821580724621242e-08
1973,2.095017381797959e-08
1974,2.3627400591585968e-08
1975,1.2565256390928425e-08
1976,1.828328588526773e-08
1977,1.5279633558407113e-08
1978,1.7821774500603738e-08
1979,2.165230095219073e-08
1980,1.3075846183596695e-08
1981,1.1385989151513343e-08
1982,1.2415004135846175e-08
1983,2.5892796129411977e-08
1984,1.4497521405587577e-08
1985,1.9249785432329247e-08
1986,1.9182353483415682e-08
1987,2.077677729861449e-08
1988,1.619069495140124e-08
1989,8.780995375268219e-09
1990,1.1442167213715493e-08
1991,1.3481369798284959e-08
1992,1.7080826753002043e-08
1993,1.2186256725943423e-08
1994,8.439882348554306e-09
1995,1.4098372247417501e-08
1996,1.1743802375008272e-08
1997,1.1507746977557076e-08
1998,1.001307092796111e-08
1999,1.9651864940906094e-08
2000,1.2370487856294687e-08
2001,1.577236172223273e-08
2002,2.0591740756970012e-08
2003,1.4584230545455767e-08
2004,1.4976289902657314e-08
2005,1.4862373776125537e-08
2006,1.317724729332781e-08
2007,1.6377365241737607e-08
2008,1.4475294823901308e-08
2009,1.2397300963584712e-08
2010,1.7478034852747015e-08
2011,2.2943831723409858e-08
2012,2.1787216974988866e-08
2013,1.9244962179421066e-08
2014,7.362513709807672e-09
2015,1.2856136932803963e-08
2016,1.304944197144664e-08
2017,1.3835862455735537e-08
2018,1.5230653405140515e-08
2019,1.3520235375708012e-08
