year,véritables_ADJ tumeurs_NOUN
1906,4.83553357355504e-08
1907,5.451413898072133e-08
1908,5.3043002878894185e-08
1909,5.886052534265218e-08
1910,5.1303846504424655e-08
1911,3.724261787851901e-08
1912,6.511776717843532e-08
1913,5.196929819817342e-08
1914,4.553785615257766e-08
1915,1.6493066468115103e-08
1916,3.84561182897869e-08
1917,4.276905585243185e-08
1918,3.5607765624945387e-08
1919,1.1970202606903513e-08
1920,4.619061400035207e-08
1921,4.8465583546430935e-08
1922,4.279202414636529e-08
1923,2.3355084977083607e-08
1924,3.351822286390416e-08
1925,1.9796720707176974e-08
1926,3.78968714187522e-08
1927,3.0102906833917586e-08
1928,2.9707706517001498e-08
1929,2.0052731031228177e-08
1930,3.466189113510154e-08
1931,2.167017854048936e-08
1932,2.4110979879310435e-08
1933,3.326492148403304e-08
1934,2.3963160344919743e-08
1935,4.906996409204112e-08
1936,3.6374142808881516e-08
1937,2.895957251780601e-08
1938,3.3709557811789637e-08
1939,4.282334131744392e-08
1940,1.5214697057785997e-08
1941,3.836953510472085e-08
1942,4.5513175450651033e-08
1943,3.193558839598154e-08
1944,2.2492303131116387e-08
1945,1.742803235060819e-08
1946,3.480275978517966e-08
1947,1.6689218895749036e-08
1948,2.9354097819123126e-08
1949,2.9451024730065e-08
1950,1.808011518278363e-08
1951,1.9190522948520083e-08
1952,1.0544804140977249e-08
1953,1.4005975934594517e-08
1954,3.518113089739927e-08
1955,1.783265446420046e-08
1956,1.9186511934776718e-08
1957,1.8553580005686854e-08
1958,2.0680609225109947e-08
1959,2.2477168570844697e-08
1960,1.591791587429725e-08
1961,1.737039845295385e-08
1962,1.2049716779927166e-08
1963,1.939815952312074e-08
1964,1.520992043424485e-08
1965,1.4227312661319047e-08
1966,1.2185964237687585e-08
1967,1.429797347185513e-08
1968,1.1677681044375277e-08
1969,5.450109252791435e-09
1970,7.817832603507213e-09
1971,6.679916619845017e-09
1972,8.208234980600082e-09
1973,3.859242703185828e-09
1974,1.1251143350321513e-09
1975,5.711480177694739e-09
1976,3.4281160132820787e-09
1977,4.11374712072643e-09
1978,3.5643548113029055e-09
1979,4.096381456264453e-09
1980,3.411090521154847e-09
1981,3.1627747087981106e-09
1982,8.069752865935698e-09
1983,1.2630632095778083e-09
1984,3.479405208395292e-09
1985,6.015558051686298e-10
1986,1.1988970927134801e-09
1987,1.2221633705067347e-09
1988,2.99827696004229e-09
1989,5.488122178931576e-10
1990,3.814055737905164e-09
1991,2.344586080837985e-09
1992,2.7549720282848966e-09
1993,2.7696036575264316e-09
1994,1.0549853213248639e-09
1995,5.422450821690461e-10
1996,1.067618438099771e-09
1997,9.58978896292706e-10
1998,9.536258449571733e-10
1999,4.570201161957499e-10
2000,2.2090156370779823e-09
2001,4.3812117822561447e-10
2002,8.76244299341522e-10
2003,1.6667691671301554e-09
2004,5.285749615779878e-09
2005,9.007499190971657e-10
2006,2.4707338397433887e-09
2007,3.994479469415779e-10
2008,1.2772318758180745e-09
2009,1.907277002999308e-09
2010,1.4171379625338432e-09
2011,7.64794394481072e-10
2012,3.4042526575461807e-09
2013,5.578250084070646e-10
2014,6.496335691608124e-10
2015,1.10828768384863e-09
2016,1.0356699942093428e-09
2017,7.54683426862357e-10
2018,0.0
2019,0.0
