year,trop_ADV rusé_VERB
1992,2.2039776670368383e-09
1993,6.647049133334804e-09
1994,4.747434001473039e-09
1995,4.337960657352369e-09
1996,1.6014276571496566e-09
1997,2.3974471297094624e-09
1998,2.3840645013706308e-09
1999,5.0272213059088244e-09
2000,5.3016377954406835e-09
2001,4.8193329327261836e-09
2002,3.9430991805033955e-09
2003,2.5001538617175356e-09
2004,3.0833537945085254e-09
2005,2.251874686720612e-09
2006,2.8825228870488218e-09
2007,3.1955835755326234e-09
2008,8.514879357157668e-10
2009,8.582746957586096e-09
2010,4.2514138876015295e-09
2011,1.1471915861704929e-08
2012,9.872333173177594e-09
2013,8.367375237128272e-09
2014,1.017759210242275e-08
2015,1.440773989003219e-08
2016,8.699628573083373e-09
2017,7.54683426862357e-09
2018,1.161660012627408e-08
2019,6.887666881283394e-09
