year,beaucoup_ADV avoir_VERB
1939,1.6823456405745674e-08
1940,2.7893612752905028e-08
1941,2.9515025978810172e-09
1942,2.730790527039062e-08
1943,3.4838823381733164e-08
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,1.9489545977080525e-08
1947,2.9802176726434482e-08
1948,2.9354097819123126e-08
1949,1.47255123650325e-08
1950,2.9779013033248702e-08
1951,2.0256663901818683e-08
1952,2.319856839960721e-08
1953,1.8315507332999914e-08
1954,1.9545073115523337e-08
1955,3.0972504561077585e-08
1956,2.0058624983221307e-08
1957,3.3573144264664734e-08
1958,1.9026160202884057e-08
1959,3.332821663093455e-08
1960,1.4533750203327145e-08
1961,2.36237411854745e-08
1962,1.5220695814832652e-08
1963,2.5864213881732212e-08
1964,2.6769461314302134e-08
1965,1.7510538796727815e-08
1966,1.606331601067268e-08
1967,2.465167803222812e-08
1968,2.3355362088750553e-08
1969,2.497966811176866e-08
1970,2.6672605457633836e-08
1971,2.363662865434435e-08
1972,2.257264597460562e-08
1973,1.7642252103655665e-08
1974,2.8690415376786405e-08
1975,2.1132477101559743e-08
1976,2.4568166168137395e-08
1977,2.1744092748576804e-08
1978,2.0198010375338527e-08
1979,2.5163485517509798e-08
1980,3.0699812469947574e-08
1981,4.3013738348918196e-08
1982,2.669225906970496e-08
1983,3.031351525351056e-08
1984,3.073474630355122e-08
1985,2.2257564680217e-08
1986,2.517683839187157e-08
1987,2.261002229886344e-08
1988,2.5185526553173077e-08
1989,1.8110803523541108e-08
1990,2.7788120249283565e-08
1991,2.989347080983862e-08
1992,2.3692759754112558e-08
1993,2.3264671966671813e-08
1994,2.7429617688312646e-08
1995,2.331653803366862e-08
1996,2.2953797085278893e-08
1997,2.157702461147437e-08
1998,1.859570453177639e-08
1999,2.3308025731694215e-08
2000,2.8275401575683645e-08
2001,2.4534786646768225e-08
2002,1.7963008858146168e-08
2003,2.6251614215766494e-08
2004,3.0833540165531304e-08
2005,2.9274373147814003e-08
2006,3.294312023172097e-08
2007,2.836080348345149e-08
2008,3.618823640749724e-08
2009,3.862236042095901e-08
2010,4.015224064346512e-08
2011,3.8622115283715175e-08
2012,5.004251590889908e-08
2013,5.35512008070782e-08
2014,4.547434784285542e-08
2015,5.3862780902136365e-08
2016,5.5304777646369985e-08
2017,4.5029441508859236e-08
2018,5.756670873324765e-08
2019,5.637683031523011e-08
