year,vos_DET sentiers_NOUN
2008,1.7029758714315335e-09
2009,2.860915504498962e-09
2010,6.613310343794865e-09
2011,5.7359579308524644e-09
2012,7.829781267787439e-09
2013,5.29933741333366e-09
2014,4.330890368553497e-09
2015,5.984753692622746e-09
2016,1.2842307939298081e-08
2017,4.2765392616050946e-09
2018,8.002546458829585e-09
2019,7.1427654901867754e-09
