year,premières_ADJ herbes_NOUN
1874,3.5847653734322193e-09
1875,8.58229043387837e-09
1876,1.0882827083946722e-08
1877,3.710889595609501e-09
1878,2.294853729267743e-08
1879,3.665595160740054e-09
1880,3.8507077526617195e-09
1881,4.8807553554297556e-09
1882,7.320923423037584e-09
1883,1.0742875922176154e-08
1884,9.902545450302114e-09
1885,1.2891271383708158e-09
1886,1.355227396970804e-08
1887,1.0446279397058333e-08
1888,7.60873763994141e-09
1889,8.771191772893872e-09
1890,4.5880703680722945e-09
1891,6.3742202627281586e-09
1892,5.641661360300532e-09
1893,2.463366621796581e-09
1894,8.192000855444803e-09
1895,9.027921521465032e-09
1896,0.0
1897,3.4960281336537946e-09
1898,5.6583546736987955e-09
1899,8.844125432005967e-09
1900,1.6092265298084385e-08
1901,5.029864968975062e-09
1902,7.856454153909453e-09
1903,1.0800440541913758e-08
1904,7.524475265086039e-09
1905,5.676835002077496e-09
1906,1.1317205839134203e-08
1907,1.7485668024619372e-08
1908,1.4734167219643268e-09
1909,6.0510818578052294e-09
1910,2.67207544979442e-09
1911,4.25629931299909e-09
1912,4.167536982180309e-09
1913,6.893886794756554e-09
1914,9.37544086809794e-09
1915,2.3561523843085297e-09
1916,1.0987462051303964e-09
1917,5.483212106582869e-09
1918,9.189101035644853e-09
1919,9.207848372660976e-10
1920,7.572231730534895e-10
1921,2.2718242842501013e-09
1922,5.164555005876537e-09
1923,1.4862327368803108e-08
1924,2.578324886925998e-09
1925,5.499089184013428e-09
1926,3.343841648018042e-09
1927,5.574612327308159e-09
1928,1.0283437212876834e-08
1929,2.2280812750352652e-09
1930,3.1510811737689437e-09
1931,1.596749932275543e-08
1932,6.575722188983946e-09
1933,1.1470662641954732e-08
1934,5.990790086229936e-09
1935,1.4361940969820353e-08
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,7.779128452511941e-09
1939,0.0
1940,1.0143131667916805e-08
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,0.0
1945,6.535512131478072e-09
1946,9.744772988540262e-09
1947,0.0
1948,6.523132700664291e-09
1949,1.9634016634739737e-09
1950,3.190608444114673e-09
1951,1.1727541604500402e-08
1952,6.326882129314981e-09
1953,9.69644453618912e-09
1954,5.863521668203475e-09
1955,6.569925492527773e-09
1956,6.104799332717903e-09
1957,5.301022731885041e-09
1958,6.617794756635931e-09
1959,2.325224457422337e-09
1960,2.076250060767393e-09
1961,6.94815938118154e-09
1962,9.512934440181198e-09
1963,4.526237162849611e-09
1964,5.475571551727398e-09
1965,7.1136563306595235e-09
1966,4.431259803538978e-09
1967,4.930335695263466e-09
1968,5.3896989093971115e-09
1969,4.541757636644661e-09
1970,1.1496812390987543e-08
1971,8.221435976452085e-09
1972,2.0520587451500205e-09
1973,8.269805285010534e-09
1974,2.812785782069227e-09
1975,3.4268881066168433e-09
1976,2.856763492431469e-09
1977,4.11374712072643e-09
1978,7.128709622605811e-09
1979,5.851973128301324e-09
1980,6.253665585376211e-09
1981,6.325549417596221e-09
1982,3.1037510339615437e-09
1983,5.052252838311233e-09
1984,2.8995041922996734e-09
1985,5.414002135495366e-09
1986,9.591176741707841e-09
1987,6.110816852533674e-10
1988,6.596209356501959e-09
1989,3.2928733073589456e-09
1990,4.358920779878872e-09
1991,5.8614650910726596e-09
1992,4.958949695321735e-09
1993,4.985286850001103e-09
1994,7.912389854425328e-09
1995,7.591431483433553e-09
1996,2.135236876199542e-09
1997,4.794894259418925e-09
1998,7.152193948201102e-09
1999,9.140402323914998e-10
2000,9.277866475088103e-09
2001,5.695575122643959e-09
2002,5.6955880012310445e-09
2003,8.333845835650777e-10
2004,1.7619165015858584e-09
2005,2.702249757291497e-09
2006,2.8825228870488218e-09
2007,5.192823504529542e-09
2008,5.108927503272298e-09
2009,1.907277002999308e-09
2010,5.196172381261022e-09
2011,2.6767803529281764e-09
2012,2.0425516833455504e-09
2013,6.693900100884775e-09
2014,5.846701789380404e-09
2015,3.768178213903184e-09
2016,5.178350193091319e-09
2017,6.289028409156572e-09
2018,6.9699601645822895e-09
2019,4.591778068885333e-09
