year,quelques_DET herbes_NOUN
1901,7.20947288535001e-08
1902,3.830021322315247e-08
1903,5.34621804604285e-08
1904,4.622177662838567e-08
1905,6.192910939617491e-08
1906,6.84176528764624e-08
1907,6.171412003652677e-08
1908,5.206072239971604e-08
1909,5.941062219960713e-08
1910,5.9320073297897125e-08
1911,3.511446822201947e-08
1912,5.782457712655287e-08
1913,4.5075413623862914e-08
1914,5.5582971392187375e-08
1915,4.5944972271172446e-08
1916,6.482602388224734e-08
1917,3.618920063619413e-08
1918,2.986458014220261e-08
1919,3.591060848684435e-08
1920,5.5277290300637105e-08
1921,4.770831019129673e-08
1922,6.345024594622828e-08
1923,7.006525448716161e-08
1924,5.4144823513624374e-08
1925,7.038833871320094e-08
1926,4.346993842663238e-08
1927,7.024011372536165e-08
1928,6.969885268937048e-08
1929,5.013182846624886e-08
1930,6.722306356010677e-08
1931,6.501053384511124e-08
1932,6.356530946050043e-08
1933,4.01473165823063e-08
1934,4.553000287899067e-08
1935,5.0266794282549654e-08
1936,8.244805638213393e-08
1937,4.029157785190307e-08
1938,5.315737894306949e-08
1939,3.976453033516236e-08
1940,6.846613898048304e-08
1941,5.607854847156091e-08
1942,5.4615812983271894e-08
1943,4.935499831049128e-08
1944,5.1410980361765724e-08
1945,4.1391575500426825e-08
1946,4.5939643200654245e-08
1947,6.675688091206666e-08
1948,5.327224994466917e-08
1949,3.926803215925645e-08
1950,5.53038810302553e-08
1951,4.904244965686644e-08
1952,3.057993092081546e-08
1953,4.8482223569124017e-08
1954,6.645324290843746e-08
1955,6.100645011386518e-08
1956,4.186147939400087e-08
1957,4.594219671361088e-08
1958,4.301566680631197e-08
1959,4.340418779946731e-08
1960,4.844583245677825e-08
1961,3.821487659649847e-08
1962,5.517502121854534e-08
1963,5.237503053479031e-08
1964,4.258777680510306e-08
1965,4.213473420167091e-08
1966,5.483684106799558e-08
1967,5.620582477217084e-08
1968,6.243068129130336e-08
1969,4.859680824420565e-08
1970,5.104584843707016e-08
1971,3.853798080655224e-08
1972,4.206720372046391e-08
1973,2.8117339179178913e-08
1974,4.6692246069568455e-08
1975,3.712462248728343e-08
1976,4.0566039194445125e-08
1977,3.349765664850679e-08
1978,5.8217796361503815e-08
1979,3.277104954069188e-08
1980,3.922754143736995e-08
1981,4.491140181972497e-08
1982,4.779776796581814e-08
1983,3.915495838668903e-08
1984,5.683028447833749e-08
1985,4.5718240637704355e-08
1986,3.237022139224166e-08
1987,5.988600548789691e-08
1988,4.7372775702214653e-08
1989,3.7319230816734716e-08
1990,3.596109682257875e-08
1991,2.989347169801704e-08
1992,4.738552150662656e-08
1993,4.3759737611281935e-08
1994,5.538672787075427e-08
1995,4.554858623606606e-08
1996,5.3380923681345394e-08
1997,3.5482220273053144e-08
1998,6.246249284469485e-08
1999,5.392837332252043e-08
2000,4.815654386369772e-08
2001,4.687896559829596e-08
2002,5.213653453406408e-08
2003,5.000307434777085e-08
2004,4.801222508454828e-08
2005,4.188487268130814e-08
2006,6.465087265539182e-08
2007,4.713485934892958e-08
2008,5.364373834026992e-08
2009,6.675469288452973e-08
2010,8.644541260593996e-08
2011,1.0515923198894939e-07
2012,1.0553183305006542e-07
2013,9.566698677687668e-08
2014,1.2299728879838767e-07
2015,1.2124667270185796e-07
2016,1.470651360691022e-07
2017,1.2603213050965678e-07
2018,1.4017364158291912e-07
2019,1.280595869346257e-07
