year,des_DET sentiers_NOUN
1871,7.36047612193147e-07
1872,7.958298802179797e-07
1873,7.721945891603355e-07
1874,7.641525119339576e-07
1875,8.010137975134057e-07
1876,7.41846004181923e-07
1877,8.454643474209433e-07
1878,8.327903557869831e-07
1879,8.418650088160007e-07
1880,8.972148890507015e-07
1881,8.290311246383908e-07
1882,8.685277883557774e-07
1883,8.518468703755389e-07
1884,8.694434647793514e-07
1885,8.301978642322183e-07
1886,9.009035402129939e-07
1887,7.906528001200286e-07
1888,8.64225805585761e-07
1889,8.414078589424889e-07
1890,8.750106168520233e-07
1891,7.78929695854913e-07
1892,8.506371305117e-07
1893,9.095981017281929e-07
1894,9.156136471233367e-07
1895,8.991810211966822e-07
1896,8.922205054773258e-07
1897,9.474236186690632e-07
1898,9.025075975443997e-07
1899,8.269257314452716e-07
1900,8.741733630301951e-07
1901,7.902476699683803e-07
1902,7.566747655118888e-07
1903,8.81315944667449e-07
1904,8.610149357934915e-07
1905,7.968211885867049e-07
1906,9.130927693945523e-07
1907,7.709121998544788e-07
1908,7.981007428270459e-07
1909,7.739883987056828e-07
1910,8.219303637702069e-07
1911,9.081878609151772e-07
1912,7.142116373870522e-07
1913,7.827213064359739e-07
1914,7.440082256948699e-07
1915,7.292291694938058e-07
1916,7.383574391894854e-07
1917,8.520911727316616e-07
1918,6.28304770877719e-07
1919,6.583611771304732e-07
1920,6.49697499355284e-07
1921,6.883627214904209e-07
1922,6.654898037083967e-07
1923,7.133916959389808e-07
1924,8.199072993875234e-07
1925,7.258797474207768e-07
1926,6.676537118721626e-07
1927,8.083187825747018e-07
1928,7.186979740225752e-07
1929,7.330387141735173e-07
1930,6.512234271838224e-07
1931,7.208185275331402e-07
1932,6.783953114819496e-07
1933,5.953273589653918e-07
1934,6.374200367531557e-07
1935,6.642397600842287e-07
1936,6.947461468342908e-07
1937,6.962888541295342e-07
1938,6.612259095817308e-07
1939,6.423501375252272e-07
1940,6.618393335600103e-07
1941,6.611365641617795e-07
1942,7.615871382427031e-07
1943,8.274220437698432e-07
1944,7.904438188433005e-07
1945,8.365455466119442e-07
1946,8.324820157668e-07
1947,7.736645315503665e-07
1948,7.762528113630651e-07
1949,6.705016426522548e-07
1950,6.530112237612684e-07
1951,6.588746366276155e-07
1952,6.474509426368513e-07
1953,6.431975236864673e-07
1954,6.879865566133958e-07
1955,6.729480936940035e-07
1956,6.567019399383867e-07
1957,5.477723270530532e-07
1958,6.526799802841765e-07
1959,5.851814774970876e-07
1960,6.207987706119411e-07
1961,6.656336468680024e-07
1962,6.881022649452007e-07
1963,7.313106067385888e-07
1964,7.172998870430547e-07
1965,6.878358469464274e-07
1966,7.499907344055146e-07
1967,7.311687895139585e-07
1968,7.6668469883856e-07
1969,7.130559698254046e-07
1970,7.367157461857232e-07
1971,7.106403892009894e-07
1972,6.669190746322329e-07
1973,7.779130335450191e-07
1974,7.105097203918831e-07
1975,6.533933456509544e-07
1976,7.033351767660179e-07
1977,7.334223859345457e-07
1978,7.586135195580823e-07
1979,8.046463166877516e-07
1980,7.640842714096152e-07
1981,8.767211578941669e-07
1982,8.187695659245264e-07
1983,8.449892963113825e-07
1984,8.402763267412183e-07
1985,8.512014577632954e-07
1986,7.648963205042492e-07
1987,7.516304627586123e-07
1988,7.945433670997204e-07
1989,8.539518141503777e-07
1990,8.385473684313638e-07
1991,9.331452446303956e-07
1992,8.275936274060314e-07
1993,8.452830257965616e-07
1994,8.861876619192799e-07
1995,9.245278871361506e-07
1996,9.0106995997985e-07
1997,8.827400836963761e-07
1998,9.102358671242428e-07
1999,9.533439584430425e-07
2000,1.0117291751043922e-06
2001,9.533516713844392e-07
2002,9.910322784634218e-07
2003,9.271403413890766e-07
2004,9.932804481138646e-07
2005,9.520926571582322e-07
2006,1.0426496963589216e-06
2007,1.15959737811977e-06
2008,1.350459918114666e-06
2009,1.4104313805773927e-06
2010,1.5130308952393534e-06
2011,2.463785051531886e-06
2012,2.522210877486941e-06
2013,1.997850304746862e-06
2014,1.925080759690445e-06
2015,2.194409574940437e-06
2016,2.275367108950377e-06
2017,2.070599578019028e-06
2018,2.2174798033347543e-06
2019,2.2711443961043187e-06
