year,as_VERB eu_VERB,as_VERB su_VERB
1840,1.840840013755951e-07,3.05745047057826e-08
1841,2.221509731725746e-07,3.338685417020315e-08
1842,2.743680340699939e-07,3.018719141323345e-08
1843,2.658109963249444e-07,5.611565612184677e-08
1844,2.1130961158633e-07,4.116420981858937e-08
1845,2.1539679551096924e-07,4.51998474204629e-08
1846,1.6978053452021413e-07,3.6297908678761814e-08
1847,1.5316754797822796e-07,3.883121024728098e-08
1848,1.4240042389701557e-07,3.620349886546137e-08
1849,1.0055298105271504e-07,5.027649052635752e-08
1850,1.575047008373076e-07,1.8330290174617403e-08
1851,1.5672135589284153e-07,2.257303499675345e-08
1852,2.0963956615105417e-07,3.7761164861649377e-08
1853,1.9767094272538088e-07,2.030456869306363e-08
1854,1.7041779187820794e-07,1.9223959313308114e-08
1855,2.069705544727185e-07,2.653468555990912e-08
1856,2.2727860482518736e-07,3.986435714864456e-08
1857,2.5969629291466845e-07,4.1980978693345605e-08
1858,2.6915216722045443e-07,2.9851424443450014e-08
1859,2.6021007215604186e-07,2.9025388315062628e-08
1860,2.842431285898783e-07,4.8060432078500526e-08
1861,2.664519627160189e-07,5.847795137015055e-08
1862,2.3041729946271516e-07,3.11741068514948e-08
1863,2.9068692697364895e-07,6.293222298836554e-08
1864,3.5624827887659194e-07,4.6029388300894425e-08
1865,2.574643929165177e-07,3.2006543193574544e-08
1866,2.875577251870709e-07,5.5954547661940524e-08
1867,2.7563970661503845e-07,5.386620927083641e-08
1868,2.5341554987790005e-07,5.186867824136243e-08
1869,2.6517508899814857e-07,3.809144999422642e-08
1870,2.322289702760827e-07,3.2110673231500186e-08
1871,3.1544897183266585e-07,4.779529660936532e-08
1872,3.0962377195464796e-07,7.438227100919903e-08
1873,2.2986256453805254e-07,2.993002112816612e-08
1874,2.820015652105212e-07,5.078417686377179e-08
1875,3.15828287966724e-07,6.236464855646773e-08
1876,2.110059114102114e-07,7.497058618355368e-08
1877,2.4058934400272847e-07,2.9068635498674666e-08
1878,2.11972007946315e-07,3.01954443671093e-08
1879,3.4090035683220776e-07,2.8102896010295808e-08
1880,2.2462461402028566e-07,4.1074216028391675e-08
1881,2.2660650245143188e-07,5.5780059682319916e-08
1882,2.7353632958693197e-07,3.8601232432711186e-08
1883,2.4961389044619864e-07,4.1707636455612374e-08
1884,2.970763546272792e-07,3.9610181801208455e-08
1885,2.507352405700658e-07,3.867381437316908e-08
1886,1.981213415547245e-07,3.613939725255477e-08
1887,2.428759842132422e-07,2.8727267675776602e-08
1888,2.4918614371927106e-07,3.1703073943845084e-08
1889,2.2930400689347152e-07,5.0121094830046786e-08
1890,2.7856142992277455e-07,3.4082809463598096e-08
1891,1.905891764408807e-07,3.4420789774003424e-08
1892,2.137562660209369e-07,3.13425623232888e-08
1893,1.866000189920669e-07,3.202376674948937e-08
1894,2.2370464591858763e-07,3.150769600779313e-08
1895,2.8106930471949454e-07,3.1296796265678495e-08
1896,2.8954411845916184e-07,4.776593343081004e-08
1897,2.2316312708881014e-07,3.4960280004270317e-08
1898,2.682060085135163e-07,4.187182511827814e-08
1899,2.7306236916047055e-07,3.703477347016815e-08
1900,1.9777912996232772e-07,3.114631752509922e-08
1901,2.0734221095608518e-07,4.3033288932292635e-08
1902,2.131063183696824e-07,2.7988617645746672e-08
1903,1.9602799739004695e-07,4.6981917023458664e-08
1904,2.2519679987453856e-07,2.741058935384899e-08
1905,2.069464386522668e-07,4.3866453580676534e-08
1906,2.0525295951756561e-07,4.166789580040131e-08
1907,2.4994218961182924e-07,4.165703160197154e-08
1908,2.9861246275686426e-07,2.701263923654551e-08
1909,2.8770145377166045e-07,7.151278680339601e-08
1910,3.1797696919966256e-07,4.275320719671072e-08
1911,2.5112166213148157e-07,4.575521828087403e-08
1912,2.484893855125847e-07,4.063348413296808e-08
1913,2.2060437743220973e-07,6.628737025948794e-08
1914,2.089384025794061e-07,3.616241528447972e-08
1915,1.9673872486691835e-07,4.2410743361642744e-08
1916,2.0766303521213558e-07,4.9443578120644815e-08
1917,2.1055535626146593e-07,3.947912929902486e-08
1918,1.9526839878380997e-07,3.790504266021344e-08
1919,2.384832669122261e-07,4.4197673076951105e-08
1920,2.6351366955168487e-07,6.96645301445642e-08
1921,2.506579335204151e-07,5.83101567031008e-08
1922,3.2905592206589063e-07,5.3121134158118366e-08
1923,2.8450742206587165e-07,5.201814445854325e-08
1924,3.416280378587544e-07,7.09039369439779e-08
1925,3.134480834887654e-07,5.939016034517408e-08
1926,3.5444719514998724e-07,7.57937428375044e-08
1927,4.6269283870969957e-07,5.797597069090443e-08
1928,3.6906112654833123e-07,5.5987602110008083e-08
1929,3.219577422441944e-07,6.127223173280072e-08
1930,3.770793739477085e-07,4.411513643276521e-08
1931,2.7144747605234443e-07,4.5621426636444085e-08
1932,3.6276065884521813e-07,4.055028668403793e-08
1933,3.0167842623995966e-07,5.276504566609219e-08
1934,3.258989806909085e-07,5.152079296522061e-08
1935,2.9920710176156717e-07,5.0266791618014395e-08
1936,3.103926928815781e-07,3.394919900756577e-08
1937,2.581179217031604e-07,6.1696475484041e-08
1938,3.1116513810047763e-07,4.148868626430158e-08
1939,3.1658683496971207e-07,2.9058696782158222e-08
1940,2.0032685199566913e-07,2.5357829613881222e-08
1941,3.6598632391360297e-07,5.017554371988808e-08
1942,3.3679751254567236e-07,6.068423630267716e-08
1943,3.135494068828848e-07,7.548411673496958e-08
1944,3.373845345322479e-07,4.177142187700156e-08
1945,4.966989308741177e-07,9.367567344042982e-08
1946,4.176331174221559e-07,7.099762910911522e-08
1947,4.4584058400687354e-07,8.344609625510202e-08
1948,4.5770647716381063e-07,6.52313261184645e-08
1949,3.524305896007718e-07,6.381055328574803e-08
1950,5.28577459135704e-07,7.338399399259288e-08
1951,4.0086871422317927e-07,7.676209179408033e-08
1952,3.237254873056372e-07,4.007025466989944e-08
1953,3.835482687009062e-07,6.033343424860504e-08
1954,4.896040763924248e-07,3.0294863506696856e-08
1955,3.557145475951984e-07,6.382213513234092e-08
1956,4.1163787045661593e-07,5.843164885277474e-08
1957,3.640035401986097e-07,5.1243219445495924e-08
1958,4.4008334043610375e-07,5.9560154141991006e-08
1959,4.286163459710224e-07,5.503030919840057e-08
1960,3.7856958101656346e-07,7.474500307580456e-08
1961,3.696420662890887e-07,5.697490479406042e-08
1962,4.6042603685236827e-07,7.9908652139693e-08
1963,4.209400685795117e-07,7.177319361062473e-08
1964,4.033670961689495e-07,5.962289151284494e-08
1965,3.649852828857547e-07,5.636204747361262e-08
1966,3.938282020499173e-07,5.705247119180967e-08
1967,3.682960709738836e-07,7.346199737412462e-08
1968,3.745840899682662e-07,6.961694509755034e-08
1969,3.7742006497865077e-07,6.721801781850445e-08
1970,3.168521516272449e-07,6.622163795100278e-08
1971,3.5968781730844057e-07,6.525764462139705e-08
1972,2.7138477776134096e-07,5.84836747918871e-08
1973,3.3079223271670344e-07,5.8991279416886755e-08
1974,3.139068951441004e-07,4.1629231617434925e-08
1975,2.6501268735046324e-07,4.454954449784054e-08
1976,2.58251418472355e-07,4.799362685048436e-08
1977,3.138201520869188e-07,4.642657813747064e-08
1978,2.7504938771016896e-07,7.960392167660757e-08
1979,3.429256310027995e-07,6.788289397263725e-08
1980,3.558904211331537e-07,4.832378053265529e-08
1981,3.5676100651471643e-07,5.756250232025195e-08
1982,3.0975436970948067e-07,5.524676893742253e-08
1983,3.479739234535373e-07,6.378468953016636e-08
1984,3.3576259284018306e-07,6.900820181954259e-08
1985,3.783786155509006e-07,6.196025026383722e-08
1986,3.7285698795130884e-07,6.893658621720533e-08
1987,3.0309652743198967e-07,6.721898415662508e-08
1988,3.6459047692005697e-07,8.275244312017094e-08
1989,3.5672795206664887e-07,7.738252350009134e-08
1990,3.6288014371166355e-07,8.22746315520817e-08
1991,3.3410350397389266e-07,7.619905062483667e-08
1992,3.300456512533856e-07,5.56504353710352e-08
1993,3.7278866216183815e-07,6.536264862688768e-08
1994,3.27572934111231e-07,6.066165525453471e-08
1995,3.6709991491079563e-07,7.808328916780738e-08
1996,3.36833608116649e-07,7.473329333151923e-08
1997,3.763992140193295e-07,5.897720356529135e-08
1998,3.4902706147477147e-07,7.199874829666442e-08
1999,3.190000370523194e-07,7.083811937036444e-08
2000,3.251671216730756e-07,7.289752090855472e-08
2001,3.662693188744015e-07,8.80623574062156e-08
2002,4.2278787759642e-07,8.806254925275425e-08
2003,4.487775981942832e-07,9.625591701478697e-08
2004,3.8630020071650506e-07,8.148863628321124e-08
2005,4.0668859924153367e-07,7.926599465690742e-08
2006,4.5749757759949716e-07,1.0006472450641013e-07
2007,8.356450962310191e-07,1.3221726646861498e-07
2008,9.779339507076656e-07,1.5837674993690598e-07
2009,1.0790419082695735e-06,1.5878080716902332e-07
2010,1.5583792674078722e-06,2.2815920885932428e-07
2011,1.6825476905069081e-06,2.2408475786050985e-07
2012,2.037785634456668e-06,2.7744658837036695e-07
2013,2.258354470541235e-06,3.0987177979113767e-07
2014,2.4614614630991127e-06,3.3088002737713396e-07
2015,2.4847809072525706e-06,3.4600742537804763e-07
2016,2.4893365662137512e-06,3.2996447885125235e-07
2017,2.871821834560251e-06,3.8161823567861575e-07
2018,2.9501002245524433e-06,3.905759058397962e-07
2019,2.803025381581392e-06,3.864746531689889e-07
