year,divers_DET sentiers_NOUN
1962,1.2683912808952869e-09
1963,1.939815863494232e-09
1964,5.475571551727398e-09
1965,3.2832261354087677e-09
1966,1.1078149508847446e-09
1967,6.902469928959931e-09
1968,1.7965663401398047e-09
1969,2.725054598640142e-09
1970,1.8394900047624674e-09
1971,5.652237344833111e-09
1972,5.130146862875051e-10
1973,1.102640756478479e-08
1974,3.3753429495853027e-09
1975,4.569184142155791e-09
1976,5.142174241967723e-09
1977,2.3507127355770763e-09
1978,1.7821774056514528e-09
1979,2.9259866751729646e-09
1980,2.8425752862659692e-09
1981,3.1627747087981106e-09
1982,4.966001831974154e-09
1983,2.5261264191556165e-09
1984,1.739702604197646e-09
1985,6.015558051686298e-10
1986,5.994485463567401e-10
1987,1.8332451112712533e-09
1988,2.9982769045311386e-09
1989,4.939309961038418e-09
1990,2.179460389939436e-09
1991,2.344586080837985e-09
1992,3.856960972825618e-09
1993,2.2156829704300662e-09
1994,2.1099706426497278e-09
1995,2.7112254663563817e-09
1996,4.270473752399084e-09
1997,1.917957792585412e-09
1998,2.86087753487152e-09
1999,4.113181045761749e-09
2000,2.2090156370779823e-09
2001,2.6287270138425356e-09
2002,5.695587723675288e-09
2003,3.7502307925763034e-09
2004,5.285749532513151e-09
2005,1.3511248786457486e-09
2006,5.765045940631097e-09
2007,8.787854888225866e-09
2008,5.534671720930362e-09
2009,7.152288761247405e-09
2010,4.723793189942427e-09
2011,1.6825476123472072e-08
2012,1.055318366027791e-08
2013,1.6455837581474952e-08
2014,7.795602829929749e-09
2015,1.0861219479352258e-08
2016,1.1599504468051691e-08
2017,1.0314006759770677e-08
2018,1.0067719768969141e-08
2019,1.3520235153663407e-08
