year,ces_DET herbes_NOUN
1945,1.2417472916581573e-07
1946,1.1554516632372724e-07
1947,1.4662671077303457e-07
1948,1.4459610930828148e-07
1949,1.394015169964291e-07
1950,1.3613262694889272e-07
1951,1.4712734230926117e-07
1952,1.2759212708601808e-07
1953,1.6591693974277177e-07
1954,1.2899747492411962e-07
1955,9.479463791706166e-08
1956,9.767678221805909e-08
1957,1.3164206258409195e-07
1958,9.595802730189007e-08
1959,1.0075972589618232e-07
1960,1.2111458325136937e-07
1961,1.0700165509192061e-07
1962,9.132417133628223e-08
1963,9.440437942487279e-08
1964,1.040358563741961e-07
1965,1.0178000753313654e-07
1966,1.2573699947893147e-07
1967,1.2079322253555347e-07
1968,1.037517041169167e-07
1969,1.0264372551915812e-07
1970,9.197450268061402e-08
1971,1.1407242261896045e-07
1972,9.029058523069011e-08
1973,9.207050499782099e-08
1974,1.2320002085175474e-07
1975,7.824728065486397e-08
1976,8.855966360243883e-08
1977,1.00492971277788e-07
1978,8.970293219334735e-08
1979,1.0475032041767918e-07
1980,9.437349923757665e-08
1981,8.412980712080298e-08
1982,8.566353493222323e-08
1983,7.01000102409921e-08
1984,8.872483014954469e-08
1985,8.662403683246112e-08
1986,1.0550294149425099e-07
1987,1.0449496734565855e-07
1988,1.1033659141901353e-07
1989,8.287064723333515e-08
1990,6.647354044986287e-08
1991,1.0667866590097219e-07
1992,8.485314317852044e-08
1993,8.087243053012116e-08
1994,8.756378200303061e-08
1995,1.0465330024800323e-07
1996,6.992900480895514e-08
1997,1.0117227233763515e-07
1998,8.296544784514026e-08
1999,8.226361858376663e-08
2000,8.084997382695747e-08
2001,8.192865763589907e-08
2002,1.1040678504770085e-07
2003,6.833753918300545e-08
2004,7.003617819023589e-08
2005,9.097574515948281e-08
2006,8.647568527919702e-08
2007,9.586750504553265e-08
2008,7.493094145161194e-08
2009,9.154929525578837e-08
2010,1.2565289431165638e-07
2011,1.4531093661673822e-07
2012,1.6102114663851808e-07
2013,1.4112972301916216e-07
2014,1.803815834477973e-07
2015,1.799859177253893e-07
2016,1.7212835423663364e-07
2017,1.9823017893827455e-07
2018,1.7450715539268913e-07
2019,1.6351831000349648e-07
