year,vingt - trois hommes
1902,1.5140027898041808e-08
1903,1.0729785948626613e-08
1904,2.0179770743311565e-08
1905,1.2535370963462356e-08
1906,1.70269709443005e-08
1907,7.957165648608822e-09
1908,1.8987025063310625e-08
1909,2.062462201024573e-08
1910,2.713244928731484e-08
1911,2.2900060514530196e-08
1912,1.5518848872630997e-08
1913,1.5212860304814058e-08
1914,1.551184691805929e-08
1915,6.364167859373993e-08
1916,1.8140040580760797e-08
1917,8.442716747936174e-09
1918,3.538555048976377e-08
1919,1.3175430524370313e-08
1920,1.0846389564278525e-08
1921,1.0864047439440583e-08
1922,5.7007207843184915e-09
1923,8.211990198958574e-09
1924,1.9948679153003468e-08
1925,6.092593096695964e-09
1926,9.876562678812206e-09
1927,7.405607904686917e-09
1928,3.795495473468691e-09
1929,8.63983906640442e-09
1930,2.441416668830243e-08
1931,2.5257092417518834e-08
1932,1.2128820614520919e-08
1933,1.1419179379856814e-08
1934,1.3274176202671129e-08
1935,1.724286136095543e-08
1936,1.744898092681524e-08
1937,5.579036455038988e-09
1938,1.4344111454178687e-09
1939,1.6942175440348706e-09
1940,1.970230556480601e-08
1941,1.3123854003538327e-08
1942,0.0
1943,3.2113728565263955e-08
1944,3.5494505112865227e-09
1945,1.6820733916844688e-08
1946,2.463577386535576e-08
1947,6.58391385854884e-09
1948,1.2032065233036349e-08
1949,1.2979289643055836e-08
1950,1.411531691530854e-08
1951,1.5338777359374944e-08
1952,8.176197496823079e-09
1953,8.335782730739538e-09
1954,9.726050964609101e-09
1955,6.2326954708424864e-09
1956,1.2540958493900689e-08
1957,9.778776899338482e-09
1958,9.148918622692293e-09
1959,1.2861623766013963e-08
1960,1.2245384928277758e-08
1961,7.668129242688337e-09
1962,9.092535613319797e-09
1963,1.783045711079012e-08
1964,1.610715116839856e-08
1965,1.4481272403443768e-08
1966,9.165862513427214e-09
1967,1.4666093672843772e-08
1968,1.729326992716551e-08
1969,1.597677057318947e-08
1970,1.7196783330675203e-08
1971,1.3032564638582045e-08
1972,1.1306008573797044e-08
1973,1.0358578439451094e-08
1974,1.2438579777285241e-08
1975,5.6840101514410435e-09
1976,1.0729325872205209e-08
1977,7.144127067704176e-09
1978,8.506510495998043e-09
1979,1.2882889866006053e-08
1980,9.39250105469469e-09
1981,7.659108458568653e-09
1982,6.8187144819376044e-09
1983,1.1107090358564164e-08
1984,8.915383986618508e-09
1985,1.25559858066282e-08
1986,1.2508732938343314e-08
1987,1.5441463219190155e-08
1988,6.5858134501439736e-09
1989,1.0850051523902948e-08
1990,6.566994947831972e-09
1991,9.001894507587593e-09
1992,6.638539495895657e-09
1993,4.246249962758242e-09
1994,1.0392066540632072e-08
1995,1.3043487401276366e-08
1996,7.000238610999077e-09
1997,1.203875227284712e-08
1998,7.803840129660955e-09
1999,1.3958399935898314e-08
2000,1.3488587746746106e-08
2001,8.12169348440861e-09
2002,1.5274707720891456e-08
2003,1.2252416858871129e-08
2004,1.0072972678187853e-08
2005,1.42243123946173e-08
2006,8.077353369495555e-09
2007,1.0471257860800165e-08
2008,1.208697875121345e-08
2009,1.3039241908430199e-08
2010,1.1906784891380084e-08
2011,1.0910708669875646e-08
2012,2.0247651555393986e-08
2013,1.6633049770842234e-08
2014,1.5089477223284575e-08
2015,1.4463357400629206e-08
2016,2.8197601809054618e-08
2017,6.693647525146673e-09
2018,1.8908958399066478e-08
2019,2.124375864109851e-08
