year,dernières_ADJ sorties_NOUN
1912,6.772247651554153e-09
1913,3.181793939432964e-09
1914,1.1384464038144415e-08
1915,1.295883844676382e-08
1916,1.2086208478478966e-08
1917,1.864292187292449e-08
1918,5.743188147278033e-09
1919,1.5653341733923298e-08
1920,1.2872794385998532e-08
1921,4.543648568500203e-09
1922,5.164555005876537e-09
1923,1.2739137744688378e-08
1924,3.867487219366694e-09
1925,1.2097995494286806e-08
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,9.14083297942625e-09
1929,1.0026365959703298e-08
1930,1.6805765667982087e-08
1931,1.710803587684495e-08
1932,1.3151444377967891e-08
1933,8.02946331646126e-09
1934,9.585264137967897e-09
1935,4.787313656606784e-09
1936,1.2124714565686645e-09
1937,1.2591118370153254e-08
1938,9.075650453382877e-09
1939,1.3764645423464117e-08
1940,7.607348528892999e-09
1941,1.4757512545315876e-08
1942,9.102635090130207e-09
1943,2.322588166236983e-08
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,4.1763312808029696e-09
1947,7.152522574216391e-09
1948,7.610321706152945e-09
1949,3.9268033269479474e-09
1950,1.2762433776458693e-08
1951,1.2793682557799002e-08
1952,2.003512733494972e-08
1953,8.619061908632375e-09
1954,1.2704297169818801e-08
1955,1.1262729415761896e-08
1956,1.3953826538681824e-08
1957,7.951533653738352e-09
1958,9.099467845885556e-09
1959,6.975672928177801e-09
1960,1.591791587429725e-08
1961,1.320150300188061e-08
1962,1.2683912586908264e-08
1963,2.845063429290917e-08
1964,7.909158605823308e-09
1965,1.4774516721161035e-08
1966,1.5509408868297214e-08
1967,5.916402479044791e-09
1968,6.737123747768692e-09
1969,7.72098829315837e-09
1970,1.1496812390987543e-08
1971,1.3873672877195986e-08
1972,8.721249500354133e-09
1973,6.615844760915479e-09
1974,7.313243344242437e-09
1975,1.0851811893530794e-08
1976,9.712995741040231e-09
1977,9.402850942308305e-09
1978,2.970295565063452e-09
1979,8.192762912528906e-09
1980,7.95921106799824e-09
1981,1.3916208629893845e-08
1982,9.311253545973841e-09
1983,5.68378455412244e-09
1984,6.95881025025713e-09
1985,7.820225356169885e-09
1986,1.7983456501724504e-08
1987,6.721898593298192e-09
1988,1.0194141475405871e-08
1989,9.878619700032232e-09
1990,3.814055737905164e-09
1991,3.5168792322792797e-09
1992,8.815910668147353e-09
1993,8.862731881720265e-09
1994,9.494867947434926e-09
1995,1.572510655023507e-08
1996,1.1743802375008272e-08
1997,1.2946214766884623e-08
1998,1.239713631751016e-08
1999,9.140402129625969e-09
2000,1.3695897749244068e-08
2001,1.095302959441824e-08
2002,1.0953053297679816e-08
2003,1.5000922837238306e-08
2004,1.6297727084557678e-08
2005,1.5763124139311913e-08
2006,1.4824403926638752e-08
2007,2.157018919035636e-08
2008,2.682186917013496e-08
2009,2.2887324035991696e-08
2010,2.9759895880943077e-08
2011,4.053410407323099e-08
2012,4.0510607812738186e-08
2013,2.9843638282844864e-08
2014,2.7717698358742382e-08
2015,3.635183620787075e-08
2016,2.7755956644170965e-08
2017,3.4463874698520414e-08
2018,3.4591652153803665e-08
2019,5.433603789128938e-08
