year,tes_DET sentiers_NOUN
1895,4.213029924926559e-09
1896,1.533227500516432e-08
1897,1.1653426668090106e-08
1898,1.4145887128336199e-08
1899,9.39688327150634e-09
1900,1.142031713641245e-08
1901,2.235495621949468e-09
1902,3.4371988033576883e-09
1903,1.0800440541913758e-08
1904,6.987012746151322e-09
1905,2.580379465655369e-09
1906,7.716276839708769e-09
1907,9.257117739025489e-09
1908,1.7681000663571922e-08
1909,2.9155212466491776e-08
1910,1.0688301577133075e-08
1911,9.576673454247953e-09
1912,1.0418842122383865e-08
1913,1.0075680734189518e-08
1914,1.33934876522801e-08
1915,5.890381071793627e-09
1916,1.538244687182555e-08
1917,3.289927441585405e-09
1918,1.2635013924011673e-08
1919,1.5653341955967903e-08
1920,1.0601124866838063e-08
1921,9.844571879913389e-09
1922,3.6889677978990676e-09
1923,1.1677542932631013e-08
1924,1.0313299547703991e-08
1925,1.0998178368026856e-08
1926,5.57306911730393e-09
1927,8.919380123373344e-09
1928,1.1426041335305115e-08
1929,1.0026365737658693e-08
1930,8.402882945013346e-09
1931,9.124285327288817e-09
1932,6.575722188983946e-09
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,3.590485242455088e-09
1936,8.487300195980652e-09
1937,1.2591118259130951e-08
1938,7.779128452511941e-09
1939,1.8352860564618823e-08
1940,2.028626333583361e-08
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,2.9032351633873077e-08
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,8.352662561605939e-09
1947,9.536696765621855e-09
1948,5.435944139264848e-09
1949,9.817008428392171e-09
1950,2.2334258886758107e-08
1951,2.132280330080505e-08
1952,6.326882462381889e-09
1953,4.3095309543161875e-09
1954,1.07497895029951e-08
1955,3.754243138587299e-09
1956,6.104798888628693e-09
1957,1.236905244894615e-08
1958,4.1361216673863055e-09
1959,6.200598368089061e-09
1960,2.214666650068864e-08
1961,4.86371165564492e-09
1962,1.3318108227355907e-08
1963,1.6165132787904213e-08
1964,1.2167936880302932e-08
1965,6.0192477668863376e-09
1966,7.20079718075084e-09
1967,1.5777073869571723e-08
1968,7.186265305048067e-09
1969,8.629339909305145e-09
1970,1.3796175230007535e-08
1971,6.166077093361366e-09
1972,4.104117490300041e-09
1973,8.821125663249774e-09
1974,1.0126029015289362e-08
1975,6.8537762132336866e-09
1976,6.8562320265641574e-09
1977,6.464460078348111e-09
1978,6.534650598410963e-09
1979,1.111874914361266e-08
1980,1.0801786187730755e-08
1981,1.5813873766035158e-08
1982,9.9320033308814e-09
1983,1.3893695416378193e-08
1984,1.2177918229383522e-08
1985,4.812446441349039e-09
1986,5.395036861699509e-09
1987,5.49973533381376e-09
1988,6.596209300990807e-09
1989,1.1525056686778612e-08
1990,4.3589208909011745e-09
1991,7.619904984768056e-09
1992,8.815910279569295e-09
1993,6.647049133334804e-09
1994,1.002236071911966e-08
1995,7.049185846152994e-09
1996,1.0676184380997711e-08
1997,5.753873377756236e-09
1998,7.629006870679689e-09
1999,1.1882523409667556e-08
2000,4.418031274155965e-09
2001,7.0099388516098315e-09
2002,7.886198361006791e-09
2003,2.083461403401543e-09
2004,4.404791198453495e-09
2005,1.2160123907811737e-08
2006,1.8942294122137326e-08
2007,1.0785094428644726e-08
2008,5.960415716543821e-09
2009,1.049002329445159e-08
2010,6.613310177261411e-09
2011,7.265546608792306e-09
2012,1.055318302189967e-08
2013,1.199323773626304e-08
2014,5.8467021224473115e-09
2015,1.4407740070443431e-08
2016,1.9470596357429315e-08
2017,1.043978699044601e-07
2018,1.0584013332426423e-08
2019,1.4795729086358733e-08
