year,des_DET herbes_NOUN
1870,1.2557566613224935e-06
1871,8.581910968530337e-07
1872,9.742263733514278e-07
1873,7.698001613931638e-07
1874,7.671397970199223e-07
1875,8.410644731782213e-07
1876,1.0544249775534809e-06
1877,9.759639763018413e-07
1878,1.021813790913484e-06
1879,8.821865655761485e-07
1880,1.0518849986596024e-06
1881,8.513431790646564e-07
1882,7.999773092848272e-07
1883,8.316249964224198e-07
1884,9.493240327174135e-07
1885,8.05704468476165e-07
1886,1.072565655846347e-06
1887,8.552891399560281e-07
1888,1.1444809153715596e-06
1889,9.980363024908456e-07
1890,8.06844965950404e-07
1891,8.739055914475102e-07
1892,8.274436522626161e-07
1893,7.377782953454926e-07
1894,9.193945658125813e-07
1895,7.511230952772507e-07
1896,7.465638773851424e-07
1897,8.396294362000845e-07
1898,7.751946231593365e-07
1899,8.191871394558348e-07
1900,7.080596624575719e-07
1901,6.332041078138673e-07
1902,5.332568200344667e-07
1903,6.437062829434126e-07
1904,7.083755910741729e-07
1905,6.946381496675258e-07
1906,8.930304531418187e-07
1907,6.891409949361105e-07
1908,7.647033042346152e-07
1909,6.969745935947458e-07
1910,8.764407315453582e-07
1911,7.51236836293856e-07
1912,6.584708227563851e-07
1913,6.702979113981655e-07
1914,6.495841322617935e-07
1915,4.983262078539497e-07
1916,5.702492522630109e-07
1917,6.33859361443001e-07
1918,8.511404558930735e-07
1919,6.224505444407669e-07
1920,7.814543394601969e-07
1921,6.747318206379305e-07
1922,7.909146617635088e-07
1923,6.804822518802212e-07
1924,7.348225690151367e-07
1925,8.589576836470769e-07
1926,8.337311410144821e-07
1927,7.458831312590064e-07
1928,7.415500888896531e-07
1929,7.976530955744465e-07
1930,6.816838915568724e-07
1931,7.516129816309558e-07
1932,6.488045904973205e-07
1933,6.802102934244658e-07
1934,6.062679460683285e-07
1935,6.86979493735862e-07
1936,8.560048421202282e-07
1937,6.69847478818042e-07
1938,6.89749420246244e-07
1939,6.423501019980904e-07
1940,6.161952654792913e-07
1941,5.932520501517047e-07
1942,8.253056100748779e-07
1943,1.013229082857947e-06
1944,7.808042603585363e-07
1945,6.165166368532482e-07
1946,7.628765175127228e-07
1947,8.058508633723704e-07
1948,7.566833666317052e-07
1949,6.979892983594027e-07
1950,6.221686454921382e-07
1951,6.90858826146723e-07
1952,6.379606336537336e-07
1953,7.595548190408863e-07
1954,7.075315942017824e-07
1955,6.260200606789112e-07
1956,6.392597065030259e-07
1957,6.228701732169384e-07
1958,6.692244731709707e-07
1959,5.78980843712884e-07
1960,7.280716864954684e-07
1961,6.385358570781818e-07
1962,6.532215195420576e-07
1963,6.653569037951002e-07
1964,6.777540537683535e-07
1965,9.06717566806492e-07
1966,6.081903975996283e-07
1967,6.90740000308665e-07
1968,6.373318974794984e-07
1969,6.285792917282151e-07
1970,6.061119375289081e-07
1971,6.099277598536901e-07
1972,5.581600053261582e-07
1973,5.540769780765231e-07
1974,5.445553412641857e-07
1975,5.488732597314083e-07
1976,5.056471295006304e-07
1977,5.453653528775249e-07
1978,5.447522291035511e-07
1979,5.565226572912252e-07
1980,5.68515044818696e-07
1981,5.661366948572777e-07
1982,5.66744956742582e-07
1983,5.772198949927088e-07
1984,6.465894486495927e-07
1985,5.823060416076942e-07
1986,5.946529579858861e-07
1987,5.243080813954748e-07
1988,5.240987785981588e-07
1989,4.895404970284289e-07
1990,6.184218683813469e-07
1991,5.703205907536812e-07
1992,5.526474087247379e-07
1993,5.882638092202797e-07
1994,5.543947718678055e-07
1995,6.083989685379265e-07
1996,5.759801435800682e-07
1997,5.753873537628351e-07
1998,5.621624525886659e-07
1999,5.712751516284698e-07
2000,5.708096963985554e-07
2001,5.7525313224005e-07
2002,6.059229225030549e-07
2003,5.921197416824953e-07
2004,5.550037105450656e-07
2005,6.183648206814496e-07
2006,6.880994085634029e-07
2007,6.886482548651429e-07
2008,6.884279741825594e-07
2009,7.238116062069366e-07
2010,9.499547530822383e-07
2011,1.0271189196942032e-06
2012,1.1962544412824627e-06
2013,1.0740920046714564e-06
2014,1.2975348013810617e-06
2015,1.2186731446206522e-06
2016,1.273874119078755e-06
2017,1.1649795652601824e-06
2018,1.2703397302971098e-06
2019,1.2145252767936654e-06
