year,leurs_DET sentiers_NOUN
1878,2.0532901601200138e-08
1879,2.1382637882538802e-08
1880,5.326812413386506e-08
1881,1.743126937236994e-08
1882,2.4624925876182147e-08
1883,2.7805092117638708e-08
1884,2.970763635090634e-08
1885,3.158361394639542e-08
1886,1.936039240035825e-08
1887,1.3057849523878673e-08
1888,1.521747483579361e-08
1889,2.1927979154678923e-08
1890,3.2771931834929546e-08
1891,2.613430305498099e-08
1892,5.4536059224119526e-08
1893,3.387129154930335e-08
1894,2.0795080102331553e-08
1895,1.5648398132839247e-08
1896,1.8280790214930676e-08
1897,2.680288169187861e-08
1898,1.640922953072277e-08
1899,1.2713430308508578e-08
1900,2.699347634305127e-08
1901,1.3412973842719111e-08
1902,1.3257766440233354e-08
1903,2.430099144135056e-08
1904,2.8485513503540005e-08
1905,1.7030505006232488e-08
1906,1.5946971465563564e-08
1907,1.697138252154673e-08
1908,4.371136341774218e-08
1909,2.9155212466491776e-08
1910,1.6566866989364826e-08
1911,2.500575879693656e-08
1912,2.344239469209697e-08
1913,2.333315407554437e-08
1914,3.4823067096567684e-08
1915,2.591767689352764e-08
1916,1.8678685265172135e-08
1917,1.0966424435210342e-09
1918,1.1486376294556067e-08
1919,2.025726608678724e-08
1920,2.0445025228355007e-08
1921,1.2116395886607734e-08
1922,1.696925178151787e-08
1923,1.6985516992917837e-08
1924,3.738571052736006e-08
1925,2.1996356736053713e-08
1926,1.5604593173179637e-08
1927,2.1183527820767267e-08
1928,2.170947865920425e-08
1929,2.33948540540041e-08
1930,1.575540586884472e-08
1931,2.0529641986399838e-08
1932,1.9727165900818022e-08
1933,2.867665660488683e-08
1934,1.0783422155213884e-08
1935,1.9149254626427137e-08
1936,1.33371855781661e-08
1937,1.0072894518486919e-08
1938,1.5558256905023882e-08
1939,2.2941076593951948e-08
1940,7.607348528892999e-09
1941,1.4757512545315876e-08
1942,3.034211815133858e-08
1943,2.9032352077962287e-08
1944,3.213186161588055e-08
1945,1.3071024262956144e-08
1946,2.3665876369705074e-08
1947,3.933887304796713e-08
1948,1.6307831529616124e-08
1949,1.2762110479513922e-08
1950,1.1698897184331258e-08
1951,1.5992101864981123e-08
1952,1.1599284199803606e-08
1953,1.4005975934594517e-08
1954,7.818028668893362e-09
1955,8.447047505910632e-09
1956,1.308171282410342e-08
1957,1.236905244894615e-08
1958,1.7371711180658167e-08
1959,1.6276571201956358e-08
1960,1.0381250303836964e-08
1961,1.598076693198891e-08
1962,8.244543714397423e-09
1963,9.052474325699222e-09
1964,1.0951143103454797e-08
1965,1.641612945579851e-08
1966,1.8278946356531378e-08
1967,1.6763140209263838e-08
1968,1.3474247440026232e-08
1969,1.4079449051074278e-08
1970,1.5175793066646293e-08
1971,1.7470551338938378e-08
1972,1.2825366713098418e-08
1973,8.269805285010534e-09
1974,6.750686232237513e-09
1975,1.4278700000147637e-08
1976,1.314111219841152e-08
1977,1.1165885105413054e-08
1978,5.940591241149207e-09
1979,1.521513048885481e-08
1980,1.3075846183596695e-08
1981,1.5181319312773667e-08
1982,1.3035754697909852e-08
1983,1.5788289231544184e-08
1984,1.2757818468323023e-08
1985,9.02333674446254e-09
1986,1.3787316399671568e-08
1987,1.588812370556525e-08
1988,1.739000587974715e-08
1989,1.3171492896368875e-08
1990,9.262706657242603e-09
1991,8.792197470075536e-09
1992,1.597883780846132e-08
1993,1.2740176913439427e-08
1994,1.318731612798274e-08
1995,2.1147559037260066e-08
1996,1.4946658577486005e-08
1997,2.109753616252874e-08
1998,1.4304387896402204e-08
1999,2.010888425219015e-08
2000,1.5463109903635086e-08
2001,1.3143635513301888e-08
2002,1.3143664823189738e-08
2003,1.1667384391955693e-08
2004,1.1452457648886138e-08
2005,1.2610498534293413e-08
2006,1.4412615101377924e-08
2007,2.3966876483427768e-08
2008,1.1920831516354369e-08
2009,1.3827758493789588e-08
2010,1.086472406486294e-08
2011,1.7972667687438104e-08
2012,2.8936147700164838e-08
2013,2.34286496869629e-08
2014,1.6024294294259e-08
2015,2.3495698941999876e-08
2016,2.817022448642348e-08
2017,4.930598268559905e-08
2018,2.1168026720363997e-08
2019,2.7805767244259982e-08
