year,quelles_DET herbes_NOUN
1929,4.4561625500705304e-09
1930,2.100720708497761e-09
1931,4.5621426636444085e-09
1932,6.575721966939341e-09
1933,6.882397318719313e-09
1934,1.1981580172459871e-09
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,5.0364472592434595e-09
1938,0.0
1939,1.5294050470515685e-08
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,1.2136846860855144e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,0.0
1946,8.352662561605939e-09
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,0.0
1950,5.317680740191122e-09
1951,3.198420528427448e-09
1952,5.272402070488624e-09
1953,9.69644453618912e-09
1954,1.2704297169818801e-08
1955,9.385607846468247e-10
1956,6.976913269340912e-09
1957,3.5340151360863103e-09
1958,9.926692356998501e-09
1959,2.3252243464000344e-09
1960,1.3841666701708277e-09
1961,1.3896318540318475e-09
1962,5.707760764028791e-09
1963,9.052474325699222e-09
1964,6.083968218106861e-09
1965,1.0944086747954884e-09
1966,1.1078149508847446e-09
1967,6.409436315024664e-09
1968,2.69484942694298e-09
1969,4.087581939593576e-09
1970,3.6789800095249348e-09
1971,4.1107179882260425e-09
1972,2.0520586896388693e-09
1973,2.7566018356850464e-09
1974,4.500457340128605e-09
1975,8.567220266542108e-09
1976,2.285410749536254e-09
1977,1.7630346071939584e-09
1978,5.940591463193812e-09
1979,2.3407893401383717e-09
1980,1.1370301367108482e-09
1981,5.060439622894819e-09
1982,6.828252407942159e-09
1983,2.5261264191556165e-09
1984,5.799008384599347e-09
1985,3.609334831011779e-09
1986,5.994485463567401e-10
1987,1.8332450557601021e-09
1988,6.596209245479656e-09
1989,1.0976244357863152e-09
1990,1.634595292454577e-09
1991,1.1722930404189924e-09
1992,6.060938473329003e-09
1993,4.985286850001103e-09
1994,5.802419322797903e-09
1995,5.4224509327127635e-09
1996,3.736664311304594e-09
1997,3.835915696193126e-09
1998,4.291316413329582e-09
1999,4.113181129028476e-09
2000,4.859834756842929e-09
2001,9.200544992538084e-09
2002,5.257465907071435e-09
2003,2.0834614589126943e-09
2004,4.845270407116686e-09
2005,5.404499403560692e-09
2006,5.765045663075341e-09
2007,2.7961356841021967e-09
2008,4.6831836186811415e-09
2009,8.582746513496886e-09
2010,5.196172381261022e-09
2011,7.647944028077447e-09
2012,8.170206622359899e-09
2013,1.1156499835074385e-08
2014,9.96104743133941e-09
2015,7.758013967351651e-09
2016,1.0149566187500625e-08
2017,8.301517473441322e-09
2018,1.0325866606208933e-08
2019,1.0203950628895342e-08
