year,plusieurs_DET herbes_NOUN
1984,8.118612115914914e-09
1985,3.0077789148208467e-09
1986,1.7983456945813714e-09
1987,3.0554083707556856e-09
1988,3.597932174415064e-09
1989,3.841685636274406e-09
1990,1.634595292454577e-09
1991,3.516879065745826e-09
1992,1.1019888335184191e-09
1993,5.539207592608619e-09
1994,2.1099706426497278e-09
1995,2.168980273165033e-09
1996,1.6014276571496566e-09
1997,1.822059936262832e-08
1998,3.814503379828693e-09
1999,5.0272213059088244e-09
2000,5.3016377954406835e-09
2001,6.571817479095188e-09
2002,5.257465574004527e-09
2003,4.583615265119079e-09
2004,6.6071867144135155e-09
2005,2.702249757291497e-09
2006,4.529678854225949e-09
2007,2.3966877371606188e-09
2008,2.554463751636149e-09
2009,6.675469288452973e-09
2010,3.7790344187271785e-09
2011,6.883149383796194e-09
2012,6.468079960519901e-09
2013,6.414987541170092e-09
2014,9.311414528312412e-09
2015,7.314698957650023e-09
2016,4.556948152156792e-09
2017,5.7859059765519305e-09
2018,6.711813327342497e-09
2019,6.632568050335408e-09
