year,serais_VERB au_ADP
1915,3.416420923940677e-08
1916,6.59247731960022e-08
1917,4.7155623406069935e-08
1918,2.412139110674616e-08
1919,6.905886351660229e-08
1920,6.057785384427916e-08
1921,5.755288157160976e-08
1922,7.599273743608137e-08
1923,7.431163595583712e-08
1924,6.445812061883771e-08
1925,1.0008341888578798e-07
1926,7.133528612257578e-08
1927,1.304459260609292e-07
1928,8.798051709391075e-08
1929,1.3145680100024038e-07
1930,7.562594817045465e-08
1931,7.071321306284517e-08
1932,5.150982218538047e-08
1933,7.685343916818965e-08
1934,1.0903237779302799e-07
1935,7.77938495843955e-08
1936,5.698615979099486e-08
1937,4.0291578073947676e-08
1938,6.223302762009553e-08
1939,3.211750509990452e-08
1940,4.81798743123818e-08
1941,4.132103725851266e-08
1942,6.675266206457309e-08
1943,4.935499831049128e-08
1944,4.4984606262232774e-08
1945,5.446259976338297e-08
1946,9.048717686255259e-08
1947,8.702235732016561e-08
1948,6.19697573256417e-08
1949,7.068246077324147e-08
1950,8.720996191868835e-08
1951,8.529121231504178e-08
1952,7.592258555177978e-08
1953,4.0940545176226806e-08
1954,7.427127712844594e-08
1955,6.006789021739678e-08
1956,8.285084618364635e-08
1957,6.096176008441034e-08
1958,9.513080101442029e-08
1959,7.595733109155844e-08
1960,8.37420870425376e-08
1961,6.600751589758147e-08
1962,1.0527647731350953e-07
1963,6.401392482757728e-08
1964,9.734349504242346e-08
1965,6.402290608775729e-08
1966,7.533141399562737e-08
1967,8.923907302005318e-08
1968,9.0277460174093e-08
1969,5.813449988067987e-08
1970,6.714138578445272e-08
1971,6.114692752134943e-08
1972,6.05357328709033e-08
1973,5.292675808732383e-08
1974,4.106667361725158e-08
1975,3.998036035568475e-08
1976,5.484985621251326e-08
1977,4.525121966025836e-08
1978,6.415838527118467e-08
1979,3.2771051650115623e-08
1980,3.865902442612423e-08
1981,3.858585273519566e-08
1982,5.648827183790672e-08
1983,3.157657957331139e-08
1984,3.015484395518797e-08
1985,5.2936911743017845e-08
1986,5.574871408953186e-08
1987,4.949761489569937e-08
1988,3.957725525083333e-08
1989,5.1039535264862934e-08
1990,3.5416231725093894e-08
1991,6.037308963868782e-08
1992,3.4161654838271716e-08
1993,5.317639306667843e-08
1994,3.850696472795789e-08
1995,5.1513282528503623e-08
1996,4.110330920070737e-08
1997,3.6920688728514506e-08
1998,3.9575471788566574e-08
1999,5.529943436499707e-08
2000,3.799507197754792e-08
2001,4.205963222148057e-08
2002,4.77553143696241e-08
2003,2.6251614215766494e-08
2004,4.713126600108808e-08
2005,5.5846495428113485e-08
2006,5.60033015517547e-08
2007,5.23276817432361e-08
2008,6.85447787418525e-08
2009,6.341696234812844e-08
2010,7.747020447368413e-08
2011,8.336258616736814e-08
2012,1.1846799452541745e-07
2013,1.366671256164409e-07
2014,1.2949362826475408e-07
2015,1.553819402033696e-07
2016,1.4727227437560941e-07
2017,1.275414973633815e-07
2018,1.6650460565870162e-07
2019,1.5484495463624626e-07
