year,fausses_ADJ sorties_NOUN
1923,1.9108707505210987e-08
1924,1.8048273875415077e-08
1925,4.399271169575059e-09
1926,1.6719207018844884e-08
1927,1.1149224654616319e-08
1928,7.998228745975666e-09
1929,1.7824650200282122e-08
1930,1.1553964007759987e-08
1931,9.124285327288817e-09
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,1.1981580172459871e-09
1935,1.3165112555668657e-08
1936,7.274828739411987e-09
1937,1.2591118370153254e-08
1938,1.8151300906765755e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,2.3612020783048138e-08
1942,1.517105907566929e-08
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,8.352662561605939e-09
1947,5.960435478513659e-09
1948,1.0871888278529696e-08
1949,1.7670615193310368e-08
1950,1.808011518278363e-08
1951,8.529121409139861e-09
1952,8.435843135146115e-09
1953,9.69644453618912e-09
1954,4.886268278880834e-09
1955,1.5016972554349195e-08
1956,1.5698054411927842e-08
1957,7.951533653738352e-09
1958,1.8198935525237658e-08
1959,2.325224279786653e-08
1960,1.3841666479663672e-08
1961,1.5980766376877398e-08
1962,1.0781326054143392e-08
1963,1.4225316924409981e-08
1964,9.125952438182594e-09
1965,1.7510538796727815e-08
1966,1.38476865529924e-08
1967,1.3804939191786048e-08
1968,1.7965662735264232e-08
1969,1.544197658631674e-08
1970,1.6555409848573177e-08
1971,1.7470551227916076e-08
1972,2.667676390899487e-08
1973,1.8193572870472963e-08
1974,1.8564387360697765e-08
1975,1.6563292959403952e-08
1976,2.2854107717407146e-08
1977,1.9981058585472056e-08
1978,2.3168306606535793e-08
1979,3.1015458312744215e-08
1980,3.411090349070278e-08
1981,3.66881856006529e-08
1982,2.9175259985692037e-08
1983,3.4734238596456635e-08
1984,3.3054348591576854e-08
1985,2.285912081845254e-08
1986,2.9372978938013716e-08
1987,2.8109757022054538e-08
1988,2.0987938498251424e-08
1989,1.8110803523541108e-08
1990,2.1249737969242233e-08
1991,2.2859714121636898e-08
1992,2.1488782309120324e-08
1993,3.434308715188905e-08
1994,2.162719958676007e-08
1995,1.843633334885908e-08
1996,2.5089033073300016e-08
1997,2.589243019990306e-08
1998,2.288702027897216e-08
1999,1.6909743605353356e-08
2000,2.2531960297555997e-08
2001,1.8839211080035057e-08
2002,1.8401130730261173e-08
2003,2.4168153034409556e-08
2004,1.7619165515458945e-08
2005,1.7564622978305522e-08
2006,1.7295138099449048e-08
2007,1.3581230362547103e-08
2008,1.788124590063056e-08
2009,2.0980047477081598e-08
2010,1.4171378737160012e-08
2011,1.3766299211681599e-08
2012,1.4978711604385353e-08
2013,1.310888730898796e-08
2014,1.689047204878058e-08
2015,1.2634480128781433e-08
2016,1.2220906064897008e-08
2017,7.295272663743191e-09
2018,8.518840133309169e-09
2019,8.16316081397872e-09
