year,aux_ADP herbes_NOUN
1988,3.735853146835666e-07
1989,3.8910787614199194e-07
1990,2.9913092447486633e-07
1991,3.323450865622135e-07
1992,3.6641127598713297e-07
1993,4.1710232689951e-07
1994,3.117481734982164e-07
1995,4.0559931457906373e-07
1996,3.987554817452832e-07
1997,3.998941910943188e-07
1998,3.8526485246492825e-07
1999,4.09490010566671e-07
2000,5.906908264741162e-07
2001,3.5093506162153787e-07
2002,3.3823030998192394e-07
2003,2.7001660773962044e-07
2004,2.9071622664744723e-07
2005,3.5669695996887185e-07
2006,4.1714224252586973e-07
2007,5.176845272458763e-07
2008,7.075864960626177e-07
2009,7.996258641895793e-07
2010,8.021000730273897e-07
2011,1.5330304137251005e-06
2012,1.615317934522409e-06
2013,9.828876610384896e-07
2014,1.1121726863905224e-06
2015,1.1568306881315493e-06
2016,1.1754855080425841e-06
2017,1.1237235675309876e-06
2018,1.0467847904038763e-06
2019,1.1805971809053517e-06
