year,plusieurs_DET ombres_NOUN
2005,6.3052495447024626e-09
2006,4.11788997345397e-09
2007,4.393927444112933e-09
2008,5.5346716099080595e-09
2009,6.675469510497578e-09
2010,6.613310454817167e-09
2011,1.873746224845263e-08
2012,1.6340413022675193e-08
2013,2.063952525555024e-08
2014,1.5807750219920536e-08
2015,1.5072712689079282e-08
2016,1.8849195093650906e-08
2017,1.8615523900145092e-08
2018,1.8328413509127728e-08
2019,2.0152803592576873e-08
