year,seules_ADJ heures_NOUN
1912,1.3023552902780011e-08
1913,2.0681659052002033e-08
1914,8.036092680185902e-09
1915,8.246533234057551e-09
1916,1.4283700444650549e-08
1917,8.773139548168274e-09
1918,1.4932290071101306e-08
1919,2.1178051312631396e-08
1920,1.9687803387569147e-08
1921,1.741731914250977e-08
1922,1.9182632371439468e-08
1923,1.2739137744688378e-08
1924,2.4494086758863887e-08
1925,2.0896537833436923e-08
1926,2.3406890647947876e-08
1927,3.1217830098739796e-08
1928,1.2568645679778001e-08
1929,1.893869061575515e-08
1930,2.2057568216382606e-08
1931,1.0264820993199919e-08
1932,1.3151444377967891e-08
1933,5.735331320977366e-09
1934,1.0783422155213884e-08
1935,7.180970484910176e-09
1936,7.274828739411987e-09
1937,2.0145789036973838e-08
1938,1.8151300906765755e-08
1939,1.8352860564618823e-08
1940,1.7750480196809804e-08
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,1.4516175816936538e-08
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,1.9489545977080525e-08
1947,2.0265479960812627e-08
1948,1.6307831529616124e-08
1949,2.3560819073509265e-08
1950,1.2762433776458693e-08
1951,2.7719645245838365e-08
1952,1.2653764258629963e-08
1953,1.2928593307037772e-08
1954,1.8567819282111486e-08
1955,1.1262729415761896e-08
1956,1.9186511934776718e-08
1957,7.068030161150318e-09
1958,1.3235589513271862e-08
1959,1.3176271629333769e-08
1960,1.2457499920515147e-08
1961,1.667558180429296e-08
1962,1.0781326054143392e-08
1963,9.69907976156037e-09
1964,1.520992043424485e-08
1965,1.2038495533772675e-08
1966,2.215629990587331e-08
1967,1.972134178185314e-08
1968,1.4821671889819754e-08
1969,2.8613074576355757e-08
1970,1.4715920038099739e-08
1971,6.268844998658096e-08
1972,1.4364410994005539e-08
1973,1.1577728109557484e-08
1974,8.438357568252286e-09
1975,6.8537762132336866e-09
1976,7.427584769459372e-09
1977,1.1753563455840776e-08
1978,1.544553818177974e-08
1979,1.462993370893173e-08
1980,1.0801786132219604e-08
1981,6.958104314946922e-09
1982,9.311253101884631e-09
1983,1.515675762675528e-08
1984,2.203623239438457e-08
1985,1.503889479614884e-08
1986,8.392279760016663e-09
1987,1.3443797186596385e-08
1988,1.199310784016916e-08
1989,1.7013178421620978e-08
1990,1.3621627381610324e-08
1991,1.2309077312977479e-08
1992,1.2672871252394913e-08
1993,2.049506697687775e-08
1994,1.3714808844156323e-08
1995,8.133675954979935e-09
1996,8.540947504798169e-09
1997,1.7741109914481967e-08
1998,1.2873948684877234e-08
1999,1.553868322901053e-08
2000,1.5021307087081937e-08
2001,1.4019877703219663e-08
2002,7.886198361006791e-09
2003,7.083769126836614e-09
2004,1.5416770082765652e-08
2005,7.656374201303606e-09
2006,1.3589036895744755e-08
2007,8.38840730210677e-09
2008,1.1069342775726909e-08
2009,8.582746957586096e-09
2010,9.447585824773341e-09
2011,9.55992973672437e-09
2012,1.2936160587173617e-08
2013,2.0081699858565116e-08
2014,1.8406284496563785e-08
2015,1.4851055496478693e-08
2016,1.8227792747405047e-08
2017,1.33327402451755e-08
2018,1.4972506789945328e-08
2019,1.5050828139351324e-08
