year,diverses_ADJ heures_NOUN
2003,1.4167538253673229e-08
2004,1.189293641346012e-08
2005,9.457874483587148e-09
2006,1.6883348052942893e-08
2007,1.7176261135620763e-08
2008,1.4049550856043425e-08
2009,1.2397300963584712e-08
2010,1.700565521733921e-08
2011,1.1089518636708817e-08
2012,1.4978711604385353e-08
2013,8.367375237128272e-09
2014,1.277612682315521e-08
2015,1.1747849804066846e-08
2016,1.8434926474242275e-08
2017,8.804639684001359e-09
2018,5.6792268665617485e-09
2019,6.632568272380013e-09
